MDTU,S_B
1,1.01083
2,1.00601
3,1.00281
4,1.00176
5,1.00243
6,1.00096
7,1.00096
8,1.00096
9,1.00195
10,1.00195
11,1.00295
12,1.00088
13,1.00207
14,1.00164
15,1.00188
16,1.00137
17,1.00162
18,1.00234
19,0.999527
20,0.999505
21,0.999505
22,1.0002
23,0.999892
24,1.00101
25,0.999393
26,1.00053
27,1.00053
28,1.00091
29,1.0017
30,1.00209
31,1.00209
32,1.00307
33,1.00307
34,1.00126
35,1.00094
36,1.00094
37,1.00094
38,1.00094
39,1.00094
40,1.00197
41,1.00147
42,1.00147
43,1.00165
44,1.00165
45,1.00165
46,1.00136
47,0.999411
48,1.00107
49,0.999647
50,0.999647
51,1.00103
52,1.00103
53,1.00014
54,1.00014
55,1.00014
56,1.00065
57,1.00065
58,0.999518
59,0.999518
60,0.999858
61,1.00104
62,1.00191
63,1.00074
64,1.00074
65,1.00027
66,1.00024
67,1.00046
68,1.00123
69,1.00123
70,1.00123
71,1.00123
72,1.00024
73,1.00024
74,1.00024
75,1.00069
76,1.00161
77,0.999939
78,0.998876
79,0.998876
80,0.998876
81,0.998888
82,0.998888
83,0.998888
84,0.998888
85,1.0002
86,1.00056
87,1.00084
88,1.00084
89,1.00038
90,1.00038
91,1.00046
92,1.00153
93,1.00153
94,0.998459
95,0.998459
96,0.999666
97,1.001
98,1.001
99,1.001
100,1.00015
101,1.00015
102,1.00219
103,1.00219
104,1.00145
105,1.00145
106,1.00074
107,1.00074
108,1.00074
109,0.998805
110,0.998805
111,0.998805
112,0.998805
113,0.998805
114,0.998805
115,1.00008
116,1.00008
117,1.00008
118,1.00018
119,1.001
120,1.001
121,0.998552
122,1.00195
123,1.00195
124,1.00111
125,1.00115
126,1.00115
127,1.00115
128,1.00115
129,1.00046
130,1.00046
131,0.999203
132,1.00028
133,1.00028
134,1.00028
135,0.998993
136,0.998993
137,0.998832
138,1.00088
139,1.00088
140,1.00088
141,1.00088
142,0.999672
143,0.999588
144,0.999817
145,0.999817
146,1.00002
147,1.00002
148,0.999142
149,0.99806
150,0.99806
151,1.00059
152,1.0004
153,1.0004
154,1.00187
155,1.00028
156,1.001
157,1.00043
158,0.998351
159,1.00045
160,0.999183
161,0.9991
162,1.00104
163,1.00127
164,1.00067
165,1.00098
166,1.00098
167,1.00105
168,1.00061
169,1.00023
170,1.00083
171,0.999301
172,0.999301
173,0.999301
174,0.999301
175,0.999301
176,0.998412
177,0.998412
178,0.998412
179,1.00075
180,1.00231
181,0.998684
182,1.00077
183,1.00077
184,1.00077
185,1.00077
186,0.999194
187,1.0008
188,0.999282
189,0.999282
190,0.999384
191,0.999384
192,1.00009
193,0.999878
194,0.99906
195,0.999894
196,0.999894
197,0.999582
198,1.00082
199,1.00177
200,0.999206
201,0.999206
202,0.999356
203,0.998491
204,0.998491
205,0.998491
206,0.998491
207,1.00013
208,1.00014
209,1.00024
210,0.999679
211,0.999679
212,0.998824
213,0.998824
214,0.998824
215,0.998824
216,0.998824
217,0.998824
218,0.998824
219,0.998824
220,1.00086
221,1.00086
222,0.998863
223,1.00207
224,1.00207
225,0.999553
226,1.00011
227,1.00046
228,0.999731
229,0.999731
230,0.999731
231,0.999439
232,1.0002
233,0.999132
234,0.999132
235,0.999399
236,0.999027
237,0.999027
238,0.999027
239,0.999837
240,0.9981
241,0.999302
242,0.998986
243,0.998986
244,0.999831
245,0.999207
246,0.999207
247,0.999955
248,0.999955
249,0.999955
250,1.00056
251,0.997784
252,0.997784
253,0.998691
254,0.999385
255,0.999385
256,0.998263
