t,N_f,N_g
10,104,832
20,52,416
30,40,320
40,30,240
50,30,240
60,28,224
70,28,224
80,28,224
90,28,224
100,28,224
110,26,208
120,26,208
130,26,208
140,26,208
150,26,208
160,26,208
170,26,208
180,26,208
190,26,208
200,26,208
210,26,208
220,26,208
230,26,208
240,26,208
250,26,208
260,26,208
270,26,208
280,26,208
290,26,208
300,26,208
310,26,208
320,26,208
330,26,208
340,26,208
350,26,208
360,26,208
370,26,208
380,26,208
390,26,208
400,26,208
410,26,208
420,26,208
430,26,208
440,26,208
450,26,208
460,26,208
470,26,208
480,26,208
490,26,208
500,26,208
510,26,208
520,26,208
530,26,208
540,26,208
550,26,208
560,26,208
570,26,208
580,26,208
590,26,208
600,26,208
610,26,208
620,26,208
630,26,208
640,26,208
650,26,208
660,26,208
670,26,208
680,26,208
690,26,208
700,26,208
710,26,208
720,26,208
730,26,208
740,26,208
750,26,208
760,26,208
770,26,208
780,26,208
790,26,208
800,26,208
810,26,208
820,26,208
830,26,208
840,26,208
850,26,208
860,26,208
870,26,208
880,26,208
890,26,208
900,26,208
910,26,208
920,26,208
930,26,208
940,26,208
950,26,208
960,26,208
970,26,208
980,26,208
990,26,208
1000,26,208
1010,26,208
1020,26,208
1030,26,208
1040,26,208
1050,26,208
1060,26,208
1070,26,208
1080,26,208
1090,26,208
1100,26,208
1110,26,208
1120,26,208
1130,26,208
1140,26,208
1150,26,208
1160,26,208
1170,26,208
1180,26,208
1190,26,208
1200,26,208
1210,26,208
1220,26,208
1230,26,208
1240,26,208
1250,26,208
1260,26,208
1270,26,208
1280,26,208
1290,26,208
1300,26,208
1310,26,208
1320,26,208
1330,26,208
1340,26,208
1350,26,208
1360,26,208
1370,26,208
1380,26,208
1390,26,208
1400,26,208
1410,26,208
1420,26,208
1430,26,208
1440,26,208
1450,26,208
1460,26,208
1470,26,208
1480,26,208
1490,26,208
1500,26,208
1510,26,208
1520,26,208
1530,26,208
1540,26,208
1550,26,208
1560,26,208
1570,26,208
1580,26,208
1590,26,208
1600,26,208
1610,26,208
1620,26,208
1630,26,208
1640,26,208
1650,26,208
1660,26,208
1670,26,208
1680,26,208
1690,26,208
1700,26,208
1710,26,208
1720,26,208
1730,26,208
1740,26,208
1750,26,208
1760,26,208
1770,26,208
1780,26,208
1790,26,208
1800,26,208
1810,26,208
1820,26,208
1830,26,208
1840,26,208
1850,26,208
1860,26,208
1870,26,208
1880,26,208
1890,26,208
1900,26,208
1910,26,208
1920,26,208
1930,26,208
1940,26,208
1950,26,208
1960,26,208
1970,26,208
1980,26,208
1990,26,208
2000,26,208
2010,26,208
2020,26,208
2030,26,208
2040,26,208
2050,26,208
2060,26,208
2070,26,208
2080,26,208
2090,26,208
2100,26,208
2110,26,208
2120,26,208
2130,26,208
2140,26,208
2150,26,208
2160,26,208
2170,26,208
2180,26,208
2190,26,208
2200,26,208
2210,26,208
2220,26,208
2230,26,208
2240,26,208
2250,26,208
2260,26,208
2270,26,208
2280,26,208
2290,26,208
2300,26,208
2310,26,208
2320,26,208
2330,26,208
2340,26,208
2350,26,208
2360,26,208
2370,26,208
2380,26,208
2390,26,208
2400,26,208
2410,26,208
2420,26,208
2430,26,208
2440,26,208
2450,26,208
2460,26,208
2470,26,208
2480,26,208
2490,26,208
2500,26,208
2510,26,208
2520,26,208
2530,26,208
2540,26,208
2550,26,208
2560,26,208
2570,26,208
2580,26,208
2590,26,208
2600,26,208
2610,26,208
2620,26,208
2630,26,208
2640,26,208
2650,26,208
2660,26,208
2670,26,208
2680,26,208
2690,26,208
2700,26,208
2710,26,208
2720,26,208
2730,26,208
2740,26,208
2750,26,208
2760,26,208
2770,26,208
2780,26,208
2790,26,208
2800,26,208
2810,26,208
2820,26,208
2830,26,208
2840,26,208
2850,26,208
2860,26,208
2870,26,208
2880,26,208
2890,26,208
2900,26,208
2910,26,208
2920,26,208
2930,26,208
2940,26,208
2950,26,208
2960,26,208
2970,26,208
2980,26,208
2990,26,208
3000,26,208
3010,26,208
3020,26,208
3030,26,208
3040,26,208
3050,26,208
3060,26,208
3070,26,208
3080,26,208
3090,26,208
3100,26,208
3110,26,208
3120,26,208
3130,26,208
3140,26,208
3150,26,208
3160,26,208
3170,26,208
3180,26,208
3190,26,208
3200,26,208
3210,26,208
3220,26,208
3230,26,208
3240,26,208
3250,26,208
3260,26,208
3270,26,208
3280,26,208
3290,26,208
3300,26,208
3310,26,208
3320,26,208
3330,26,208
3340,26,208
3350,26,208
3360,26,208
3370,26,208
3380,26,208
3390,26,208
3400,26,208
3410,26,208
3420,26,208
3430,26,208
3440,26,208
3450,26,208
3460,26,208
3470,26,208
3480,26,208
3490,26,208
3500,26,208
3510,26,208
3520,26,208
3530,26,208
3540,26,208
3550,26,208
3560,26,208
3570,26,208
3580,26,208
3590,26,208
3600,26,208
3610,26,208
3620,26,208
3630,26,208
3640,26,208
3650,26,208
3660,26,208
3670,26,208
3680,26,208
3690,26,208
3700,26,208
3710,26,208
3720,26,208
3730,26,208
3740,26,208
3750,26,208
3760,26,208
3770,26,208
3780,26,208
3790,26,208
3800,26,208
3810,26,208
3820,26,208
3830,26,208
3840,26,208
3850,26,208
3860,26,208
3870,26,208
3880,26,208
3890,26,208
3900,26,208
3910,26,208
3920,26,208
3930,26,208
3940,26,208
3950,26,208
3960,26,208
3970,26,208
3980,26,208
3990,26,208
4000,26,208
4010,26,208
4020,26,208
4030,26,208
4040,26,208
4050,26,208
4060,26,208
4070,26,208
4080,26,208
4090,26,208
4100,26,208
4110,26,208
4120,26,208
4130,26,208
4140,26,208
4150,26,208
4160,26,208
4170,26,208
4180,26,208
4190,26,208
4200,26,208
4210,26,208
4220,26,208
4230,26,208
4240,26,208
4250,26,208
4260,26,208
4270,26,208
4280,26,208
4290,26,208
4300,26,208
4310,26,208
4320,26,208
4330,26,208
4340,26,208
4350,26,208
4360,26,208
4370,26,208
4380,26,208
4390,26,208
4400,26,208
4410,26,208
4420,26,208
4430,26,208
4440,26,208
4450,26,208
4460,26,208
4470,26,208
4480,26,208
4490,26,208
4500,26,208
4510,26,208
4520,26,208
4530,26,208
4540,26,208
4550,26,208
4560,26,208
4570,26,208
4580,26,208
4590,26,208
4600,26,208
4610,26,208
4620,26,208
4630,26,208
4640,26,208
4650,26,208
4660,26,208
4670,26,208
4680,26,208
4690,26,208
4700,26,208
4710,26,208
4720,26,208
4730,26,208
4740,26,208
4750,26,208
4760,26,208
4770,26,208
4780,26,208
4790,26,208
4800,26,208
4810,26,208
4820,26,208
4830,26,208
4840,26,208
4850,26,208
4860,26,208
4870,26,208
4880,26,208
4890,26,208
4900,26,208
4910,26,208
4920,26,208
4930,26,208
4940,26,208
4950,26,208
4960,26,208
4970,26,208
4980,26,208
4990,26,208
5000,26,208
5010,26,208
5020,26,208
5030,26,208
5040,26,208
5050,26,208
5060,26,208
5070,26,208
5080,26,208
5090,26,208
5100,26,208
5110,26,208
5120,26,208
5130,26,208
5140,26,208
5150,26,208
5160,26,208
5170,26,208
5180,26,208
5190,26,208
5200,26,208
5210,26,208
5220,26,208
5230,26,208
5240,26,208
5250,26,208
5260,26,208
5270,26,208
5280,26,208
5290,26,208
5300,26,208
5310,26,208
5320,26,208
5330,26,208
5340,26,208
5350,26,208
5360,26,208
5370,26,208
5380,26,208
5390,26,208
5400,26,208
5410,26,208
5420,26,208
5430,26,208
5440,26,208
5450,26,208
5460,26,208
5470,26,208
5480,26,208
5490,26,208
5500,26,208
5510,26,208
5520,26,208
5530,26,208
5540,26,208
5550,26,208
5560,26,208
5570,26,208
5580,26,208
5590,26,208
5600,26,208
5610,26,208
5620,26,208
5630,26,208
5640,26,208
5650,26,208
5660,26,208
5670,26,208
5680,26,208
5690,26,208
5700,26,208
5710,26,208
5720,26,208
5730,26,208
5740,26,208
5750,26,208
5760,26,208
5770,26,208
5780,26,208
5790,26,208
5800,26,208
5810,26,208
5820,26,208
5830,26,208
5840,26,208
5850,26,208
5860,26,208
5870,26,208
5880,26,208
5890,26,208
5900,26,208
5910,26,208
5920,26,208
5930,26,208
5940,26,208
5950,26,208
5960,26,208
5970,26,208
5980,26,208
5990,26,208
6000,26,208
6010,26,208
6020,26,208
6030,26,208
6040,26,208
6050,26,208
6060,26,208
6070,26,208
6080,26,208
6090,26,208
6100,26,208
6110,26,208
6120,26,208
6130,26,208
6140,26,208
6150,26,208
6160,26,208
6170,26,208
6180,26,208
6190,26,208
6200,26,208
6210,26,208
6220,26,208
6230,26,208
6240,26,208
6250,26,208
6260,26,208
6270,26,208
6280,26,208
6290,26,208
6300,26,208
6310,26,208
6320,26,208
6330,26,208
6340,26,208
6350,26,208
6360,26,208
6370,26,208
6380,26,208
6390,26,208
6400,26,208
6410,26,208
6420,26,208
6430,26,208
6440,26,208
6450,26,208
6460,26,208
6470,26,208
6480,26,208
6490,26,208
6500,26,208
6510,26,208
6520,26,208
6530,26,208
6540,26,208
6550,26,208
6560,26,208
6570,26,208
6580,26,208
6590,26,208
6600,26,208
6610,26,208
6620,26,208
6630,26,208
6640,26,208
6650,26,208
6660,26,208
6670,26,208
6680,26,208
6690,26,208
6700,26,208
6710,26,208
6720,26,208
6730,26,208
6740,26,208
6750,26,208
6760,26,208
6770,26,208
6780,26,208
6790,26,208
6800,26,208
6810,26,208
6820,26,208
6830,26,208
6840,26,208
6850,26,208
6860,26,208
6870,26,208
6880,26,208
6890,26,208
6900,26,208
6910,26,208
6920,26,208
6930,26,208
6940,26,208
6950,26,208
6960,26,208
6970,26,208
6980,26,208
6990,26,208
7000,26,208
7010,26,208
7020,26,208
7030,26,208
7040,26,208
7050,26,208
7060,26,208
7070,26,208
7080,26,208
7090,26,208
7100,26,208
7110,26,208
7120,26,208
7130,26,208
7140,26,208
7150,26,208
7160,26,208
7170,26,208
7180,26,208
7190,26,208
7200,26,208
7210,26,208
7220,26,208
7230,26,208
7240,26,208
7250,26,208
7260,26,208
7270,26,208
7280,26,208
7290,26,208
7300,26,208
7310,26,208
7320,26,208
7330,26,208
7340,26,208
7350,26,208
7360,26,208
7370,26,208
7380,26,208
7390,26,208
7400,26,208
7410,26,208
7420,26,208
7430,26,208
7440,26,208
7450,26,208
7460,26,208
7470,26,208
7480,26,208
7490,26,208
7500,26,208
7510,26,208
7520,26,208
7530,26,208
7540,26,208
7550,26,208
7560,26,208
7570,26,208
7580,26,208
7590,26,208
7600,26,208
7610,26,208
7620,26,208
7630,26,208
7640,26,208
7650,26,208
7660,26,208
7670,26,208
7680,26,208
7690,26,208
7700,26,208
7710,26,208
7720,26,208
7730,26,208
7740,26,208
7750,26,208
7760,26,208
7770,26,208
7780,26,208
7790,26,208
7800,26,208
7810,26,208
7820,26,208
7830,26,208
7840,26,208
7850,26,208
7860,26,208
7870,26,208
7880,26,208
7890,26,208
7900,26,208
7910,26,208
7920,26,208
7930,26,208
7940,26,208
7950,26,208
7960,26,208
7970,26,208
7980,26,208
7990,26,208
8000,26,208
8010,26,208
8020,26,208
8030,26,208
8040,26,208
8050,26,208
8060,26,208
8070,26,208
8080,26,208
8090,26,208
8100,26,208
8110,26,208
8120,26,208
8130,26,208
8140,26,208
8150,26,208
8160,26,208
8170,26,208
8180,26,208
8190,26,208
8200,26,208
8210,26,208
8220,26,208
8230,26,208
8240,26,208
8250,26,208
8260,26,208
8270,26,208
8280,26,208
8290,26,208
8300,26,208
8310,26,208
8320,26,208
8330,26,208
8340,26,208
8350,26,208
8360,26,208
8370,26,208
8380,26,208
8390,26,208
8400,26,208
8410,26,208
8420,26,208
8430,26,208
8440,26,208
8450,26,208
8460,26,208
8470,26,208
8480,26,208
8490,26,208
8500,26,208
8510,26,208
8520,26,208
8530,26,208
8540,26,208
8550,26,208
8560,26,208
8570,26,208
8580,26,208
8590,26,208
8600,26,208
8610,26,208
8620,26,208
8630,26,208
8640,26,208
8650,26,208
8660,26,208
8670,26,208
8680,26,208
8690,26,208
8700,26,208
8710,26,208
8720,26,208
8730,26,208
8740,26,208
8750,26,208
8760,26,208
8770,26,208
8780,26,208
8790,26,208
8800,26,208
8810,26,208
8820,26,208
8830,26,208
8840,26,208
8850,26,208
8860,26,208
8870,26,208
8880,26,208
8890,26,208
8900,26,208
8910,26,208
8920,26,208
8930,26,208
8940,26,208
