ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.988845,0.00869761,null,null,null
0.277125,null,-0.119312,null,null
-0.164796,null,null,-0.0156839,null
0.000374918,null,null,null,0.00289791
0.988945,0.00414855,null,null,null
0.252031,null,-0.163786,null,null
-0.169991,null,null,0.003404,null
-0.00356479,null,null,null,0.00167034
0.989053,0.00107999,null,null,null
0.244096,null,-0.175448,null,null
-0.125906,null,null,-0.00979779,null
-0.00307164,null,null,null,0.000987095
0.989247,0.00201732,null,null,null
0.23964,null,-0.178919,null,null
-0.160446,null,null,0.010805,null
0.000237663,null,null,null,-6.61131e-06
0.989304,-0.00120422,null,null,null
0.261726,null,-0.181066,null,null
-0.195376,null,null,0.0471819,null
0.00211666,null,null,null,0.00811732
0.989405,-0.0017492,null,null,null
0.240334,null,-0.124222,null,null
-0.211479,null,null,0.0343347,null
0.00511171,null,null,null,0.00673264
0.98934,0.0011554,null,null,null
0.266425,null,-0.14894,null,null
-0.206295,null,null,0.0789627,null
0.00130405,null,null,null,0.00711043
0.989364,0.00278544,null,null,null
0.267066,null,-0.190364,null,null
-0.238275,null,null,0.0584439,null
0.00877904,null,null,null,0.000301996
0.989276,0.00249022,null,null,null
0.275099,null,-0.212209,null,null
-0.257424,null,null,0.046099,null
0.000973941,null,null,null,0.00144519
0.989363,0.00284179,null,null,null
0.325079,null,-0.246894,null,null
-0.190934,null,null,0.0323753,null
-0.00398161,null,null,null,-0.00575535
0.98938,0.00822835,null,null,null
0.289533,null,-0.288794,null,null
-0.179652,null,null,0.0308451,null
-0.0055828,null,null,null,0.000282249
0.989399,0.00698121,null,null,null
0.316099,null,-0.283778,null,null
-0.184152,null,null,0.032189,null
0.000837373,null,null,null,0.00137675
0.989399,0.00698121,null,null,null
0.316099,null,-0.283778,null,null
-0.184152,null,null,0.032189,null
0.000837373,null,null,null,0.00137675
0.9893,0.0016684,null,null,null
0.283609,null,-0.250599,null,null
-0.255503,null,null,0.000417201,null
0.000370767,null,null,null,0.00313409
0.989317,-0.00374039,null,null,null
0.272487,null,-0.242368,null,null
-0.268185,null,null,0.00474879,null
0.00126454,null,null,null,0.00879509
0.989211,-0.00690865,null,null,null
0.216316,null,-0.292615,null,null
-0.267311,null,null,-0.019905,null
-0.000372181,null,null,null,0.00640164
0.989328,-0.00716836,null,null,null
0.217316,null,-0.278381,null,null
-0.273611,null,null,-0.0226055,null
0.00336475,null,null,null,0.00135039
0.989396,-0.00927893,null,null,null
0.224946,null,-0.269416,null,null
-0.27733,null,null,-0.0272994,null
0.0026341,null,null,null,-0.00591821
0.989396,-0.00927893,null,null,null
0.224946,null,-0.269416,null,null
-0.27733,null,null,-0.0272994,null
0.0026341,null,null,null,-0.00591821
0.989421,-0.00526616,null,null,null
0.212869,null,-0.278934,null,null
-0.250265,null,null,-0.0524941,null
0.000110887,null,null,null,0.000514545
0.989421,-0.00526616,null,null,null
0.212869,null,-0.278934,null,null
-0.250265,null,null,-0.0524941,null
0.000110888,null,null,null,0.000514544
0.989421,-0.00526616,null,null,null
0.212869,null,-0.278934,null,null
-0.250265,null,null,-0.0524941,null
0.000110888,null,null,null,0.000514544
0.989421,-0.00526616,null,null,null
0.212869,null,-0.278934,null,null
-0.250265,null,null,-0.0524941,null
0.000110888,null,null,null,0.000514544
0.989534,-0.00557629,null,null,null
0.201479,null,-0.295395,null,null
-0.190906,null,null,-0.06371,null
-0.00195815,null,null,null,0.0035741
0.989534,-0.00557629,null,null,null
0.201479,null,-0.295395,null,null
-0.190906,null,null,-0.06371,null
-0.00195815,null,null,null,0.0035741
0.989341,-0.00862305,null,null,null
0.194908,null,-0.308152,null,null
-0.251919,null,null,-0.0491529,null
0.000841124,null,null,null,0.0037607
0.989449,-0.00429041,null,null,null
0.165299,null,-0.306461,null,null
-0.227623,null,null,-0.0500012,null
0.000780688,null,null,null,-0.0012448
0.989468,-0.00490329,null,null,null
0.14593,null,-0.264798,null,null
-0.225886,null,null,-0.0762761,null
