t,cost
10,4082.4
20,1987.56
30,991.08
40,1536.12
50,1481.4
60,1429.56
70,1172.52
80,1064.16
90,1206
100,1216.44
110,997.92
120,987.12
130,1128.6
140,1155.96
150,1143.36
160,1146.96
170,1143.36
180,1142.28
190,1168.56
200,1164.6
210,1105.56
220,1115.64
230,1118.88
240,1119.96
250,1117.44
260,1146.24
270,1156.68
280,1158.48
290,1139.76
300,1145.52
310,1148.76
320,1156.68
330,1224
340,1157.4
350,1167.84
360,1204.56
370,1172.16
380,1197
390,1155.96
400,1135.08
410,1154.88
420,1163.16
430,1170.72
440,1140.48
450,1158.12
460,1143
470,1178.28
480,1153.8
490,1158.84
500,1159.56
510,1015.56
520,1010.88
530,1002.6
540,1006.92
550,1062.72
560,1044.72
570,1047.96
580,1045.8
590,1045.8
600,1051.92
610,1062
620,1049.76
630,1045.8
640,1051.56
650,1060.56
660,1052.64
670,1051.56
680,1035
690,1047.96
700,1050.84
710,1053
720,1053.72
730,1049.04
740,1042.56
750,1055.16
760,1053
770,1070.64
780,1047.96
790,1058.4
800,1059.84
810,1056.96
820,1053.72
830,1054.44
840,1051.2
850,1044.36
860,1064.88
870,1053.72
880,1056.24
890,1036.44
900,1043.64
910,1052.28
920,1057.32
930,1147.68
940,1050.84
950,1024.56
960,1016.64
970,1053.36
980,1077.48
990,1066.68
1000,1049.04
1010,1051.2
1020,1045.44
1030,1028.52
1040,1018.08
1050,1010.88
1060,1030.32
1070,1037.16
1080,1051.92
1090,1058.4
1100,1046.16
1110,1057.32
1120,1052.28
1130,1014.48
1140,1007.28
1150,1009.44
1160,1015.56
1170,1013.4
1180,1008.36
1190,1025.28
1200,1039.68
1210,1055.16
1220,1030.32
1230,1040.04
1240,1035
1250,1043.64
1260,1046.88
1270,1038.24
1280,1046.88
1290,1048.68
1300,1038.96
1310,1033.56
1320,1060.56
1330,1045.08
