t,|deltaS|
1,2.006
2,0.109
3,0.0808
4,0.07896
5,0.01453
6,0.03353
7,0.1193
8,0.03158
9,0.006851
10,0.008689
11,0.07404
12,0.03244
13,0.1091
14,0.09213
15,0.088
16,0.005693
17,0.02042
18,0.02779
19,0.04782
20,0.1037
21,0.2699
22,0.02394
23,1.296
24,0.4717
25,0.2624
26,0.07537
27,1.179
28,0.2579
29,0.8829
30,0.5058
31,0.9941
32,0.8991
33,0.6291
34,0.3567
35,0.1232
36,0.5525
37,0.3846
38,0.4348
39,0.6131
40,0.1284
41,0.8928
42,0.6577
43,0.0776
44,0.873
45,0.2716
46,0.2349
47,0.6974
48,0.1807
49,0.1148
50,0.5276
51,0.1813
52,0.0577
53,0.1339
54,0.0323
55,0.02458
56,1.74
57,0.9295
58,0.4475
59,0.6119
60,0.1149
61,0.528
62,0.6785
63,0.1173
64,0.07552
65,0.1365
66,0.762
67,0.07731
68,0.3585
69,1.015
70,0.4087
71,0.27
72,0.151
73,0.7147
74,0.8975
75,0.1037
76,0.6334
77,0.2597
78,0.6094
79,0.07945
80,0.7364
81,1.152
82,0.7399
83,0.04981
84,0.5473
85,0.4828
86,0.5681
87,0.1618
88,0.1271
89,0.373
90,0.9296
91,0.06539
92,0.3685
93,0.3967
94,0.3196
95,0.03367
96,0.3001
97,0.5659
98,1.388
99,0.09843
100,0.3491
101,1.173
102,0.5152
103,0.02997
104,0.06682
105,0.8886
106,0.2982
107,0.155
108,0.2617
109,1.14
110,0.8617
111,0.7409
112,0.6935
113,1.349
114,0.1239
115,0.5062
116,0.04444
117,0.3443
118,0.2894
119,0.1769
120,0.7135
121,0.8321
122,0.4572
123,0.02418
124,0.8655
125,0.4914
126,1.229
127,0.558
128,0.3891
129,0.2014
130,0.06568
131,0.3789
132,0.8383
133,0.5601
134,0.7648
135,0.1288
136,0.02241
137,0.7326
138,0.7459
139,0.2953
140,0.7447
141,0.9509
142,0.4497
143,0.4173
144,1.011
145,0.4869
146,0.2717
147,0.5753
148,0.6286
149,0.3235
150,0.4002
151,0.24
152,0.9876
153,0.03348
154,0.1667
155,0.3093
156,1.435
157,1.095
158,0.5389
159,0.9749
160,0.2094
161,0.139
162,0.2208
163,0.1418
164,0.2774
165,1.086
166,1.069
167,0.41
168,0.438
169,0.8498
170,1.213
171,0.5608
172,0.7793
173,0.1517
174,0.4526
175,1.18
176,0.8911
177,0.5173
178,1.688
179,0.7042
180,1.482
181,0.004241
182,1.89
183,1.355
184,1.349
185,1.967
186,0.622
187,1.45
188,2.543
189,2.247
190,2.151
191,3.17
192,3.374
193,4.329
194,5.488
195,6.03
196,9.735
197,14.36
198,19.17
199,2.258
200,3.016
201,5.883
202,5.483
203,6.148
204,7.88
205,5.927
206,7.065
207,6.944
208,6.419
209,6.931
210,6.58
211,8.199
212,6.149
213,6.772
214,6.998
215,7.218
216,8.666
217,8.304
218,7.113
219,5.381
220,7.788
221,6.766
222,5.631
223,6.152
224,7.148
225,6.7
226,7.271
227,7.461
228,6.016
229,6.489
230,7.027
231,9.158
232,8.052
233,7.088
234,7.216
235,5.719
236,7.985
237,5.118
238,7.038
239,7.788
240,7.32
241,5.96
242,7.316
243,7.42
244,7.318
245,7.229
246,6.487
247,5.794
248,6.72
249,6.986
250,6.767
251,6.581
252,6.704
253,5.331
254,6.227
255,6.069
256,6.489
257,6.995
258,6.433
259,6.132
260,6.266
261,7.545
262,7.007
263,7.873
264,6.276
265,8.263
266,6.375
267,7.673
268,7.505
269,7.097
270,7.226
271,7.012
272,6.479
273,6.62
274,6.792
275,6.587
276,7.29
277,6.18
278,7.057
279,6.965
280,6.734
281,7.23
282,8.279
283,7.882
284,6.968
285,7.048
286,6.445
287,6.331
288,6.836
289,7.818
290,5.565
291,7.102
292,7.464
293,8.385
294,6.778
295,7.111
296,7.958
297,8.064
298,6.793
299,7.952
300,7.59
