MDTU,susyTrans,Im(bilin)
10,0.00224956,0.000530179
20,0.00395696,-0.00011662
30,0.000793909,-0.00091206
40,0.000280446,-0.000976504
50,7.07421e-05,-0.000485001
60,0.00062806,-0.000276628
70,0.00215957,-0.00077262
80,0.000961806,-0.00049897
90,0.0036749,0.000102772
100,-0.00115492,-0.00108878
110,0.00288337,-2.01213e-05
120,0.00123559,-0.000203494
130,-0.0011428,-0.0007554
140,-0.00246957,0.000316557
150,0.000651087,-5.92316e-06
160,-0.00136921,-0.000386277
170,0.0036661,0.000162072
180,0.00044432,-0.00011875
190,0.00319275,-0.00102009
200,0.0023258,-0.000189703
210,0.00433858,-0.000160415
220,-0.000704136,-0.000539047
230,-0.000893837,-0.000480861
240,0.00235456,0.000461671
250,-0.00108958,-9.98726e-05
260,0.000652522,-0.000434751
270,-0.00352742,0.000548507
280,0.00112849,0.000498587
290,-0.0022556,0.000750963
300,-0.00404768,-0.000438024
310,0.00398316,0.000169969
320,-0.00618659,0.0010845
330,-0.000370181,0.000339336
340,0.00492185,-0.000413648
350,-0.00563245,-0.000828903
360,-0.00516323,0.00126519
370,-0.00478336,0.000444984
380,0.00345464,0.000856766
390,-0.00152712,-0.000368364
400,-0.00213937,0.000747901
410,0.00656635,-0.000254293
420,0.00299532,-0.000260538
430,-0.00331899,0.000675505
440,-0.00257445,0.000198961
450,-0.00124875,0.000293816
460,-0.00133362,0.00108373
470,-0.00267788,0.000513823
480,-0.00271146,-0.000397876
490,0.000397319,-0.00023869
500,0.00202061,0.000173893
510,0.000633826,0.000178273
520,0.0022287,0.000837603
530,9.40538e-05,-0.000269817
540,-0.00192294,0.000568445
550,-0.00758794,0.000155467
560,-0.00363698,0.000511091
570,-0.000827436,0.000230586
580,-0.00246116,0.000445172
590,0.0047552,-0.000358058
600,0.0042111,0.000136247
610,-0.00190065,-0.000141292
620,-0.000433907,-0.00074681
630,-0.00143846,-0.000470884
640,0.00154389,-0.000925446
650,0.000679328,2.58799e-05
660,0.000598874,4.83869e-05
670,-0.00330943,0.000696717
680,-0.00127451,-0.000108463
690,0.00295114,-0.000569287
700,0.00153235,-0.000263052
710,-0.0057344,0.000409465
720,0.000696704,0.000304632
730,-0.00178509,0.000194499
740,0.00447419,-0.00139973
750,-0.00183957,0.000295707
760,-0.00209188,0.000500947
770,-0.00144436,0.00081296
780,-0.000491776,1.47817e-05
790,-0.0030921,-0.00063928
800,-0.00620489,-4.09263e-05
810,0.00290711,0.000933962
820,-0.00404458,0.00100572
830,-0.000996732,-0.000348366
840,-0.0046154,-0.000478541
850,-0.000821826,-0.000491796
860,-0.00528027,-0.000302675
870,-0.00386418,0.000137156
880,0.00522638,0.000611181
890,0.00553764,0.00023955
900,-0.000893209,-0.000274952
910,0.00286701,0.00042324
920,-0.00051696,-0.000215879
930,-0.00107993,4.23236e-05
940,0.00113071,0.000975806
950,-0.00363774,-0.00011697
960,-0.000759467,0.000897995
970,-0.00173877,-2.04115e-05
980,-0.00363393,-6.79264e-06
990,0.00127507,0.000647222
1000,0.00401717,-0.000599137
1010,0.00131106,-0.000320278
1020,-0.000334441,-0.000594594
1030,-0.00110488,0.00036515
1040,-0.00251835,3.30558e-05
1050,0.00285081,-0.00030059
1060,0.000813735,0.000396903
1070,0.000129343,0.000541113
1080,0.00283362,-9.84182e-05
1090,0.000576284,-0.000181254
1100,0.00581589,-0.00110258
1110,-0.00246721,-0.000794912
1120,-0.00128573,-0.00141113
1130,0.00234227,-0.000613099
1140,0.00157281,0.000117415
1150,0.000473384,0.000290137
1160,-0.000511659,-0.000148693
1170,-0.00183327,-0.000326718
1180,-0.00109072,5.17418e-05
1190,-0.00310443,-0.000150582
1200,0.00311895,0.000354403
1210,-0.00115743,-0.000101481
1220,-0.000840639,-0.000101379
1230,-0.00116934,0.000296705
1240,0.000139304,0.000504544
1250,0.00511122,-3.86043e-06
1260,0.00243044,0.000429475
1270,-0.00260732,0.000120394
1280,-0.0043011,0.000331283
1290,0.00134586,-0.000376821
1300,-0.00400712,0.00046038
1310,-9.91258e-05,-0.00087003
1320,-0.00348226,-0.000260277
1330,-0.00284933,-6.86447e-05
1340,0.00182571,-0.000138785
1350,-0.00389886,-0.000272354
1360,0.000472668,0.00106027
1370,0.00355984,-0.000599332
1380,-0.000962957,5.07247e-05
1390,0.0019462,0.000977251
1400,-0.0090387,0.000692357
1410,0.00454439,0.000374241
1420,0.00359149,-0.00122592
1430,-0.00656123,-0.000175775
1440,0.00164501,-0.000794025
1450,-0.00219128,0.000734673
1460,0.00206738,0.000302709
1470,0.00033016,0.000372102
1480,-0.00426187,-0.000570577
1490,-0.000214154,0.000255273
1500,-0.000263385,0.000717002
1510,-0.000702688,0.00042333
1520,0.00248223,0.000150031
1530,0.00304746,0.000776532
1540,0.00372985,-0.000983183
1550,0.000822667,0.000907883
1560,-0.00118894,0.000202152
1570,0.00128533,0.000535011
1580,-0.00560306,0.000594
1590,-0.00487489,0.00080189
1600,-0.001519,-0.000688907
1610,0.00386401,-0.000705152
1620,-0.00230191,0.0010339
1630,0.00111389,0.000447658
1640,0.000920203,-0.000733672
1650,0.00092961,0.000875962
1660,0.00217164,-0.000364286
1670,0.000413584,0.000145431
1680,-0.00465027,-0.000496441
1690,-0.00020898,-0.00023221
1700,0.00387885,-0.000744508
1710,0.000816537,-0.00119369
1720,0.00172596,-0.000189514
1730,-0.000262744,-0.000327778
1740,-0.00104417,-0.000730977
1750,-0.00357291,0.000322669
1760,0.00478366,0.000184271
1770,0.0014767,0.00110659
1780,0.00319905,-0.000816357
1790,0.00523345,0.000130056
1800,-0.00101387,0.000311901
1810,-0.001047,0.00153733
1820,0.00167184,-0.000511092
1830,0.00469026,-0.000129957
1840,-0.000830174,-0.000151744
1850,0.00196491,0.000426127
1860,-0.00458516,-0.0001057
1870,-0.00148852,-0.000409367
1880,0.00283215,0.000202909
1890,-0.00374686,-0.000696482
1900,-0.000925612,-0.000502889
1910,-0.0037849,-0.000255331
1920,-0.00141138,-0.000104002
1930,-0.000754552,-9.33124e-05
1940,-0.00118278,-0.000426511
1950,0.0036445,0.000965986
1960,-0.00378912,-0.000360808
1970,0.000844691,0.000582298
1980,-0.00161226,-0.000344311
1990,-0.00030909,-0.000493765
2000,-0.00553729,0.000369932
2010,0.00456861,0.000426257
2020,0.00281208,-0.00051517
2030,-0.00212611,-0.000336554
2040,-0.000815658,0.000773814
2050,0.00230007,0.000710251
2060,0.00306753,0.000371237
2070,-0.00121551,0.000159153
2080,0.00143164,-0.000558438
2090,-0.00110536,-7.76584e-05
2100,-0.0053829,0.00112722
2110,-0.000409255,-0.000494357
2120,0.000324401,-7.7371e-05
2130,-4.54319e-05,-0.00024863
2140,0.00148449,0.00015342
2150,-0.000615249,0.000248994
2160,-0.000217294,0.000351438
2170,0.00360573,-0.00074758
2180,-0.00211545,0.00072516
2190,-0.0060501,-0.000337709
2200,8.09327e-06,3.26982e-05
2210,-0.00108898,0.000389527
2220,-0.00581392,0.000261514
2230,-0.00315796,0.00012346
2240,-0.000813227,0.00017815
2250,-0.00172739,-0.000331426
2260,-0.00324945,0.000383648
2270,0.000204108,0.000384428
2280,-0.00320728,-4.15636e-05
2290,-0.00210757,-0.000112223
2300,-0.00506281,-0.000302202
2310,0.00107857,0.000162839
2320,0.00015246,-0.000148252
2330,0.00143789,0.000229302
2340,0.000717836,-0.000548814
2350,-0.00573368,0.000794417
2360,0.000656535,0.000487642
2370,0.000414806,0.000112686
2380,0.00323107,-0.000233024
2390,0.00801443,-0.000393513
2400,-0.00337571,-0.000745764
2410,0.00221395,-0.000117083
2420,-6.96057e-05,0.000807139
2430,0.000512863,-0.00032072
2440,0.00480527,0.000480768
2450,0.000894151,-6.63747e-05
2460,-0.000444334,-0.000607315
2470,-0.000814611,0.000608346
2480,0.000993141,0.000298119
2490,-0.00525279,9.09281e-05
2500,-0.00162363,8.7167e-06
2510,-0.00568185,-0.000109477
2520,-0.00471418,0.000489318
2530,-0.00374944,-0.000429451
2540,0.00110942,0.000527891
2550,0.00106579,0.000173346
2560,-0.000304385,0.000115787
2570,-0.00118235,1.35266e-06
2580,-0.00108561,0.000328509
2590,-0.0047198,0.000321452
2600,-0.00323774,0.000155456
2610,0.000409152,-0.000341253
2620,0.000261471,-0.000439037
2630,-0.00504562,0.000190484
2640,0.0028122,0.000273001
2650,-0.00697072,0.000247559
2660,-0.00444173,-0.000318425
