t,deltaS
1,2.01
2,1.677
3,1.594
4,1.378
5,-0.08134
6,-0.04072
7,-0.955
8,0.2159
9,-1.112
10,-0.4931
11,0.1533
12,-0.2206
13,0.4014
14,0.01103
15,-0.422
16,-0.5995
17,-0.01702
18,-0.9184
19,0.2572
20,-0.3066
21,-0.6667
22,0.3102
23,-0.8506
24,-0.8043
25,0.5282
26,0.08899
27,0.3161
28,-0.464
29,-0.252
30,0.2081
31,-0.5878
32,0.4072
33,0.1619
34,-0.141
35,-0.1538
36,-0.1525
37,0.4993
38,0.4415
39,-0.03464
40,-0.5041
41,-0.4285
42,-0.009346
43,-0.4059
44,-1.27
45,-0.4247
46,-0.08681
47,0.1506
48,-0.09679
49,-0.6441
50,-0.28
51,0.3119
52,0.5977
53,0.3279
54,0.5932
55,-0.4038
56,-0.03872
57,-0.8708
58,0.1489
59,-0.6145
60,0.2192
61,-0.2095
62,-0.3822
63,0.1233
64,-0.8391
65,-0.658
66,-0.1396
67,0.2067
68,-0.5455
69,-0.1574
70,-0.255
71,-0.5842
72,-0.2875
73,0.1441
74,0.2477
75,0.7527
76,-0.6005
77,-0.9286
78,-0.04014
79,0.02988
80,-0.5141
81,0.1558
82,-0.5983
83,0.06514
84,-0.3291
85,0.4339
86,0.5372
87,-0.1862
88,0.3312
89,-0.6368
90,-0.2532
91,0.6768
92,-0.4962
93,0.4368
94,-0.1055
95,0.3375
96,-0.1316
97,0.5028
98,-0.1106
99,0.1008
100,-0.2124
101,-0.3949
102,-0.3815
103,-0.1543
104,1.691
105,-0.45
106,0.5881
107,0.01382
108,-0.7332
109,0.7895
110,-0.5169
111,-0.161
112,-0.1731
113,0.3375
114,0.04445
115,-0.2033
116,-0.5966
117,0.7394
118,-0.6941
119,-0.3924
120,-0.9235
121,0.3249
122,-0.6139
123,-0.05373
124,-0.205
125,-0.5599
126,0.8459
127,-0.02604
128,0.04207
129,-0.142
130,-0.7139
131,-0.01232
132,0.3116
133,-0.388
134,0.5859
135,-0.25
136,0.58
137,0.07042
138,0.7472
139,0.2116
140,0.2921
141,0.07814
142,-0.1996
143,0.3159
144,-0.2363
145,0.02989
146,0.1559
147,-0.5423
148,-0.3617
149,-0.592
150,0.6542
151,0.01858
152,0.07471
153,0.04416
154,0.06684
155,-0.4263
156,-0.7515
157,-0.6611
158,0.4633
159,-0.1088
160,0.8843
161,0.1606
162,-0.04338
163,-0.8094
164,-0.1983
165,-0.4392
166,0.5791
167,-0.1388
168,0.5496
169,-0.4948
170,-0.03425
171,-0.7163
172,0.2143
173,-0.01276
174,0.1322
175,0.1051
176,0.4116
177,-0.4174
178,0.05377
179,1.016
180,-0.07719
181,0.36
182,-0.2755
183,1.224
184,0.223
185,0.3817
186,-0.345
187,0.6673
188,0.6872
189,-0.2072
190,-0.2675
191,0.4155
192,-0.4014
193,0.1909
194,1.178
195,-0.5173
196,-0.5123
197,0.01142
198,-0.6495
199,-0.3596
200,0.09533
201,0.04042
202,-0.1252
203,0.2654
204,-0.7654
205,-0.1219
206,-0.09836
207,-0.3333
208,-0.1871
209,0.5571
210,0.2677
211,-0.1034
212,-0.6322
213,0.2364
214,-0.03384
215,-0.6997
216,0.1892
217,0.4807
218,0.2357
219,0.361
220,-0.2654
221,0.09825
222,-0.1232
223,0.4316
224,0.4954
225,0.162
226,0.08235
227,-0.5274
228,0.3251
229,0.0008694
230,0.2052
231,0.1483
232,-0.2968
233,-0.02934
234,-0.3697
235,0.1822
236,-0.2737
237,-0.2687
238,-0.3938
239,0.6979
240,0.5417
241,0.5911
242,-0.08898
243,-0.2403
244,0.7391
245,0.5289
246,0.7257
247,0.1189
248,0.3829
249,0.3418
250,-0.2717
251,-0.3895
252,-0.3852
253,-0.664
254,0.9491
255,-0.2492
256,0.5272
257,0.5169
258,-0.1291
259,0.5306
260,0.3851
261,0.5734
262,0.6122
263,0.1324
264,0.06547
265,0.6676
266,-0.8325
267,0.09156
268,-0.2856
269,-0.164
270,0.9668
271,-0.2259
272,0.5798
273,-0.4597
274,0.4948
275,0.05617
276,0.356
277,0.3515
278,0.3544
279,0.5567
280,0.3303
281,-0.2358
282,-0.3819
283,0.03282
284,0.156
285,-0.4048
286,0.9405
287,0.1787
288,0.3879
289,0.2412
290,-0.4251
291,-0.7658
292,-0.02395
293,0.03938
294,-0.5646
295,-0.9235
296,-0.2071
297,0.7064
298,0.6636
299,0.4012
300,-0.1816
301,-0.493
302,-0.1609
303,0.5177
304,-0.2856
305,0.3499
306,-0.3215
307,0.3525
308,0.3991
309,0.252
310,0.03041
311,-0.7799
312,0.116
313,-0.4346
314,-0.04214
315,-0.5357
316,-0.2249
317,0.7078
318,0.4141
319,-0.475
320,-0.4361
321,-1.049
322,-0.298
323,-0.4121
324,-0.498
325,0.04943
326,-0.2499
327,-0.1819
328,0.01383
329,0.3905
330,-0.01479
331,0.6451
332,-0.2856
333,-0.07436
334,0.05466
335,0.07907
336,0.931
337,-0.02487
338,0.2583
339,-0.1823
340,0.3389
341,0.3412
342,0.3017
343,-0.4939
344,-0.7328
345,0.1176
346,0.6369
347,0.4076
348,0.3191
349,0.373
350,1.245
351,-0.2851
352,-0.3869
353,0.3653
354,-0.1832
355,-0.8319
356,-0.6876
357,-0.3055
358,-0.7997
359,0.3884
360,-0.576
361,0.2864
362,0.2991
363,0.1577
364,-0.6811
365,-0.2932
366,0.5262
367,-0.09269
368,0.3748
369,0.6721
370,-0.3055
371,0.2069
372,-0.2784
373,0.6512
374,0.1507
375,-0.1767
376,-0.07978
377,0.0661
378,-0.09135
379,0.3057
380,0.2616
381,-0.1606
382,0.1907
383,-0.2388
384,0.3235
385,-0.2842
386,-0.4203
387,0.03626
388,-0.8468
389,1.163
390,0.2347
391,0.2529
392,-0.6288
393,0.5721
394,-0.03738
395,-0.9584
396,0.5679
397,0.1647
398,-0.8809
399,-0.4632
400,-0.289
401,0.3353
402,0.5517
403,-0.03264
404,0.2492
405,-0.02804
406,0.6926
407,-0.1615
408,0.4478
409,-0.2499
410,-0.05718
411,0.4945
412,0.968
413,0.6201
414,0.284
415,-0.1914
416,0.5974
417,-0.2084
418,-0.03764
419,-0.4234
420,-0.5129
421,0.692
422,0.0697
423,0.258
424,0.2844
425,0.07413
426,0.1353
427,-0.15
428,-0.2455
429,0.9667
430,-0.391
431,-0.1516
432,-0.6028
433,0.5393
434,-0.119
435,0.01985
436,-0.1906
437,0.1216
438,0.2648
439,-0.049
440,-0.7054
441,-0.2965
442,0.2692
443,-0.161
444,-0.8882
445,-0.2714
446,-0.3822
447,-0.6308
448,0.09964
449,-0.4689
450,0.1211
451,-0.1246
452,0.2725
453,-0.2757
454,0.129
455,-0.4744
456,0.4062
457,-0.1911
458,0.4575
459,0.2986
460,-0.2141
461,-0.401
462,0.1713
463,0.3947
464,-0.06819
465,0.3111
466,-0.733
467,0.4955
468,-0.5133
469,0.5615
470,-0.3298
471,0.3254
472,0.2778
473,-0.5573
474,0.6495
475,-0.6429
476,-0.253
477,0.6341
478,0.02617
479,0.7305
480,0.5686
481,0.743
482,0.7786
483,0.006863
484,0.3699
485,0.6847
486,0.517
487,-0.06607
488,0.8465
489,-0.03447
490,0.2116
491,0.1472
492,0.4606
493,0.5226
494,-0.5561
495,-0.1484
496,-0.8545
497,-0.04463
498,0.7863
499,-0.6122
500,0.7882
501,-0.1099
502,0.2215
503,1.065
504,-0.2393
505,0.2069
506,-0.3041
507,-0.1457
508,-0.2034
509,0.7809
510,-0.2649
511,0.1297
512,0.001293
513,-0.1265
514,-0.2491
515,0.5699
516,0.6462
517,-0.08476
518,-0.2987
519,0.5232
520,-0.2237
521,0.5931
522,0.2413
523,-0.1407
524,-0.1916
525,0.6489
526,0.5881
527,0.5359
528,0.7809
529,-0.1003
530,0.114
531,0.221
532,0.3343
533,0.556
534,0.5729
535,-0.1164
536,0.5697
537,-0.4506
538,-0.09757
539,-0.03045
540,-0.6581
541,0.7767
542,0.1047
543,-0.1409
544,0.9461
545,-0.1236
546,0.7636
547,0.3415
548,-0.5145
549,-0.1482
550,-0.1709
551,0.2933
552,0.7923
553,0.139
554,0.1071
555,-0.1829
556,0.1294
557,-0.4053
558,-0.01745
559,0.8667
560,0.07295
561,0.0863
562,-0.2069
563,0.4798
564,-0.05354
565,-0.1127
566,0.3683
567,0.3167
568,-0.128
569,0.3591
570,0.1432
571,0.3608
572,0.8877
573,0.4015
574,0.8125
575,0.6274
576,0.3325
577,0.3176
578,-0.6201
579,-0.08315
580,-0.1974
581,0.1666
582,0.4781
583,0.4555
584,-0.05446
585,1.071
586,-0.1283
587,0.5759
588,-0.1748
589,-0.4908
