t,cg_iters
1,23066
2,22555
3,22579
4,22428
5,22561
6,22632
7,22797
8,22695
9,22510
10,22752
11,22681
12,22851
13,22958
14,22840
15,23192
16,22968
17,22789
18,22961
19,22899
20,22643
21,5819
22,5832
23,5957
24,5873
25,5824
26,5876
27,5848
28,5912
29,5887
30,5924
31,5953
32,5899
33,5854
34,5892
35,5905
36,5891
37,5902
38,5877
39,5904
40,5943
41,4799
42,4820
43,4767
44,4816
45,4789
46,4752
47,4770
48,4787
49,4769
50,4804
51,4818
52,4747
53,4735
54,4805
55,4848
56,4802
57,4798
58,4761
59,4815
60,4842
61,4737
62,4766
63,4731
64,4735
65,4729
66,4719
67,4758
68,4779
69,4803
70,4782
71,4791
72,4707
73,4682
74,4708
75,4730
76,4702
77,4691
78,4724
79,4780
80,4707
81,4753
82,4731
83,4723
84,4775
85,4767
86,4764
87,4726
88,4662
89,4733
90,4723
91,4764
92,4757
93,4785
94,4748
95,4817
96,4794
97,4775
98,4783
99,4783
100,4777
101,4732
102,4779
103,4783
104,4740
105,4763
106,4804
107,4717
108,4804
109,4826
110,4810
111,4794
112,4781
113,4768
114,4754
115,4731
116,4753
117,4762
118,4712
119,4809
120,4776
121,4744
122,4697
123,4702
124,4745
125,4754
126,4718
127,4635
128,4682
129,4708
130,4717
131,4738
132,4766
133,4777
134,4795
135,4831
136,4765
137,4700
138,4703
139,4735
140,4764
141,4732
142,4733
143,4727
144,4719
145,4679
146,4710
147,4749
148,4735
149,4759
150,4767
151,4761
152,4696
153,4710
154,4764
155,4792
156,4826
157,4761
158,4787
159,4768
160,4723
161,4759
162,4733
163,4786
164,4835
165,4793
166,4770
167,4757
168,4758
169,4718
170,4762
171,4756
172,4700
173,4739
174,4747
175,4770
176,4767
177,4804
178,4800
179,4736
180,4768
181,4735
182,4745
183,4738
184,4768
185,4755
186,4753
187,4757
188,4701
189,4710
190,4768
191,4756
192,4783
193,4838
194,4819
195,4748
196,4729
197,4709
198,4751
199,4772
200,4784
201,4777
202,4773
203,4793
204,4780
205,4799
206,4721
207,4736
208,4735
209,4749
210,4730
211,4758
212,4815
213,4790
214,4774
215,4758
216,4759
217,4779
218,4763
219,4722
220,4730
221,4777
222,4799
223,4793
224,4796
225,4797
226,4800
227,4758
228,4760
229,4778
230,4775
231,4757
232,4763
233,4769
234,4711
235,4746
236,4727
237,4745
238,4733
239,4776
240,4743
241,4692
242,4703
243,4700
244,4721
245,4792
246,4755
247,4789
248,4810
249,4748
250,4780
