MDTU,0,2,4,6,8,10
10,17.3498,17.3331,17.3275,17.3161,17.3105,17.3005
20,17.4892,17.4742,17.4691,17.4591,17.4495,17.4456
30,17.2729,17.2542,17.2427,17.2352,17.2316,17.2201
40,17.2215,17.2056,17.1949,17.1854,17.1846,17.1804
50,17.2413,17.2226,17.2197,17.2179,17.214,17.2123
60,17.3936,17.3801,17.3751,17.3659,17.3605,17.3544
70,17.4069,17.392,17.3887,17.3812,17.3762,17.3649
80,17.382,17.3692,17.3668,17.3572,17.3536,17.3472
90,17.3704,17.3506,17.3453,17.3376,17.3324,17.3202
100,17.568,17.5441,17.5386,17.5313,17.5243,17.5159
110,17.4651,17.4516,17.4486,17.4453,17.4409,17.4344
120,17.4865,17.4669,17.4635,17.4562,17.4531,17.4507
130,17.7194,17.7038,17.6953,17.694,17.6853,17.6787
140,17.4638,17.4473,17.4388,17.4285,17.4277,17.4194
150,17.3578,17.3445,17.3391,17.3305,17.3279,17.3227
160,17.4895,17.4748,17.468,17.4607,17.4553,17.4495
170,17.4067,17.3923,17.3819,17.3652,17.3521,17.342
180,17.437,17.4245,17.4211,17.418,17.4133,17.4107
190,17.5399,17.5182,17.5143,17.4923,17.4812,17.4711
200,17.4286,17.4167,17.4114,17.4066,17.4017,17.3946
210,17.4711,17.4552,17.4459,17.4339,17.4263,17.4096
220,17.5624,17.5455,17.5401,17.5296,17.5266,17.5233
230,17.5298,17.522,17.5108,17.5084,17.5049,17.5032
240,17.6076,17.5936,17.5877,17.5722,17.5686,17.5627
250,17.4667,17.4647,17.4472,17.4458,17.4428,17.4392
260,17.5216,17.5028,17.496,17.4897,17.4818,17.4702
270,17.4816,17.4592,17.4535,17.4422,17.4374,17.4275
280,17.4381,17.4236,17.4104,17.3859,17.3799,17.3712
290,17.389,17.371,17.3577,17.3504,17.3427,17.3358
300,17.383,17.3704,17.3608,17.3469,17.34,17.3318
310,17.5513,17.5309,17.5161,17.5013,17.4949,17.4784
320,17.6072,17.593,17.5807,17.5734,17.572,17.5589
330,17.5806,17.5648,17.553,17.5428,17.5343,17.5306
340,17.3886,17.3714,17.3648,17.3512,17.3423,17.333
350,17.5718,17.5506,17.5405,17.5282,17.5197,17.5072
360,17.4304,17.4109,17.4074,17.4032,17.4,17.3978
370,17.6923,17.6752,17.6701,17.6574,17.6535,17.6454
380,17.4393,17.4212,17.4114,17.3948,17.3889,17.3724
390,17.4147,17.3936,17.386,17.3822,17.3781,17.3716
400,17.4511,17.43,17.4229,17.4195,17.4135,17.4026
410,17.4498,17.4289,17.4236,17.4151,17.4143,17.4094
420,17.5089,17.4953,17.4873,17.4764,17.4726,17.467
430,17.4372,17.4198,17.4152,17.4086,17.4059,17.3995
440,17.4443,17.4315,17.426,17.4212,17.4179,17.4137
450,17.6401,17.6221,17.6119,17.6018,17.5938,17.5793
460,17.378,17.3599,17.3555,17.3524,17.3506,17.348
470,17.5231,17.502,17.4986,17.4948,17.4904,17.486
480,17.4493,17.4308,17.4286,17.4255,17.4241,17.4189
490,17.4992,17.4824,17.4783,17.4722,17.4665,17.4625
500,17.693,17.6786,17.6699,17.6591,17.6505,17.6421
510,17.4703,17.4532,17.448,17.4421,17.4376,17.4334
520,17.5294,17.5101,17.5078,17.4944,17.49,17.489
530,17.5692,17.5558,17.5497,17.541,17.5347,17.5295
540,17.2971,17.2918,17.2813,17.2732,17.2718,17.2661
550,17.3442,17.328,17.3184,17.3106,17.3028,17.2964
560,17.2508,17.2304,17.2266,17.2199,17.2192,17.2173
570,17.3046,17.2869,17.2834,17.2761,17.2746,17.2681
580,17.2095,17.1931,17.1881,17.1801,17.1769,17.1724
590,17.3971,17.3804,17.3725,17.3701,17.3646,17.3582
600,17.2553,17.2371,17.2336,17.2296,17.2252,17.2217
610,17.3518,17.3367,17.3253,17.3156,17.3121,17.2955
620,17.3023,17.2861,17.2824,17.2756,17.2737,17.2712
630,17.477,17.4625,17.4522,17.4439,17.4351,17.4289
640,17.3826,17.3707,17.366,17.3565,17.3538,17.351
650,17.4768,17.4662,17.4608,17.4574,17.4515,17.4472
660,17.4253,17.409,17.4068,17.3975,17.394,17.3872
670,17.3447,17.3333,17.3261,17.3179,17.313,17.3057
680,17.3692,17.3567,17.3476,17.3384,17.3297,17.3228
690,17.5895,17.5764,17.5717,17.5655,17.5587,17.5524
700,17.5373,17.5221,17.513,17.5067,17.4962,17.4925
710,17.3105,17.2933,17.2904,17.2863,17.2805,17.2745
720,17.4521,17.4348,17.4248,17.4191,17.4147,17.4065
730,17.2831,17.2777,17.2694,17.2636,17.2576,17.2546
740,17.4445,17.4289,17.4206,17.4134,17.4076,17.4027
750,17.4203,17.4023,17.399,17.3914,17.3868,17.3778
760,17.3684,17.3501,17.3467,17.3327,17.3248,17.315
770,17.335,17.3278,17.3202,17.3152,17.3108,17.3087
780,17.3731,17.3599,17.3569,17.3472,17.3379,17.3344
790,17.372,17.3546,17.3532,17.3506,17.3464,17.3444
800,17.4497,17.4335,17.4226,17.4163,17.4103,17.3991
810,17.3522,17.3339,17.326,17.3164,17.312,17.3021
820,17.185,17.1684,17.1642,17.1578,17.1531,17.1504
830,17.2959,17.2787,17.2756,17.272,17.2658,17.2624
840,17.3327,17.3164,17.3112,17.3017,17.2971,17.287
850,17.3533,17.3369,17.3317,17.3288,17.3254,17.3223
860,17.228,17.2162,17.2115,17.2046,17.1998,17.1966
870,17.5401,17.528,17.5214,17.5127,17.5049,17.4974
880,17.2344,17.2169,17.2141,17.2058,17.2043,17.2018
890,17.157,17.1363,17.1315,17.1201,17.1123,17.1083
900,17.2788,17.262,17.2588,17.2554,17.2518,17.2464
910,17.2132,17.1997,17.1947,17.1811,17.1793,17.1705
920,17.448,17.4311,17.4179,17.3998,17.3897,17.3765
930,17.1859,17.1699,17.165,17.1631,17.1578,17.155
940,17.2749,17.2558,17.25,17.2383,17.2339,17.2298
950,17.4025,17.3863,17.3817,17.3677,17.3618,17.3514
960,17.3315,17.3086,17.3012,17.2972,17.2918,17.2842
970,17.3185,17.3074,17.3037,17.296,17.2906,17.2866
980,17.3132,17.298,17.2947,17.2822,17.2772,17.2738
990,17.3707,17.3574,17.353,17.3427,17.3369,17.3304
1000,17.3371,17.3184,17.3144,17.3046,17.2971,17.2889
1010,17.355,17.3363,17.3314,17.3243,17.321,17.3152
1020,17.3031,17.2892,17.2841,17.2729,17.2722,17.2679
1030,17.3709,17.3506,17.3412,17.33,17.3263,17.3206
1040,17.4265,17.4129,17.4007,17.3933,17.3859,17.3775
1050,17.478,17.4562,17.4528,17.4491,17.4447,17.4402
1060,17.6628,17.6464,17.6423,17.6368,17.6332,17.6274
1070,17.4548,17.4492,17.4373,17.4339,17.4316,17.4269
1080,17.4491,17.4272,17.4204,17.4058,17.3978,17.3847
1090,17.5168,17.5015,17.4929,17.4888,17.482,17.4774
1100,17.3687,17.3598,17.3519,17.3485,17.3447,17.343
1110,17.2102,17.2021,17.1935,17.1846,17.1828,17.1781
1120,17.2996,17.283,17.2749,17.268,17.2657,17.2615
1130,17.5051,17.4895,17.4795,17.472,17.4634,17.4538
1140,17.4673,17.4519,17.4466,17.4387,17.4342,17.4271
1150,17.4002,17.3795,17.376,17.3724,17.3687,17.3616
1160,17.3884,17.3747,17.37,17.3577,17.3557,17.3522
1170,17.4663,17.4567,17.4508,17.4464,17.4425,17.4368
1180,17.3589,17.3436,17.3389,17.3296,17.3261,17.3203
1190,17.3155,17.3062,17.3009,17.2975,17.2911,17.2861
1200,17.4021,17.3885,17.3821,17.3769,17.3707,17.3675
1210,17.3792,17.36,17.3588,17.3522,17.3443,17.3404
1220,17.1993,17.1861,17.1783,17.1719,17.1678,17.1655
1230,17.4222,17.4088,17.4061,17.3988,17.3938,17.3903
1240,17.3364,17.3155,17.311,17.3006,17.297,17.2871
1250,17.4759,17.4605,17.4551,17.4416,17.4347,17.4285
1260,17.3897,17.3709,17.3672,17.3613,17.357,17.3488
1270,17.3894,17.3727,17.3672,17.3619,17.3572,17.3489
1280,17.444,17.4291,17.4221,17.4112,17.4077,17.3991
1290,17.3025,17.2789,17.2683,17.2628,17.2549,17.2448
1300,17.4964,17.4803,17.4724,17.4653,17.4596,17.4495
1310,17.28,17.2643,17.2584,17.2472,17.2441,17.2381
1320,17.2822,17.2665,17.2576,17.2499,17.2436,17.2394
1330,17.1782,17.1598,17.1565,17.153,17.1501,17.1482
1340,17.2542,17.2376,17.2326,17.2265,17.2251,17.2163
1350,17.201,17.1832,17.1811,17.1762,17.1716,17.1692
1360,17.2335,17.2152,17.2103,17.1973,17.1938,17.1889
1370,17.2318,17.2149,17.2084,17.1959,17.1889,17.178
1380,17.2235,17.2052,17.197,17.1891,17.1841,17.1788
1390,17.2621,17.2444,17.2418,17.2321,17.2273,17.2224
1400,17.5406,17.5227,17.5131,17.5099,17.4966,17.4878
1410,17.2331,17.2149,17.2034,17.1963,17.1891,17.1802
1420,17.1552,17.1374,17.1359,17.1325,17.1273,17.1244
1430,17.2635,17.2476,17.2416,17.2326,17.2255,17.2128
1440,17.4081,17.3931,17.3892,17.3833,17.3781,17.368
1450,17.3613,17.3473,17.3414,17.332,17.3289,17.3238
1460,17.4844,17.4681,17.4637,17.4535,17.4428,17.4379
1470,17.3751,17.3592,17.354,17.3406,17.3305,17.3227
1480,17.2315,17.216,17.2039,17.195,17.192,17.1824
1490,17.3203,17.306,17.3026,17.2925,17.2871,17.2791
1500,17.2674,17.2485,17.2418,17.234,17.2309,17.2225
1510,17.4967,17.4808,17.4728,17.4652,17.458,17.449
1520,17.2452,17.2258,17.2218,17.2172,17.2083,17.2043
1530,17.3776,17.3616,17.3555,17.3509,17.3465,17.343
1540,17.4461,17.4325,17.4291,17.4131,17.4052,17.3951
1550,17.4047,17.3848,17.3737,17.3653,17.3583,17.342
1560,17.1955,17.1911,17.1817,17.1752,17.1726,17.1686
1570,17.1906,17.1879,17.1769,17.1717,17.1686,17.1677
1580,17.1884,17.1778,17.1705,17.1635,17.1602,17.1569
1590,17.3722,17.3571,17.3514,17.3383,17.3301,17.3215
1600,17.3026,17.2852,17.2774,17.2723,17.2696,17.2631
1610,17.3392,17.3248,17.3158,17.303,17.2961,17.284
1620,17.2821,17.2671,17.262,17.256,17.2523,17.2451
1630,17.1872,17.1702,17.1669,17.1596,17.1551,17.1484
1640,17.1812,17.1691,17.1665,17.1524,17.1448,17.1405
1650,17.3373,17.321,17.3108,17.3024,17.299,17.2889
1660,17.3362,17.3207,17.3128,17.2983,17.2981,17.2938
1670,17.3525,17.3375,17.3264,17.3186,17.3155,17.3105
1680,17.2964,17.2767,17.2725,17.2658,17.2617,17.2531
1690,17.4659,17.45,17.4408,17.4314,17.4265,17.4157
1700,17.4281,17.4127,17.4085,17.3998,17.3933,17.3863
1710,17.3732,17.3514,17.3482,17.3382,17.3354,17.3277
1720,17.3438,17.3254,17.3191,17.3082,17.3013,17.2898
1730,17.314,17.2977,17.2937,17.289,17.2815,17.2744
1740,17.2489,17.2343,17.2266,17.2139,17.2086,17.205
1750,17.2935,17.2776,17.2723,17.2557,17.2466,17.2366
1760,17.3564,17.3409,17.3364,17.3295,17.3245,17.3202
1770,17.2644,17.2475,17.2404,17.2313,17.2277,17.2232
1780,17.1774,17.1586,17.1516,17.1418,17.1398,17.132
1790,17.2534,17.236,17.2322,17.228,17.2189,17.2148
1800,17.0881,17.0662,17.0588,17.0484,17.0425,17.0333
1810,17.3574,17.3421,17.3369,17.3335,17.3272,17.3219
1820,17.4072,17.3911,17.388,17.3795,17.3767,17.3699
1830,17.292,17.2819,17.2746,17.2713,17.2687,17.2638
1840,17.284,17.2769,17.2654,17.2625,17.2572,17.2545
1850,17.3973,17.3782,17.3767,17.3704,17.3667,17.3631
1860,17.3888,17.3698,17.3644,17.3532,17.349,17.3385
1870,17.2032,17.1964,17.1839,17.1822,17.1815,17.177
1880,17.3023,17.2855,17.2791,17.2748,17.2732,17.2663
1890,17.2946,17.2863,17.2793,17.2758,17.272,17.2693
1900,17.2321,17.2138,17.2085,17.1962,17.1919,17.1853
1910,17.2323,17.2201,17.2159,17.2064,17.2015,17.1994
1920,17.2211,17.1997,17.196,17.1897,17.1869,17.1789
1930,17.2608,17.2406,17.2373,17.228,17.2241,17.2129
1940,17.2986,17.2818,17.2774,17.2673,17.2652,17.259
1950,17.2548,17.2371,17.2291,17.2128,17.2032,17.188
1960,17.2461,17.2383,17.2301,17.2208,17.2189,17.2149
1970,17.3499,17.3326,17.3303,17.321,17.3132,17.3092
1980,17.428,17.4085,17.4048,17.3943,17.3899,17.3829
1990,17.4242,17.4055,17.3986,17.3943,17.39,17.3854
2000,17.3555,17.3432,17.3363,17.3242,17.3155,17.3059
2010,17.5096,17.4908,17.4867,17.4827,17.479,17.4746
2020,17.3813,17.3659,17.3598,17.3502,17.3424,17.3386
2030,17.4334,17.42,17.4141,17.4084,17.403,17.3951
2040,17.3612,17.3427,17.3247,17.3179,17.3119,17.292
2050,17.234,17.2222,17.2173,17.2147,17.2091,17.2074
2060,17.2889,17.2711,17.266,17.2519,17.2475,17.2352
2070,17.2684,17.2584,17.253,17.2448,17.2405,17.2396
2080,17.3853,17.3707,17.3584,17.3433,17.3377,17.3236
2090,17.2203,17.2099,17.2004,17.1964,17.1935,17.1894
2100,17.3296,17.3134,17.3092,17.2994,17.2927,17.2859
2110,17.2831,17.2716,17.2627,17.2559,17.2485,17.2435
2120,17.3684,17.3515,17.3406,17.332,17.3283,17.3237
2130,17.4317,17.4122,17.408,17.4041,17.3987,17.3958
2140,17.2891,17.2744,17.2681,17.2649,17.26,17.2552
2150,17.2985,17.2806,17.2785,17.2695,17.2676,17.2591
2160,17.3597,17.3432,17.3356,17.3227,17.3128,17.305
2170,17.4775,17.4593,17.4513,17.4441,17.4329,17.4235
