t,eps_f,eps_g
10,0.005,0.000125
20,0.01,0.000277778
30,0.0125,0.000390625
40,0.0166667,0.000694444
50,0.02,0.001
60,0.025,0.00125
70,0.0277778,0.00138889
80,0.03125,0.00195312
90,0.03125,0.00173611
100,0.0357143,0.00198413
110,0.0357143,0.00198413
120,0.0357143,0.00198413
130,0.0357143,0.00198413
140,0.0357143,0.00198413
150,0.0357143,0.00198413
160,0.0357143,0.00223214
170,0.0357143,0.00223214
180,0.0357143,0.00223214
190,0.0357143,0.00223214
200,0.0357143,0.00223214
210,0.0384615,0.00274725
220,0.0357143,0.00255102
230,0.0357143,0.00255102
240,0.0357143,0.00255102
250,0.0357143,0.00255102
260,0.0357143,0.00255102
270,0.0357143,0.00255102
280,0.0357143,0.00255102
290,0.0357143,0.00255102
300,0.0357143,0.00255102
310,0.0357143,0.00255102
320,0.0357143,0.00255102
330,0.0357143,0.00255102
340,0.0357143,0.00255102
350,0.0357143,0.00255102
360,0.0357143,0.00255102
370,0.0357143,0.00255102
380,0.0357143,0.00255102
390,0.0357143,0.00255102
400,0.0357143,0.00255102
410,0.0357143,0.00297619
420,0.0384615,0.00274725
430,0.0416667,0.00297619
440,0.0384615,0.00274725
450,0.0384615,0.00274725
460,0.0384615,0.00274725
470,0.0384615,0.00274725
480,0.0384615,0.00274725
490,0.0384615,0.00274725
500,0.0384615,0.00274725
510,0.0357143,0.00255102
520,0.0357143,0.00255102
530,0.0357143,0.00255102
540,0.0357143,0.00255102
550,0.0357143,0.00255102
560,0.0357143,0.00255102
570,0.0357143,0.00255102
580,0.0357143,0.00255102
590,0.0357143,0.00255102
600,0.0357143,0.00255102
610,0.0357143,0.00255102
620,0.0357143,0.00255102
630,0.0357143,0.00255102
640,0.0357143,0.00255102
650,0.0357143,0.00255102
660,0.0357143,0.00255102
670,0.0357143,0.00255102
680,0.0357143,0.00255102
690,0.0357143,0.00255102
700,0.0357143,0.00255102
710,0.0357143,0.00255102
720,0.0357143,0.00255102
730,0.0357143,0.00255102
740,0.0357143,0.00255102
750,0.0357143,0.00255102
760,0.0357143,0.00255102
770,0.0357143,0.00255102
780,0.0357143,0.00255102
790,0.0357143,0.00255102
800,0.0357143,0.00255102
810,0.0357143,0.00255102
820,0.0357143,0.00255102
830,0.0357143,0.00255102
840,0.0357143,0.00255102
850,0.0357143,0.00255102
860,0.0357143,0.00255102
870,0.0357143,0.00255102
880,0.0357143,0.00255102
890,0.0357143,0.00255102
900,0.0357143,0.00255102
910,0.0357143,0.00255102
920,0.0357143,0.00255102
930,0.0357143,0.00255102
940,0.0357143,0.00255102
950,0.0357143,0.00255102
960,0.0357143,0.00255102
970,0.0357143,0.00255102
980,0.0357143,0.00255102
990,0.0357143,0.00255102
1000,0.0357143,0.00255102
1010,0.0357143,0.00255102
1020,0.0357143,0.00255102
1030,0.0357143,0.00255102
1040,0.0357143,0.00255102
1050,0.0357143,0.00255102
1060,0.0357143,0.00255102
1070,0.0357143,0.00255102
1080,0.0357143,0.00255102
1090,0.0357143,0.00255102
1100,0.0357143,0.00255102
1110,0.0357143,0.00255102
1120,0.0357143,0.00255102
1130,0.0357143,0.00255102
1140,0.0357143,0.00255102
1150,0.0357143,0.00255102
1160,0.0357143,0.00255102
1170,0.0357143,0.00255102
1180,0.0357143,0.00255102
1190,0.0357143,0.00255102
1200,0.0357143,0.00255102
1210,0.0357143,0.00255102
1220,0.0357143,0.00255102
1230,0.0357143,0.00255102
1240,0.0357143,0.00255102
1250,0.0357143,0.00255102
1260,0.0357143,0.00255102
1270,0.0357143,0.00255102
1280,0.0357143,0.00255102
1290,0.0357143,0.00255102
1300,0.0357143,0.00255102
1310,0.0357143,0.00255102
1320,0.0357143,0.00255102
1330,0.0357143,0.00255102
1340,0.0357143,0.00255102
1350,0.0357143,0.00255102
1360,0.0357143,0.00255102
1370,0.0357143,0.00255102
1380,0.0357143,0.00255102
1390,0.0357143,0.00255102
1400,0.0357143,0.00255102
1410,0.0357143,0.00255102
1420,0.0357143,0.00255102
1430,0.0357143,0.00255102
1440,0.0357143,0.00255102
1450,0.0357143,0.00255102
1460,0.0357143,0.00255102
1470,0.0357143,0.00255102
1480,0.0357143,0.00255102
1490,0.0357143,0.00255102
1500,0.0357143,0.00255102
1510,0.0357143,0.00255102
1520,0.0357143,0.00255102
1530,0.0357143,0.00255102
1540,0.0357143,0.00255102
1550,0.0357143,0.00255102
1560,0.0357143,0.00255102
1570,0.0357143,0.00255102
1580,0.0357143,0.00255102
1590,0.0357143,0.00255102
1600,0.0357143,0.00255102
1610,0.0357143,0.00255102
1620,0.0357143,0.00255102
1630,0.0357143,0.00255102
1640,0.0357143,0.00255102
1650,0.0357143,0.00255102
