t,walltime
10,995.7
20,991.6
30,326
40,329.7
50,326.5
60,349.4
70,349.5
80,358.9
90,346.7
100,342
110,360.2
120,358.2
130,357.2
140,355
150,357.3
160,343.1
170,343.8
180,341.4
190,343.3
200,339.4
210,329.9
220,365.8
230,363
240,358.3
250,357
260,357.6
270,355
280,353.2
290,354.8
300,358.6
310,360.5
320,339.8
330,337.6
340,334.4
350,340.9
360,345.5
370,340.8
380,334
390,337.9
400,336.2
410,336.5
420,366.9
430,360.7
440,362.5
450,358
460,359.6
470,351.4
480,350.6
490,350.9
500,353.6
510,356.3
520,354.3
530,357.5
540,370
550,374.1
560,383.5
570,350.6
580,351.8
590,350.4
600,351.5
610,351.2
620,374.2
630,366.2
640,369.2
650,368.8
660,366.3
670,341.2
680,339.3
690,350.5
700,339.9
710,346.7
720,344
730,340.5
740,340.8
750,341.7
760,342.2
770,362
780,364.1
790,361.7
800,360.6
810,367.9
820,345.6
830,353.8
840,353.6
850,351.2
860,356.5
870,357
880,357.2
890,360.1
900,359.5
910,356.8
920,363.2
930,373.1
940,369.3
950,372.9
960,374.1
970,412.5
980,384.8
990,383.6
1000,382
1010,370.7
1020,353.2
1030,363.8
1040,367.7
1050,366
1060,364.2
1070,352.4
1080,354.3
1090,352.4
1100,350.9
1110,359
1120,349.5
1130,351.3
1140,348.2
1150,350.4
1160,354.1
1170,346.9
1180,348.3
1190,350.7
1200,354.1
1210,349.3
1220,337.7
1230,336.8
1240,340.8
1250,342.2
1260,348.1
1270,358
1280,382.9
1290,377.6
1300,361.7
1310,329.8
1320,332.4
1330,325.4
1340,326.7
1350,322.9
1360,328.3
1370,348.4
1380,370.5
1390,379.3
1400,373.4
1410,360
1420,369.2
1430,367.9
1440,369.8
1450,369.2
1460,372.8
1470,380.4
1480,380.8
1490,384.5
1500,380.9
1510,384
1520,334.1
1530,331.6
1540,331.5
1550,331.3
1560,339.4
1570,331.1
1580,332.3
1590,334.3
1600,332.6
1610,332.8
1620,357.4
1630,355.8
1640,350.8
1650,357
1660,357.7
1670,365.2
1680,368.3
1690,372.6
1700,373
1710,363.9
1720,369.3
1730,364.9
1740,364.9
1750,362.6
1760,363
1770,363.1
1780,359.9
1790,366.6
1800,372.4
1810,367
1820,366.1
1830,368.1
1840,366.3
1850,368.3
1860,364.7
1870,341.4
1880,339.1
1890,337.4
1900,336.8
1910,334.2
1920,337.1
1930,347.3
1940,347.8
1950,349.7
1960,348.3
1970,343.6
1980,343.4
1990,340.2
2000,340.4
2010,342.2
2020,342.9
2030,337.9
2040,340
2050,341.3
2060,340
2070,344.5
2080,338.2
2090,341.5
2100,342.5
2110,341
2120,344.5
2130,343.5
2140,338.6
2150,338.5
2160,336.7
2170,345.1
2180,345.9
2190,347.3
2200,343.7
2210,341.2
2220,337.5
2230,340.4
2240,344.7
2250,344.4
2260,340.3
2270,343.4
2280,347.2
2290,346.3
2300,345.1
2310,347.3
2320,342.9
2330,348.4
2340,344.2
2350,342.6
2360,346.8
2370,323.2
2380,336
2390,338.9
2400,336.6
2410,331.2
2420,317.2
2430,306.8
2440,302
2450,301.7
2460,309.1
2470,320.3
2480,321.2
2490,323.7
2500,326.8
2510,331.1
2520,328.3
2530,330.6
2540,330.1
2550,332.1
2560,328
2570,330.1
2580,334.7
2590,331.2
2600,340.7
2610,341.9
2620,345.4
2630,346.1
2640,343.6
2650,349.1
2660,344.3
2670,348.9
2680,343.8
2690,344
2700,341.7
2710,342.1
2720,342.2
2730,344.8
