MDTU,plaq,Re(det),Im(det),link
1,1.0063,1.20866,0.267571,0.10828
2,1.53831,14.2002,2.98424,0.145837
3,1.44019,11.1373,2.41096,0.138147
4,1.41642,11.1807,2.41534,0.135405
5,1.41525,10.9939,2.3805,0.135468
6,1.37011,10.5301,2.30497,0.131144
7,1.34052,9.86672,2.15374,0.128261
8,1.32995,9.32702,2.07774,0.127505
9,1.30869,9.04012,1.99777,0.125815
10,1.30143,9.0497,2.00955,0.125368
11,1.28067,8.55417,1.93341,0.123598
12,1.26498,8.09349,1.837,0.12235
13,1.25418,7.90036,1.79764,0.121081
14,1.26214,7.74943,1.76211,0.121973
15,1.2383,7.32782,1.68487,0.119711
16,1.23514,7.3464,1.68725,0.119268
17,1.22766,7.12612,1.62161,0.118808
18,1.25856,7.23326,1.63246,0.12206
19,1.2667,7.36695,1.67841,0.122528
20,1.25739,7.42356,1.70345,0.121582
21,1.2565,7.03505,1.61144,0.12211
22,1.25107,7.02718,1.59307,0.121798
23,1.24393,7.14496,1.62949,0.121003
24,1.21335,6.65113,1.52023,0.118372
25,1.21335,6.65113,1.52023,0.118372
26,1.15178,5.86223,1.38871,0.113056
27,1.16609,6.05947,1.42125,0.114115
28,1.12821,5.92069,1.39305,0.110097
29,1.15458,5.91152,1.40476,0.112919
30,1.15458,5.91152,1.40476,0.112919
31,1.12995,5.59771,1.31903,0.110692
32,1.1296,5.58281,1.31058,0.110395
33,1.10869,5.3495,1.27948,0.108443
34,1.0592,4.92026,1.19088,0.103865
35,1.0592,4.92026,1.19088,0.103865
36,1.0653,5.1853,1.2463,0.104193
37,1.02862,4.80996,1.17621,0.100736
38,1.05127,4.72668,1.14716,0.103614
39,1.05127,4.72668,1.14716,0.103614
40,1.06946,4.73555,1.1512,0.105478
41,1.08048,4.71344,1.13576,0.106988
42,1.08148,4.58765,1.10763,0.107151
43,1.05427,4.37294,1.06311,0.104644
44,1.06168,4.32127,1.04926,0.105388
45,1.1039,4.48448,1.06474,0.109849
46,1.08357,4.16166,0.99321,0.107993
47,1.07848,4.09089,0.985913,0.107884
48,1.04829,3.91893,0.953198,0.104878
49,1.08079,3.92796,0.948957,0.108545
50,1.08513,3.88953,0.946618,0.108908
51,1.09294,3.91094,0.949281,0.110137
52,1.06724,3.93408,0.95185,0.107026
53,1.04615,3.66015,0.894333,0.105499
54,1.01363,3.47736,0.873996,0.10221
55,0.99833,3.39143,0.846025,0.10062
56,0.972023,3.21278,0.81429,0.0981278
57,1.01367,3.3179,0.834337,0.102598
58,0.986363,3.1254,0.775537,0.099814
59,0.986363,3.1254,0.775537,0.099814
60,0.996582,3.1624,0.784854,0.100882
61,1.00286,3.21799,0.802775,0.101485
62,0.993442,3.20866,0.813718,0.10056
63,0.97703,3.12147,0.787281,0.0991112
64,0.953351,3.04364,0.770988,0.0963255
65,0.953351,3.04364,0.770988,0.0963255
66,0.943682,2.94573,0.759619,0.0952379
67,0.943682,2.94573,0.759619,0.0952379
68,0.932475,2.82784,0.729998,0.0943517
69,0.967999,3.04369,0.772563,0.0980306
70,0.967999,3.04369,0.772563,0.0980306
71,0.981827,3.00984,0.75701,0.0996502
72,0.970763,2.85275,0.727421,0.098785
73,0.96282,2.78363,0.717207,0.0979825
74,0.99839,2.82149,0.71276,0.10221
75,0.99839,2.82149,0.71276,0.10221
76,0.969953,2.63906,0.680726,0.0995074
77,0.933457,2.62001,0.684293,0.0955609
78,0.906543,2.54,0.673347,0.0925303
79,0.894433,2.50523,0.665702,0.0911944
80,0.851668,2.40068,0.649659,0.0867898
81,0.839539,2.39599,0.64588,0.0855269
82,0.830845,2.31119,0.631362,0.0848203
83,0.830845,2.31119,0.631362,0.0848203
84,0.83444,2.27211,0.622854,0.0854555
85,0.83444,2.27211,0.622854,0.0854555
86,0.81898,2.18393,0.606983,0.0839163
87,0.804064,2.13682,0.592875,0.0822916
88,0.818953,2.1384,0.592187,0.0838504
89,0.858104,2.24712,0.606995,0.0879696
90,0.839577,2.13319,0.587722,0.0861516
91,0.857329,2.18715,0.592529,0.087945
92,0.857329,2.18715,0.592529,0.087945
93,0.850821,2.04884,0.553456,0.0876289
94,0.855899,2.14851,0.578405,0.0879546
95,0.855899,2.14851,0.578405,0.0879546
96,0.855899,2.14851,0.578405,0.0879546
97,0.832935,2.06931,0.564594,0.0856852
98,0.828903,2.0143,0.547621,0.085263
99,0.823392,1.97794,0.53999,0.0848295
100,0.823392,1.97794,0.53999,0.0848295
101,0.823392,1.97794,0.53999,0.0848295
102,0.833675,2.01243,0.548245,0.0858095
103,0.820142,1.96205,0.54745,0.0844877
104,0.835475,1.98163,0.547283,0.0858732
105,0.811956,1.8841,0.52767,0.0836972
106,0.8434,1.97181,0.536858,0.0866315
107,0.843971,1.95668,0.532589,0.0870439
108,0.843971,1.95668,0.532589,0.0870439
109,0.830491,1.88817,0.516059,0.0857984
110,0.838619,1.88659,0.514998,0.0867089
111,0.859047,1.98531,0.532705,0.0887149
112,0.845717,1.97425,0.533564,0.0874113
113,0.838109,1.92492,0.523823,0.0866998
114,0.838109,1.92492,0.523823,0.0866998
115,0.813744,1.85559,0.511631,0.084066
116,0.815863,1.92108,0.521022,0.0843016
117,0.815863,1.92108,0.521022,0.0843016
118,0.847456,1.97093,0.528238,0.0876579
119,0.847394,2.00831,0.539318,0.0874684
120,0.804522,1.821,0.502445,0.0831225
121,0.821624,1.85849,0.511946,0.0848531
122,0.835345,1.86782,0.510592,0.0862897
123,0.832622,1.84344,0.503424,0.0862623
124,0.845794,1.86973,0.511569,0.0878625
125,0.831609,1.82119,0.500592,0.0862681
126,0.815325,1.75386,0.485778,0.0846523
127,0.815468,1.73795,0.486055,0.084524
128,0.783369,1.652,0.465059,0.0814165
129,0.842404,1.7788,0.48425,0.0877599
130,0.842404,1.7788,0.48425,0.0877599
131,0.801249,1.72297,0.483099,0.082938
132,0.779324,1.60977,0.456126,0.0811858
133,0.814857,1.7684,0.491858,0.0844586
134,0.839149,1.80099,0.491763,0.0869862
135,0.851701,1.86574,0.506653,0.0882753
