MDTU,S_F
1,9.79597e-06
2,9.81571e-06
3,9.75085e-06
4,9.82232e-06
5,9.80697e-06
6,9.83657e-06
7,9.79185e-06
8,9.79315e-06
9,9.89064e-06
10,9.78343e-06
11,9.56049e-06
12,9.64397e-06
13,9.71822e-06
14,9.5793e-06
15,9.69295e-06
16,9.61321e-06
17,9.61747e-06
18,9.60035e-06
19,9.68323e-06
20,9.69432e-06
21,9.7595e-06
22,9.7595e-06
23,9.7577e-06
24,9.7577e-06
25,9.89142e-06
26,9.89142e-06
27,9.7563e-06
28,9.79121e-06
29,9.94746e-06
30,9.83022e-06
31,9.83022e-06
32,1.00234e-05
33,9.98898e-06
34,9.92331e-06
35,9.77936e-06
36,9.77936e-06
37,9.77177e-06
38,9.90596e-06
39,9.79669e-06
40,9.80792e-06
41,9.84273e-06
42,9.9058e-06
43,9.8623e-06
44,9.8623e-06
45,9.85821e-06
46,9.96044e-06
47,9.96439e-06
48,1.00479e-05
49,9.82462e-06
50,9.84481e-06
51,9.76457e-06
52,9.76457e-06
53,9.83646e-06
54,9.83646e-06
55,9.85351e-06
56,9.80611e-06
57,9.71924e-06
58,9.71924e-06
59,9.83234e-06
60,9.92768e-06
61,1.00361e-05
62,1.00361e-05
63,1.01142e-05
64,1.01142e-05
65,1.01259e-05
66,9.98491e-06
67,9.97219e-06
68,9.9875e-06
69,9.9875e-06
70,1.01092e-05
71,1.01268e-05
72,1.01756e-05
73,1.00303e-05
74,1.00324e-05
75,1.00324e-05
76,1.00324e-05
77,1.01144e-05
78,9.85858e-06
79,1.00759e-05
80,9.9233e-06
81,1.00349e-05
82,1.00349e-05
83,1.00378e-05
84,9.97249e-06
85,9.83747e-06
86,9.83747e-06
87,9.8038e-06
88,9.8038e-06
89,9.8038e-06
90,9.79444e-06
91,9.873e-06
92,9.873e-06
93,9.77513e-06
94,9.78001e-06
95,9.78001e-06
96,9.7498e-06
97,9.77492e-06
98,9.66354e-06
99,9.77247e-06
100,9.77247e-06
101,9.77247e-06
102,9.77247e-06
103,9.73882e-06
104,9.63604e-06
105,9.80609e-06
106,9.80609e-06
107,9.80609e-06
108,9.72681e-06
109,9.80402e-06
110,9.68098e-06
111,9.68098e-06
112,9.74647e-06
113,9.65882e-06
114,9.65882e-06
115,9.69486e-06
116,9.60129e-06
117,9.73863e-06
118,9.73863e-06
119,9.86399e-06
120,9.8936e-06
121,9.72108e-06
122,9.76925e-06
123,9.76925e-06
124,9.83233e-06
125,9.89376e-06
126,9.89376e-06
127,9.89936e-06
128,9.88846e-06
129,9.97904e-06
130,9.97904e-06
131,9.97904e-06
132,9.92106e-06
133,1.00374e-05
134,9.98339e-06
135,9.98339e-06
136,9.85259e-06
137,9.85284e-06
138,9.85284e-06
139,9.86777e-06
140,9.94971e-06
141,9.81686e-06
142,9.82268e-06
143,9.82268e-06
144,9.91651e-06
145,9.76827e-06
146,9.79395e-06
147,9.79395e-06
148,9.87692e-06
149,9.88506e-06
150,9.91261e-06
151,9.91261e-06
152,9.91261e-06
153,9.82255e-06
154,9.93307e-06
155,9.81501e-06
156,9.85401e-06
157,9.84968e-06
158,9.84968e-06
159,1.00015e-05
160,9.82127e-06
161,9.77256e-06
162,9.69699e-06
163,9.69699e-06
164,9.69699e-06
165,9.84087e-06
166,9.84087e-06
167,9.84439e-06
168,9.71097e-06
169,9.71097e-06
170,9.71695e-06
171,9.71695e-06
172,9.60413e-06
173,9.6332e-06
174,9.66096e-06
175,9.75895e-06
176,9.72403e-06
177,9.72403e-06
178,9.72403e-06
179,9.71628e-06
180,9.80123e-06
181,9.80457e-06
182,9.76002e-06
183,9.90055e-06
184,9.89583e-06
185,9.95383e-06
186,9.93085e-06
187,9.81073e-06
188,9.81073e-06
189,9.81073e-06
190,9.82184e-06
191,9.72542e-06
192,9.53114e-06
193,9.62292e-06
194,9.69572e-06
195,9.76669e-06
196,9.81474e-06
197,9.99326e-06
198,9.99326e-06
199,9.97402e-06
200,1.00801e-05
201,1.00801e-05
202,1.0016e-05
203,9.93044e-06
204,9.94859e-06
205,9.88967e-06
206,9.7814e-06
207,9.76492e-06
208,9.83162e-06
209,9.76709e-06
210,9.84556e-06
211,9.84556e-06
212,9.93213e-06
213,9.85459e-06
214,9.8796e-06
215,9.8929e-06
216,9.83772e-06
217,9.84898e-06
218,9.84898e-06
219,9.86663e-06
220,9.86663e-06
221,9.86663e-06
222,9.86663e-06
223,9.86663e-06
224,9.86663e-06
225,9.84475e-06
226,9.99839e-06
227,9.99839e-06
228,9.93673e-06
229,9.91467e-06
230,1.00017e-05
231,1.01711e-05
232,1.01053e-05
233,1.00483e-05
234,1.00483e-05
235,1.00483e-05
236,1.00012e-05
237,1.00666e-05
238,1.00847e-05
239,1.00906e-05
240,1.00423e-05
241,1.00423e-05
242,9.96733e-06
243,9.96733e-06
244,1.00093e-05
245,9.93124e-06
246,9.75501e-06
247,9.84329e-06
248,9.84329e-06
249,9.7828e-06
250,9.82173e-06
251,9.95092e-06
252,9.95092e-06
253,9.91911e-06
254,1.00131e-05
255,9.91076e-06
256,9.91872e-06
257,9.96855e-06
258,9.87577e-06
259,9.87811e-06
260,9.86296e-06
261,9.86296e-06
262,9.86296e-06
263,9.86806e-06
264,9.86806e-06
265,9.89015e-06
266,9.89015e-06
267,9.8531e-06
268,9.75266e-06
269,9.75266e-06
270,9.73994e-06
271,9.74271e-06
272,9.7854e-06
273,9.7854e-06
274,9.72364e-06
275,9.72364e-06
276,9.72364e-06
277,9.88237e-06
278,9.88237e-06
279,9.85649e-06
280,9.86538e-06
281,9.89573e-06
282,9.8929e-06
283,9.8929e-06
284,9.8929e-06
285,9.8929e-06
286,9.8929e-06
287,1.00833e-05
288,1.00833e-05
289,1.00833e-05
290,9.97974e-06
291,9.83558e-06
292,9.88936e-06
293,9.8315e-06
294,9.86653e-06
295,9.7687e-06
296,9.77076e-06
297,9.77076e-06
298,9.72064e-06
299,9.72064e-06
300,9.72783e-06
301,9.74841e-06
302,9.74175e-06
303,9.88315e-06
304,9.88315e-06
305,9.93013e-06
306,9.99377e-06
307,9.95064e-06
308,1.00422e-05
309,1.00422e-05
310,1.00422e-05
311,1.00773e-05
312,1.02125e-05
313,1.01355e-05
314,1.01042e-05
315,1.01905e-05
316,1.01622e-05
317,1.01622e-05
318,1.01622e-05
319,1.01895e-05
320,1.01895e-05
321,1.02922e-05
322,1.03337e-05
323,1.03337e-05
324,1.04124e-05
325,1.04124e-05
326,1.04125e-05
327,1.03933e-05
328,1.05263e-05
329,1.05255e-05
330,1.03975e-05
331,1.03975e-05
332,1.03975e-05
333,1.03975e-05
334,1.03975e-05
335,1.03227e-05
336,1.04352e-05
337,1.03514e-05
