MDTU,min_min,min_max,max_min,max_max5
1,-0.419503,0.0079074,0.0600358,0.329237
2,-0.371519,0.0175303,0.0678532,0.332618
3,-0.393708,0.018902,0.0541935,0.324433
4,-0.402735,0.00965647,0.06391,0.316798
5,-0.373841,0.00891878,0.0480061,0.330479
6,-0.382211,0.016288,0.0670643,0.320531
7,-0.36944,0.00390023,0.0631159,0.317336
8,-0.416715,0.00418265,0.0606391,0.333826
9,-0.409954,0.00134934,0.0603163,0.333863
10,-0.401604,-0.00364227,0.0566362,0.319921
11,-0.37653,0.00222492,0.0566289,0.31009
12,-0.382817,-0.00639478,0.0711547,0.311789
13,-0.379143,-0.0048452,0.0494885,0.316717
14,-0.363876,0.0174489,0.0703903,0.340227
15,-0.358926,-0.00931119,0.0738257,0.31709
16,-0.385595,0.0198557,0.0646362,0.324469
17,-0.378254,-0.00288964,0.0784803,0.32245
18,-0.407373,-0.00580313,0.0791841,0.323788
19,-0.378133,-0.00991724,0.0768768,0.309728
20,-0.392785,0.000582965,0.0720482,0.319437
21,-0.369109,-0.0136131,0.0711194,0.317624
22,-0.369109,-0.0136131,0.0711194,0.317624
23,-0.394491,-0.000896635,0.0574887,0.313626
24,-0.394491,-0.000896635,0.0574887,0.313626
25,-0.394535,-0.00157989,0.0685515,0.3152
26,-0.394535,-0.00157989,0.0685515,0.3152
27,-0.40017,0.00220428,0.0529357,0.322449
28,-0.402732,-0.000727163,0.0694912,0.30925
29,-0.414921,-0.00521597,0.0642142,0.318223
30,-0.388928,0.00270084,0.0627972,0.307863
31,-0.388928,0.00270083,0.0627972,0.307863
32,-0.404526,-0.0176714,0.0634423,0.308976
33,-0.391146,-0.0106749,0.0615167,0.312921
34,-0.391014,-0.0140666,0.0626878,0.310895
35,-0.395384,-0.00477278,0.0688489,0.315429
36,-0.395384,-0.00477278,0.0688489,0.315429
37,-0.381816,-0.00533435,0.0655925,0.311555
38,-0.390327,-0.0176933,0.0629164,0.303924
39,-0.378128,0.0089753,0.0584274,0.315353
40,-0.389003,-0.00316471,0.062615,0.316064
41,-0.411745,-0.00814573,0.067426,0.307575
42,-0.410498,-0.0209184,0.0600753,0.311212
43,-0.378757,-0.00540616,0.0678938,0.314759
44,-0.378757,-0.00540616,0.0678938,0.314759
45,-0.381075,-0.0204513,0.0733707,0.307832
46,-0.375994,-0.0192598,0.0617997,0.301861
47,-0.391401,-0.0228186,0.0537617,0.304907
48,-0.383375,-0.00980339,0.067297,0.300492
49,-0.379918,-0.0275088,0.0601004,0.317795
50,-0.369773,-0.0232603,0.0637485,0.303309
51,-0.370597,-0.0218188,0.0667128,0.314348
52,-0.370597,-0.0218188,0.0667128,0.314348
53,-0.41781,-0.00559269,0.0711311,0.309024
54,-0.41781,-0.00559269,0.0711311,0.309024
55,-0.369876,-0.017964,0.0607563,0.314008
56,-0.388234,0.00223705,0.0616549,0.318909
57,-0.388303,2.37657e-05,0.0694007,0.310529
58,-0.388303,2.37657e-05,0.0694007,0.310529
59,-0.383521,-0.00974311,0.072366,0.299047
60,-0.380081,-0.00929336,0.0767555,0.309514
61,-0.384879,-0.00763732,0.0542597,0.320182
62,-0.384879,-0.00763732,0.0542597,0.320182
63,-0.431759,-0.0206703,0.0780166,0.305425
64,-0.431759,-0.0206703,0.0780166,0.305425
65,-0.385059,-0.0166463,0.0785222,0.310742
66,-0.371476,-0.00134593,0.0683892,0.305152
67,-0.390445,-0.0201815,0.076173,0.305733
68,-0.396488,-0.015168,0.0731386,0.303661
69,-0.396488,-0.015168,0.0731386,0.303661
70,-0.379481,-0.0141945,0.0631663,0.320074
71,-0.378716,-0.0112151,0.0713413,0.304667
72,-0.405153,-0.00695814,0.0687063,0.30592
73,-0.402469,-0.0266927,0.066834,0.302055
74,-0.389211,-0.0264586,0.0668465,0.309668
75,-0.389211,-0.0264586,0.0668465,0.309668
76,-0.389211,-0.0264586,0.0668465,0.309668
77,-0.40956,-0.023393,0.066555,0.296194
78,-0.394665,-0.0293729,0.0654235,0.29193
79,-0.40138,-0.0296327,0.0609879,0.300595
80,-0.391145,-0.0218917,0.0555878,0.294131
81,-0.414236,-0.0122346,0.0683092,0.306516
82,-0.414236,-0.0122346,0.0683092,0.306516
83,-0.388972,-0.0212083,0.0639599,0.291658
84,-0.370918,-0.0258762,0.0595057,0.306291
85,-0.388831,-0.0261865,0.0567898,0.316942
86,-0.388831,-0.0261865,0.0567898,0.316942
87,-0.383594,-0.0449212,0.0612629,0.294007
88,-0.383594,-0.0449212,0.0612629,0.294007
89,-0.383594,-0.0449212,0.0612629,0.294007
90,-0.43568,-0.00616967,0.0800879,0.291836
91,-0.414556,-0.0460141,0.0678191,0.303949
92,-0.414556,-0.0460141,0.0678191,0.303949
93,-0.390635,-0.0241742,0.0643074,0.295791
94,-0.398663,-0.0316475,0.0773341,0.302851
95,-0.398663,-0.0316475,0.0773341,0.302851
96,-0.416149,-0.021235,0.0709977,0.28801
97,-0.395699,-0.0203012,0.0600831,0.305864
98,-0.38482,-0.0311278,0.0740966,0.291141
99,-0.385372,-0.0352158,0.0732715,0.294442
100,-0.385372,-0.0352158,0.0732715,0.294442
101,-0.385372,-0.0352158,0.0732715,0.294442
102,-0.385372,-0.0352158,0.0732715,0.294442
103,-0.378334,-0.0307359,0.0748197,0.299892
104,-0.367377,-0.029885,0.0777759,0.295915
105,-0.373252,-0.0354361,0.0682627,0.295438
106,-0.373252,-0.0354361,0.0682627,0.295438
107,-0.373252,-0.0354361,0.0682627,0.295438
108,-0.373616,-0.0344687,0.0758317,0.301514
109,-0.387405,-0.0182711,0.0783044,0.326042
110,-0.356698,-0.0311521,0.0776762,0.33088
111,-0.356698,-0.0311521,0.0776762,0.33088
112,-0.369182,-0.00878144,0.0741251,0.303932
113,-0.366939,-0.0257816,0.0755309,0.300495
114,-0.366939,-0.0257816,0.0755309,0.300495
115,-0.394837,-0.0299911,0.0777914,0.308413
116,-0.391559,-0.034293,0.0802207,0.302742
117,-0.410413,-0.0185859,0.0755063,0.30653
118,-0.410413,-0.0185859,0.0755063,0.30653
119,-0.370207,-0.0191744,0.0626466,0.307906
120,-0.420176,-0.00586494,0.0656658,0.305837
121,-0.380023,-0.0183636,0.0760096,0.310749
122,-0.38574,-0.018386,0.0781271,0.313088
123,-0.38574,-0.018386,0.0781271,0.313088
124,-0.390353,-0.0253943,0.0730712,0.312393
125,-0.394793,-0.0275982,0.0723344,0.298317
126,-0.394793,-0.0275982,0.0723344,0.298317
127,-0.385778,-0.0186461,0.0702845,0.310785
128,-0.380911,-0.0128912,0.0712373,0.313845
129,-0.365817,-0.0181811,0.0750473,0.302686
130,-0.365817,-0.0181811,0.0750473,0.302686
131,-0.365817,-0.0181811,0.0750473,0.302686
132,-0.361745,-0.014634,0.0748367,0.314373
133,-0.377011,-0.0129361,0.0739856,0.306775
134,-0.401423,-0.0202967,0.0780428,0.303731
135,-0.401423,-0.0202967,0.0780428,0.303731
136,-0.403719,-0.00911736,0.0781304,0.302552
137,-0.393288,-0.0285849,0.0762594,0.303943
138,-0.393288,-0.0285849,0.0762594,0.303943
139,-0.381326,-0.0162963,0.0630142,0.304885
140,-0.397917,-0.0260921,0.0721314,0.306793
141,-0.491593,0.00641711,0.0817408,0.307587
142,-0.390487,-0.00550155,0.0741645,0.300494
143,-0.390487,-0.00550155,0.0741645,0.300494
144,-0.374094,-0.0191032,0.060778,0.29655
145,-0.426393,-0.00893776,0.0781505,0.299251
146,-0.388596,-0.0299861,0.0809216,0.295504
147,-0.388596,-0.0299861,0.0809216,0.295504
148,-0.376971,0.00192548,0.0739076,0.304427
149,-0.399792,-0.021653,0.0684744,0.313616
150,-0.40142,-0.0119321,0.0530395,0.308137
151,-0.40142,-0.0119321,0.0530395,0.308137
152,-0.40142,-0.0119321,0.0530395,0.308137
153,-0.37399,-0.014959,0.0772285,0.305641
154,-0.37684,-0.00508372,0.0697742,0.307302
155,-0.408539,-0.00296342,0.0714973,0.307633
156,-0.372631,-0.0145705,0.074083,0.315548
157,-0.401891,0.00213303,0.0644757,0.317098
158,-0.401891,0.00213303,0.0644757,0.317098
159,-0.398722,-0.0163157,0.0754892,0.309629
160,-0.411459,-0.0124398,0.0722769,0.312519
161,-0.40483,-0.0211021,0.0826235,0.307926
162,-0.394909,0.00834812,0.0768647,0.317955
163,-0.394909,0.00834812,0.0768647,0.317955
164,-0.394909,0.00834812,0.0768647,0.317955
165,-0.395985,-0.0121408,0.0686982,0.312051
166,-0.395985,-0.0121408,0.0686982,0.312051
167,-0.383069,-0.00988701,0.0643237,0.313631
168,-0.403469,-0.0136017,0.0759687,0.320251
169,-0.403469,-0.0136017,0.0759687,0.320251
170,-0.390879,0.00595481,0.06047,0.321841
171,-0.390879,0.00595483,0.06047,0.321841
172,-0.388873,-0.00498809,0.0761262,0.316327
173,-0.405739,-0.0058896,0.0671951,0.315384
174,-0.385649,-0.00276025,0.0789724,0.310032
175,-0.380345,-0.00305093,0.0532473,0.317068
176,-0.41734,-0.000274953,0.0730921,0.308151
177,-0.41734,-0.000274953,0.0730921,0.308151
178,-0.41734,-0.000274953,0.0730921,0.308151
179,-0.36438,-0.0117277,0.0821125,0.31353
180,-0.377507,-0.0141647,0.0746514,0.315042
181,-0.382987,-0.00625619,0.0726687,0.31764
182,-0.388721,-0.0228145,0.0657659,0.313467
183,-0.4097,-0.0227225,0.0832394,0.313049
184,-0.397225,-0.0159793,0.0614586,0.305441
