MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.850762,0.835511,-0.160367
2,0.850762,0.835511,-0.160367
3,0.850762,0.835511,-0.160367
4,0.850762,0.835511,-0.160367
5,0.850762,0.835511,-0.160367
6,0.862455,0.853782,-0.122003
7,0.865909,0.84993,-0.165581
8,0.865909,0.84993,-0.165581
9,0.865429,0.849727,-0.164107
10,0.865429,0.849727,-0.164107
11,0.863364,0.842556,-0.188405
12,0.862958,0.83086,-0.233171
13,0.861468,0.828264,-0.236866
14,0.865816,0.817729,-0.28453
15,0.8618,0.817469,-0.272844
16,0.856463,0.815666,-0.261186
17,0.85678,0.813355,-0.269305
18,0.864452,0.828371,-0.247139
19,0.863237,0.821661,-0.26467
20,0.865887,0.830565,-0.244791
21,0.856926,0.823064,-0.238514
22,0.85468,0.82754,-0.213672
23,0.842743,0.818585,-0.200335
24,0.857844,0.832928,-0.205251
25,0.863411,0.842629,-0.188294
26,0.85484,0.81988,-0.241966
27,0.860551,0.831372,-0.22219
28,0.858336,0.8347,-0.20004
29,0.859346,0.83984,-0.182054
30,0.845671,0.826371,-0.179638
31,0.857766,0.839932,-0.173997
32,0.858403,0.84501,-0.15104
33,0.854126,0.841081,-0.148709
34,0.859512,0.845646,-0.153766
35,0.853833,0.837451,-0.166453
36,0.852248,0.828344,-0.200433
37,0.853585,0.823697,-0.223895
38,0.858897,0.827859,-0.228811
39,0.860699,0.832143,-0.219866
40,0.855894,0.826564,-0.22214
41,0.8587,0.818166,-0.26071
42,0.854772,0.812198,-0.266402
43,0.857257,0.811645,-0.275901
44,0.858548,0.801107,-0.308759
45,0.854688,0.80972,-0.273577
46,0.855947,0.816566,-0.256641
47,0.853974,0.808305,-0.275525
48,0.853974,0.808305,-0.275525
49,0.853974,0.808305,-0.275525
50,0.853056,0.801817,-0.291193
