ReTr(L),ImTr(L)
0.835511,-0.160367
0.835511,-0.160367
0.835511,-0.160367
0.835511,-0.160367
0.835511,-0.160367
0.853782,-0.122003
0.84993,-0.165581
0.84993,-0.165581
0.849727,-0.164107
0.849727,-0.164107
0.842556,-0.188405
0.83086,-0.233171
0.828264,-0.236866
0.817729,-0.28453
0.817469,-0.272844
0.815666,-0.261186
0.813355,-0.269305
0.828371,-0.247139
0.821661,-0.26467
0.830565,-0.244791
0.823064,-0.238514
0.82754,-0.213672
0.818585,-0.200335
0.832928,-0.205251
0.842629,-0.188294
0.81988,-0.241966
0.831372,-0.22219
0.8347,-0.20004
0.83984,-0.182054
0.826371,-0.179638
0.839932,-0.173997
0.84501,-0.15104
0.841081,-0.148709
0.845646,-0.153766
0.837451,-0.166453
0.828344,-0.200433
0.823697,-0.223895
0.827859,-0.228811
0.832143,-0.219866
0.826564,-0.22214
0.818166,-0.26071
0.812198,-0.266402
0.811645,-0.275901
0.801107,-0.308759
0.80972,-0.273577
0.816566,-0.256641
0.808305,-0.275525
0.808305,-0.275525
0.808305,-0.275525
0.801817,-0.291193
0.797121,-0.292708
0.791735,-0.321435
0.791735,-0.321435
0.790985,-0.316518
0.785724,-0.298109
0.797075,-0.289136
0.798995,-0.31168
0.806049,-0.277585
0.796026,-0.300791
0.785194,-0.312004
0.774875,-0.332356
0.765686,-0.367199
0.774818,-0.365615
0.774818,-0.365615
0.778844,-0.345983
0.786424,-0.33101
0.789829,-0.309957
0.794477,-0.30364
0.794477,-0.30364
0.793183,-0.320103
0.778589,-0.358086
0.7588,-0.379068
0.773985,-0.340467
0.785229,-0.33264
0.781095,-0.330643
0.775327,-0.357038
0.771735,-0.337452
0.78018,-0.33289
0.782096,-0.330356
0.79349,-0.321711
0.801679,-0.298857
0.806022,-0.272316
0.807265,-0.260103
0.807265,-0.260103
0.795872,-0.288753
0.779341,-0.33588
0.767343,-0.357523
0.775253,-0.35408
0.775253,-0.35408
0.764246,-0.355514
0.76787,-0.366496
0.758725,-0.378001
0.758725,-0.378001
0.781139,-0.328236
0.781139,-0.328236
0.783725,-0.330993
0.783725,-0.330993
0.778883,-0.337064
0.778883,-0.337064
0.776596,-0.348527
0.778699,-0.331469
0.7718,-0.343268
0.787907,-0.323033
0.788864,-0.297864
0.792644,-0.297308
0.77312,-0.336153
0.767911,-0.366422
0.767911,-0.366422
0.769009,-0.354041
0.769009,-0.354041
0.744777,-0.419641
0.744777,-0.419641
0.717928,-0.455999
0.696348,-0.486496
0.69911,-0.482196
0.685244,-0.500176
0.707696,-0.464894
0.703271,-0.46941
0.703271,-0.46941
0.703271,-0.46941
0.681724,-0.495121
0.701398,-0.469608
0.697166,-0.4683
0.694693,-0.47861
0.694693,-0.47861
0.7031,-0.460046
0.669166,-0.505618
0.699475,-0.475544
0.731349,-0.429453
0.721846,-0.432946
0.704654,-0.455305
0.704654,-0.455305
0.749448,-0.395303
0.76029,-0.36472
0.76029,-0.36472
0.749214,-0.382707
0.742316,-0.404964
0.755889,-0.364054
0.759775,-0.365602
0.779852,-0.308876
0.772505,-0.334892
0.796709,-0.300354
0.796709,-0.300354
0.796709,-0.300354
0.776704,-0.327178
0.776704,-0.327178
0.791384,-0.311981
0.806724,-0.262815
0.806724,-0.262815
0.807825,-0.270958
0.798697,-0.28064
0.782465,-0.312346
0.776497,-0.304805
0.787833,-0.300925
0.80183,-0.269669
0.80183,-0.269669
0.794374,-0.269946
0.794374,-0.269946
0.787114,-0.289456
0.788119,-0.293048
0.782105,-0.304231
0.778989,-0.312221
0.763957,-0.348841
0.772772,-0.348477
0.772772,-0.348477
0.772772,-0.348477
0.770284,-0.362999
0.770284,-0.362999
0.770284,-0.362999
0.770284,-0.362999
0.764345,-0.35212
0.774001,-0.345875
0.756694,-0.359924
0.762678,-0.362805
0.766508,-0.358471
0.765154,-0.356111
0.765154,-0.356111
0.765154,-0.356111
0.765154,-0.356111
0.765154,-0.356111
0.76639,-0.361676
0.773528,-0.353515
0.753058,-0.376794
0.753058,-0.376794
0.730452,-0.406574
0.721023,-0.440831
0.716588,-0.447203
0.72901,-0.420602
0.736564,-0.405876
0.720721,-0.442427
0.720721,-0.442427
0.720721,-0.442427
0.708056,-0.465129
0.708056,-0.465129
0.695564,-0.470441
0.693841,-0.478516
0.690261,-0.486004
0.690261,-0.486004
0.678204,-0.499674
0.687647,-0.49436
0.677737,-0.502235
0.677737,-0.502235
0.686113,-0.498078
0.67111,-0.505749
0.67111,-0.505749
0.63609,-0.54669
0.63609,-0.54669
0.63609,-0.54669
0.662284,-0.520891
0.662284,-0.520891
0.662284,-0.520891
0.690955,-0.478976
0.690955,-0.478976
0.690955,-0.478976
0.690955,-0.478976
0.690955,-0.478976
0.675589,-0.506359
0.677581,-0.496501
0.681091,-0.500331
0.726032,-0.440776
0.717401,-0.447458
0.717401,-0.447458
0.717401,-0.447458
0.732977,-0.419752
0.732977,-0.419752
0.723002,-0.427319
0.724786,-0.433409
0.723566,-0.429351
0.697696,-0.452715
0.666643,-0.495509
0.666643,-0.495509
0.666643,-0.495509
0.666643,-0.495509
0.666643,-0.495509
0.628776,-0.547264
0.628776,-0.547264
0.628776,-0.547264
0.602941,-0.564068
0.613513,-0.568781
0.604548,-0.584109
0.602119,-0.590471
0.621862,-0.567111
0.621862,-0.567111
0.621862,-0.567111
0.633806,-0.560721
0.658814,-0.518401
0.688115,-0.475502
0.68678,-0.492295
0.684305,-0.49892
0.684916,-0.492255
0.684916,-0.492255
0.684916,-0.492255
0.684916,-0.492255
0.684916,-0.492255
0.660809,-0.521485
0.666075,-0.525075
0.666075,-0.525075
0.667924,-0.509698
0.651988,-0.53052
0.651988,-0.53052
0.624178,-0.552072
0.624178,-0.552072
0.624178,-0.552072
0.624178,-0.552072
0.646214,-0.540724
0.646214,-0.540724
0.646214,-0.540724
0.643006,-0.537171
0.649447,-0.524062
0.649447,-0.524062
0.674484,-0.488511
0.674484,-0.488511
0.674484,-0.488511
0.711296,-0.46602
0.694078,-0.464086
0.711605,-0.454609
0.707725,-0.444979
0.715786,-0.442848
0.719603,-0.45536
0.719603,-0.45536
0.726108,-0.43899
0.726108,-0.43899
0.716944,-0.4546
0.703239,-0.456392
0.722283,-0.438286
0.734401,-0.419229
0.728656,-0.429804
0.739176,-0.400766
0.753216,-0.371279
0.753216,-0.371279
0.753216,-0.371279
0.753216,-0.371279
0.753216,-0.371279
0.764006,-0.362982
0.738179,-0.383214
0.757437,-0.357714
0.757437,-0.357714
0.769195,-0.339643
0.767617,-0.35901
0.753999,-0.36572
0.734046,-0.403485
0.763848,-0.356237
0.763848,-0.356237
0.762714,-0.3528
0.762714,-0.3528
0.762714,-0.3528
0.756995,-0.358645
0.76385,-0.351154
0.755864,-0.36832
0.755864,-0.36832
0.755864,-0.36832
0.755864,-0.36832
0.756548,-0.371845
0.756548,-0.371845
0.737341,-0.40937
0.742618,-0.393186
0.74884,-0.381239
0.755989,-0.361138
0.763791,-0.356624
0.774529,-0.325529
0.774529,-0.325529
0.781869,-0.319105
0.770011,-0.330891
0.771304,-0.335496
0.771304,-0.335496
0.763306,-0.347955
0.752951,-0.367943
0.738084,-0.392408
0.732854,-0.39904
0.735997,-0.408678
0.743712,-0.40242
0.726518,-0.4293
0.726518,-0.4293
0.713141,-0.451582
0.713141,-0.451582
0.720596,-0.440616
0.720596,-0.440616
0.741649,-0.403907
0.723274,-0.423034
0.737376,-0.407062
0.737376,-0.407062
0.737376,-0.407062
0.737376,-0.407062
0.737376,-0.407062
0.750287,-0.383016
0.748125,-0.379819
0.749722,-0.378936
