t,cond_num
10,6.31273
20,6.28894
30,6.35556
40,6.30732
50,6.38685
60,6.36509
70,6.31987
80,6.3687
90,6.38129
100,6.40478
110,6.34683
120,6.38407
130,6.28999
140,6.36425
150,6.34034
160,6.36027
170,6.41228
180,6.35317
190,6.35064
200,6.40462
210,6.33248
220,6.36737
230,6.34541
240,6.38428
250,6.37673
260,6.37887
270,6.35446
280,6.40199
290,6.39593
300,6.36316
310,6.32617
320,6.36714
330,6.38205
340,6.41191
350,6.40474
360,6.38646
370,6.39315
380,6.38168
390,6.34705
400,6.38521
410,6.40068
420,6.33347
430,6.39432
440,6.39621
450,6.37488
460,6.39589
470,6.3771
480,6.34079
490,6.35981
500,6.39461
510,6.37832
520,6.41831
530,6.31469
540,6.36817
550,6.37852
560,6.34972
570,6.30045
580,6.35474
590,6.3204
600,6.42803
610,6.3514
620,6.3767
630,6.37082
640,6.34893
650,6.37538
660,6.35871
670,6.41667
680,6.35338
690,6.35271
700,6.40568
710,6.38954
720,6.35591
730,6.36054
740,6.34076
750,6.40826
760,6.35062
770,6.35605
780,6.41076
790,6.39592
800,6.40267
810,6.39214
820,6.3383
830,6.33386
840,6.34895
850,6.34787
860,6.35605
870,6.38496
880,6.36098
890,6.37696
900,6.31909
910,6.32274
920,6.36797
930,6.37515
940,6.37855
950,6.34028
960,6.34761
970,6.36469
980,6.33455
990,6.3516
1000,6.36281
1010,6.37344
1020,6.32238
1030,6.39213
1040,6.35544
1050,6.34096
1060,6.34223
1070,6.34904
1080,6.34463
1090,6.3438
1100,6.35338
1110,6.36455
1120,6.34924
1130,6.38892
1140,6.34491
1150,6.35109
1160,6.39715
1170,6.43168
1180,6.38116
1190,6.35971
1200,6.40048
1210,6.36591
1220,6.3808
1230,6.359
1240,6.32152
1250,6.40401
1260,6.37445
1270,6.35694
1280,6.36332
1290,6.38532
1300,6.34829
1310,6.37609
1320,6.31777
1330,6.35306
1340,6.34166
1350,6.34228
1360,6.3379
1370,6.32562
1380,6.39243
1390,6.38083
1400,6.35323
1410,6.40696
1420,6.42169
1430,6.40889
1440,6.36867
1450,6.39197
1460,6.4013
1470,6.36233
1480,6.35819
1490,6.35593
1500,6.38904
1510,6.3635
1520,6.33317
1530,6.3437
1540,6.40495
1550,6.35397
1560,6.34386
1570,6.37143
1580,6.32221
1590,6.34714
1600,6.39159
1610,6.34936
1620,6.35808
1630,6.37765
1640,6.41409
1650,6.40364
1660,6.41616
1670,6.44054
1680,6.42674
1690,6.44279
1700,6.42094
1710,6.36377
1720,6.35823
1730,6.3417
1740,6.37805
1750,6.3766
1760,6.34102
1770,6.44146
1780,6.40976
1790,6.33811
1800,6.39108
1810,6.34921
1820,6.39412
1830,6.30445
1840,6.36627
1850,6.32133
1860,6.37667
1870,6.34391
1880,6.37675
1890,6.35199
1900,6.3457
1910,6.33169
1920,6.32331
1930,6.36059
1940,6.37812
1950,6.42278
1960,6.3903
1970,6.39107
1980,6.39576
1990,6.35932
2000,6.34799
2010,6.31214
2020,6.3328
2030,6.32849
2040,6.36097
2050,6.39202
2060,6.36333
2070,6.37273
2080,6.35256
2090,6.40091
2100,6.38478
2110,6.33508
2120,6.35878
2130,6.35472
2140,6.40903
2150,6.35403
2160,6.37272
2170,6.3808
2180,6.35802
2190,6.41048
2200,6.34673
2210,6.36757
2220,6.33203
2230,6.36531
2240,6.35045
2250,6.42181
2260,6.41212
2270,6.36552
2280,6.33928
2290,6.32651
2300,6.3864
2310,6.35586
2320,6.38851
2330,6.33526
2340,6.36302
2350,6.37229
2360,6.32997
2370,6.33305
2380,6.41862
2390,6.33761
2400,6.34613
2410,6.36436
2420,6.38936
2430,6.40575
2440,6.40278
2450,6.46582
2460,6.36692
2470,6.35512
2480,6.34508
2490,6.37827
2500,6.40669
2510,6.3511
2520,6.4087
2530,6.35166
2540,6.3717
2550,6.46839
2560,6.36654
2570,6.40951
2580,6.42369
2590,6.3881
2600,6.43989
2610,6.37014
2620,6.36392
2630,6.40071
2640,6.36432
2650,6.37163
2660,6.40588
2670,6.42273
2680,6.4167
2690,6.39868
2700,6.4021
2710,6.39484
2720,6.40268
2730,6.31471
2740,6.3867
2750,6.3686
2760,6.35467
2770,6.37157
2780,6.34073
2790,6.39603
2800,6.35953
2810,6.39343
2820,6.35582
2830,6.30804
2840,6.40601
2850,6.37852
2860,6.34648
2870,6.35317
2880,6.42008
2890,6.38891
2900,6.3511
2910,6.38677
2920,6.40287
2930,6.38876
2940,6.38247
2950,6.38904
2960,6.31593
2970,6.32196
2980,6.34842
2990,6.41567
3000,6.42035
3010,6.36725
3020,6.38034
3030,6.32828
3040,6.39375
3050,6.37118
3060,6.3134
3070,6.39255
3080,6.37745
3090,6.40658
3100,6.41858
3110,6.40279
3120,6.37036
3130,6.40095
3140,6.3737
3150,6.42318
3160,6.41196
3170,6.38857
3180,6.40343
3190,6.32372
3200,6.38514
3210,6.34564
3220,6.33611
3230,6.38963
3240,6.36699
3250,6.36354
3260,6.34535
3270,6.36186
3280,6.39811
3290,6.3269
3300,6.35898
3310,6.38641
3320,6.36199
3330,6.36038
3340,6.31523
3350,6.34149
3360,6.37054
3370,6.39444
3380,6.38203
3390,6.34337
3400,6.4147
3410,6.39262
3420,6.33803
3430,6.34994
3440,6.3294
3450,6.36384
3460,6.43619
3470,6.35629
3480,6.35202
3490,6.37747
3500,6.36935
3510,6.36923
3520,6.34697
3530,6.35051
3540,6.31844
3550,6.38182
3560,6.40247
3570,6.38903
3580,6.33463
3590,6.38283
3600,6.31536
3610,6.38738
3620,6.36937
3630,6.31827
3640,6.35064
3650,6.36422
3660,6.36025
3670,6.34643
3680,6.35624
3690,6.36466
3700,6.34583
3710,6.34246
3720,6.42394
3730,6.40863
3740,6.32367
3750,6.37101
3760,6.38281
3770,6.3793
3780,6.39938
3790,6.33275
3800,6.33967
3810,6.40624
3820,6.32799
3830,6.34705
3840,6.31261
3850,6.33441
3860,6.29593
3870,6.3274
3880,6.35848
3890,6.33358
3900,6.34492
3910,6.32434
3920,6.39717
3930,6.34114
3940,6.34301
3950,6.3638
3960,6.39977
3970,6.35949
3980,6.383
3990,6.34724
4000,6.32981
4010,6.32741
4020,6.32638
4030,6.40769
4040,6.33236
4050,6.38762
4060,6.40432
4070,6.37079
4080,6.38674
4090,6.36461
4100,6.36868
4110,6.3437
4120,6.35676
4130,6.37605
4140,6.3888
4150,6.36763
4160,6.38947
4170,6.33635
4180,6.38705
4190,6.38133
4200,6.40067
4210,6.39989
4220,6.33466
4230,6.37304
4240,6.40685
4250,6.32963
4260,6.33624
4270,6.35809
4280,6.31275
4290,6.36276
4300,6.38386
4310,6.37013
4320,6.3561
4330,6.38091
4340,6.33731
4350,6.35591
4360,6.36975
4370,6.36603
4380,6.36597
4390,6.31019
4400,6.36528
4410,6.37235
4420,6.39173
4430,6.38287
4440,6.35385
4450,6.36796
4460,6.3321
4470,6.34301
4480,6.34585
4490,6.4282
4500,6.38429
4510,6.39925
4520,6.3415
4530,6.40932
4540,6.35099
4550,6.39521
4560,6.37663
4570,6.33893
4580,6.36245
4590,6.35059
4600,6.36817
4610,6.40187
4620,6.37342
4630,6.38283
4640,6.3649
4650,6.36266
4660,6.44588
4670,6.4043
4680,6.41035
4690,6.34233
4700,6.42385
4710,6.37227
4720,6.35536
4730,6.35171
4740,6.42838
4750,6.3764
4760,6.35654
4770,6.35937
4780,6.33028
4790,6.36831
4800,6.39011
4810,6.34947
4820,6.37697
4830,6.34668
4840,6.36378
4850,6.3729
4860,6.36341
4870,6.37643
4880,6.40134
4890,6.38013
4900,6.38246
4910,6.36858
4920,6.3657
4930,6.35896
4940,6.37326
4950,6.31053
4960,6.36302
4970,6.40056
4980,6.35474
4990,6.36096
5000,6.39031
5010,6.36258
5020,6.33415
5030,6.35548
5040,6.32243
5050,6.34106
5060,6.36654
5070,6.356
5080,6.32757
5090,6.38364
5100,6.35476
5110,6.36384
5120,6.3456
5130,6.34838
5140,6.37927
5150,6.32847
5160,6.35869
5170,6.44116
5180,6.34705
5190,6.38412
5200,6.29941
5210,6.34776
5220,6.37416
5230,6.38626
5240,6.38908
5250,6.37342
5260,6.39692
5270,6.34565
5280,6.34409
5290,6.39377
5300,6.38297
5310,6.37516
5320,6.38261
5330,6.36395
5340,6.46041
5350,6.33716
5360,6.36659
5370,6.4122
5380,6.34042
5390,6.39418
5400,6.38281
5410,6.35647
5420,6.41478
5430,6.36128
5440,6.40258
5450,6.41429
5460,6.38337
5470,6.40044
5480,6.33184
5490,6.39611
5500,6.36645
5510,6.37604
5520,6.40734
5530,6.37961
5540,6.35632
5550,6.39032
5560,6.41206
5570,6.39534
5580,6.36201
5590,6.38426
5600,6.30868
5610,6.36
5620,6.3579
5630,6.40109
5640,6.33209
5650,6.34145
5660,6.3605
5670,6.37755
5680,6.36472
5690,6.36938
5700,6.3899
5710,6.33345
5720,6.36209
5730,6.4427
5740,6.35457
5750,6.32701
5760,6.34833
5770,6.37659
5780,6.31474
5790,6.33442
5800,6.31613
5810,6.35077
5820,6.34571
5830,6.34688
5840,6.37165
5850,6.32378
5860,6.34917
5870,6.38055
5880,6.3432
5890,6.3323
5900,6.33429
5910,6.34588
5920,6.37827
5930,6.34608
5940,6.34304
5950,6.4182
5960,6.38876
5970,6.40224
5980,6.41241
5990,6.37578
6000,6.40804
6010,6.40386
6020,6.43272
6030,6.38498
6040,6.35888
6050,6.36098
6060,6.37526
6070,6.37737
6080,6.37721
6090,6.35251
6100,6.34761
6110,6.3745
