t,G,F1,F2,F3
1,0.002925,0.002575,null,null
2,0.002908,0.002119,null,null
3,0.002779,0.002092,null,null
4,0.002772,0.002119,null,null
5,0.002747,0.002132,null,null
6,0.00273,0.002144,null,null
7,0.002711,0.002152,null,null
8,0.0027,0.002162,null,null
9,0.002691,0.002174,null,null
10,0.002675,0.002183,null,null
11,0.00266,0.002189,null,null
12,0.002654,0.002198,null,null
13,0.002643,0.002206,null,null
14,0.002634,0.00221,null,null
15,0.00263,0.002223,null,null
16,0.002618,0.002231,null,null
17,0.00261,0.002239,null,null
18,0.002597,0.002244,null,null
19,0.00259,0.002249,null,null
20,0.002585,0.002256,null,null
