ReTr(L),ImTr(L)
1.74951,1.20671
4.63385,3.30148
4.60568,2.90172
4.75909,2.65707
4.56224,2.50581
4.49415,2.68606
4.43914,2.55076
4.38887,2.44452
4.32976,2.45737
4.20759,2.36961
4.06069,2.41385
3.8777,2.16108
4.04484,2.23798
3.82029,2.09572
3.88792,1.92773
3.80173,1.9731
3.84878,1.91713
3.79518,1.94541
3.78003,1.8773
3.72206,1.89467
3.8159,2.04879
3.75222,2.09885
3.69732,2.10508
3.7185,2.03574
3.82953,1.8075
3.82953,1.8075
3.7889,1.81169
3.7889,1.81169
3.73421,1.59424
3.76935,1.66189
3.7347,1.65215
3.78569,1.49535
3.70033,1.56415
3.57539,1.62065
3.66289,1.6562
3.59536,1.58501
3.53822,1.66951
3.48738,1.58044
3.5153,1.68855
3.58027,1.63405
3.49316,1.77658
3.44528,1.65894
3.37542,1.76473
3.40748,1.69395
3.40748,1.69395
3.46984,1.54745
3.36435,1.41404
3.25981,1.44956
3.21259,1.62024
3.21259,1.62024
3.16891,1.57705
3.24852,1.45863
3.15448,1.59042
3.16822,1.60284
3.10182,1.55743
3.08619,1.68862
3.11823,1.48179
3.06318,1.39645
3.06224,1.49283
3.06224,1.49283
3.05364,1.51552
3.05364,1.51552
3.05002,1.37392
3.05002,1.37392
3.05002,1.37392
2.95608,1.35449
2.79357,1.36192
2.87216,1.34004
2.87216,1.34004
2.87216,1.34004
2.96029,1.47926
2.91411,1.53972
2.83215,1.55779
2.8311,1.54528
2.85881,1.53762
2.96234,1.64409
2.97249,1.62258
2.97249,1.62258
2.93048,1.61516
2.89354,1.59779
2.85367,1.65445
2.88832,1.71527
2.93974,1.71642
2.93974,1.71642
2.96618,1.66018
2.94992,1.64557
2.92152,1.74372
2.84922,1.88426
2.81169,1.95661
2.7975,2.0793
2.72178,2.02616
2.73116,2.07374
2.73116,2.07374
2.73116,2.07374
2.82921,2.21846
2.75639,2.45458
2.81353,2.25468
2.81353,2.25468
2.75879,2.25785
2.7833,2.31941
2.6477,2.31449
2.6477,2.31449
2.69954,2.23595
2.57988,2.1626
2.55412,2.1767
2.547,2.12493
2.51402,2.04206
2.53791,2.00325
2.34305,2.01758
2.20071,2.05396
2.20071,2.05396
2.11454,1.98387
2.06204,1.93533
2.1141,2.02301
2.12606,2.0936
2.1294,2.09554
2.07671,2.06424
2.10814,2.02566
2.11307,2.00462
2.11307,2.00462
1.99371,2.05744
1.98173,1.94207
1.98173,1.94207
1.98173,1.94207
1.95629,1.91174
1.95587,2.02383
2.0268,2.03524
2.10539,2.00634
2.10539,2.00634
1.98138,1.95804
1.98138,1.95804
1.98138,1.95804
1.98138,1.95804
2.01592,2.00552
2.01592,2.00552
2.07076,2.00915
2.13557,2.00208
2.07472,1.90101
2.04068,1.9224
2.02003,1.90223
2.02394,1.9592
2.01808,1.94465
2.01808,1.94465
1.99285,1.93581
2.05365,2.01187
2.02115,1.91034
2.02115,1.91034
1.95031,1.87683
2.01524,1.82206
2.01524,1.82206
1.94893,1.78146
1.94893,1.78146
1.94893,1.78146
1.98534,1.73053
1.93168,1.72945
1.93168,1.72945
1.98665,1.74878
1.98665,1.74878
1.98665,1.74878
1.98665,1.74878
1.95799,1.68216
1.95799,1.68216
2.07831,1.65945
2.04656,1.53944
1.95138,1.59904
2.03238,1.54938
2.00486,1.36387
2.02045,1.28749
2.02045,1.28749
1.98113,1.20186
2.05897,1.22536
2.01613,1.28449
1.95968,1.29133
1.95968,1.29133
1.95968,1.29133
1.86108,1.20895
1.86108,1.20895
1.8848,1.21576
1.8848,1.21576
1.84133,1.32716
1.73515,1.27717
1.73515,1.27717
1.85269,1.34986
1.78194,1.28981
1.79157,1.19968
1.79157,1.19968
1.79157,1.19968
1.79157,1.19968
1.71907,1.26922
1.67778,1.27799
1.73051,1.23793
1.73026,1.3208
1.6873,1.29851
1.70705,1.31184
1.68949,1.25656
1.68949,1.25656
1.64052,1.32202
1.64686,1.33427
1.63548,1.39958
1.70849,1.356
1.70849,1.356
1.69416,1.31038
1.68925,1.28424
1.62381,1.21754
1.63786,1.19804
1.63786,1.19804
1.66473,1.23798
1.65096,1.3146
1.62216,1.32641
1.60526,1.35288
1.64801,1.27819
1.64465,1.20896
1.62742,1.30616
1.5571,1.24397
1.60644,1.29593
1.54344,1.26776
1.4357,1.36159
1.49556,1.40903
1.49556,1.40903
1.52621,1.38936
1.52621,1.38936
1.52621,1.38936
1.52621,1.38936
1.52621,1.38936
1.52621,1.38936
1.50374,1.36944
1.62353,1.26925
1.63902,1.26939
1.63902,1.26939
1.65357,1.19504
1.67206,1.25335
1.67206,1.25335
1.67206,1.25335
1.69904,1.18007
1.63069,1.32396
1.58581,1.29228
1.60628,1.2085
1.6738,1.23498
1.69767,1.23802
1.69767,1.23802
1.78657,1.17741
1.77495,1.25432
1.81145,1.21484
1.81145,1.21484
1.74969,1.24758
1.77452,1.28129
1.77312,1.2526
1.77312,1.2526
1.77312,1.2526
1.79695,1.22499
1.83504,1.21935
1.84518,1.30447
1.75741,1.32988
1.66416,1.38026
1.69861,1.43979
1.69861,1.43979
1.64101,1.40793
1.64101,1.40793
1.70132,1.37963
1.66431,1.31476
1.72652,1.29883
1.72652,1.29883
1.65291,1.31753
1.65291,1.31753
1.64377,1.35834
1.7246,1.38613
1.68777,1.39737
1.69571,1.42394
1.72948,1.37185
1.83124,1.35101
1.83255,1.39856
1.74658,1.38533
1.74658,1.38533
1.71247,1.33976
1.82598,1.4081
1.82598,1.4081
1.74819,1.40022
1.7928,1.45011
1.80363,1.45134
1.74514,1.52651
1.74514,1.52651
1.64545,1.44704
1.64545,1.44704
1.65011,1.43942
1.70567,1.38859
1.83759,1.33535
1.83759,1.33535
1.83759,1.33535
1.86358,1.284
1.88372,1.24867
1.83993,1.20481
1.83993,1.20481
1.7704,1.21353
1.77814,1.19367
1.77814,1.19367
1.79341,1.2903
1.81038,1.30592
1.81038,1.30592
1.83029,1.23582
1.83029,1.23582
1.83166,1.19493
1.80641,1.13994
1.80641,1.13994
1.84908,1.12013
1.84908,1.12013
1.84908,1.12013
1.84908,1.12013
1.7883,1.25435
1.81106,1.31464
1.67039,1.28834
1.67039,1.28834
1.69667,1.25234
1.74838,1.32543
1.74838,1.32543
1.65054,1.3362
1.65054,1.3362
1.65054,1.3362
1.65054,1.3362
1.67548,1.36763
1.58668,1.33789
1.54713,1.42016
1.42936,1.40544
1.42936,1.40544
1.44516,1.40681
1.44516,1.40681
1.49496,1.39099
1.52794,1.39739
1.51841,1.41324
1.66347,1.41935
1.75095,1.28921
1.74721,1.29592
1.74721,1.29592
1.74721,1.29592
1.74447,1.28532
1.74447,1.28532
1.76511,1.30034
1.71263,1.26489
1.79597,1.29192
1.83502,1.35055
1.86027,1.41059
1.82413,1.37186
1.84821,1.36869
1.83881,1.38037
