MDTU,0,2,4,6,8,10
10,0.0190481,0.0196091,0.020045,0.0202147,0.020665,0.0209321
20,0.0190711,0.0193749,0.0197252,0.0199509,0.0205352,0.0206152
30,0.0191741,0.0193632,0.0203763,0.020501,0.0208913,0.0210763
40,0.0198315,0.0200067,0.0208318,0.0209925,0.0210789,0.0212044
50,0.0205292,0.0206735,0.0209469,0.0211841,0.0212697,0.0213521
60,0.0186688,0.0192961,0.019818,0.0199061,0.0201542,0.0203065
70,0.0187901,0.019273,0.0197632,0.0199301,0.0204499,0.0205259
80,0.0204928,0.0207647,0.0209527,0.0211547,0.0212522,0.0215812
90,0.0196099,0.0197598,0.0199237,0.0202421,0.0204016,0.0206311
100,0.0181627,0.0182605,0.0200061,0.0203584,0.0204369,0.0206667
110,0.0188648,0.0194804,0.0201605,0.0205752,0.0207172,0.0209018
120,0.0191087,0.0192945,0.0196535,0.0200782,0.0202703,0.0204044
130,0.0199652,0.0205551,0.0208127,0.0208698,0.0209564,0.0210588
140,0.0200288,0.0202294,0.0204202,0.0205598,0.0207192,0.0209356
150,0.0183193,0.0187035,0.0194097,0.0194745,0.0198553,0.019919
160,0.0199322,0.0201714,0.0205593,0.0206223,0.0209541,0.0210514
170,0.0182078,0.0189272,0.0196177,0.0199668,0.0200285,0.0201912
180,0.0186117,0.0188156,0.0191878,0.0194063,0.0195887,0.0196947
190,0.0183007,0.0188375,0.0189598,0.019308,0.0194288,0.0194971
200,0.0185388,0.0186137,0.0188654,0.0190817,0.0191971,0.0196441
