MDTU,link
1,1.12088
2,1.11078
3,1.10957
4,1.10929
5,1.10902
6,1.10884
7,1.10732
8,1.10581
9,1.10609
10,1.10471
11,1.10524
12,1.1025
13,1.10369
14,1.10189
15,1.09731
16,1.09667
17,1.09406
18,1.09256
19,1.09456
20,1.09492
21,1.09413
22,1.09229
23,1.09229
24,1.09102
25,1.09139
26,1.08916
27,1.09079
28,1.08873
29,1.08926
30,1.08781
31,1.08781
32,1.08645
33,1.08804
34,1.08677
35,1.08677
36,1.08653
37,1.08614
38,1.08507
39,1.08507
40,1.08387
41,1.08471
42,1.08407
43,1.08109
44,1.08085
45,1.08154
46,1.08026
47,1.07869
48,1.07537
49,1.07537
50,1.07389
51,1.07335
52,1.07176
53,1.07263
54,1.07266
55,1.0711
56,1.06902
57,1.06724
58,1.06724
59,1.06848
60,1.06848
61,1.06807
62,1.06771
63,1.06757
64,1.06568
65,1.06566
66,1.06427
67,1.06474
68,1.06474
69,1.06309
70,1.0625
71,1.06239
72,1.06263
73,1.06263
74,1.0635
75,1.06406
76,1.0619
77,1.0617
78,1.06167
79,1.06167
80,1.06117
81,1.05948
82,1.05948
83,1.05814
84,1.05728
85,1.05728
86,1.05839
87,1.05839
88,1.05839
89,1.05766
90,1.05581
91,1.05581
92,1.05732
93,1.05498
94,1.05304
95,1.05301
96,1.05391
97,1.05391
98,1.05265
99,1.05267
100,1.0551
101,1.05502
102,1.05502
103,1.05502
104,1.05615
105,1.05615
106,1.05648
107,1.05648
108,1.05675
109,1.05646
110,1.05486
111,1.05256
112,1.05212
113,1.05212
114,1.05128
115,1.04995
116,1.05124
117,1.04997
118,1.04997
119,1.04915
120,1.04735
121,1.04664
122,1.04664
123,1.04696
124,1.04666
125,1.04679
126,1.04679
127,1.04679
128,1.04433
129,1.04433
130,1.04584
131,1.0459
132,1.0459
133,1.0459
134,1.0459
135,1.04621
136,1.04605
137,1.04605
138,1.04414
139,1.04414
140,1.04332
141,1.04332
142,1.04332
143,1.04503
144,1.04375
145,1.04375
146,1.04393
147,1.04426
148,1.04335
149,1.04433
150,1.04303
151,1.04401
152,1.04345
153,1.04345
154,1.04345
155,1.04329
156,1.04305
157,1.04305
158,1.04371
159,1.04346
160,1.04384
161,1.04546
162,1.04491
163,1.04413
164,1.04228
165,1.04118
166,1.04118
167,1.04291
168,1.04291
169,1.04052
170,1.04052
171,1.03977
172,1.04001
173,1.04001
174,1.04038
175,1.03885
176,1.03885
177,1.03885
178,1.03885
179,1.03784
180,1.03706
181,1.03561
182,1.03561
183,1.03565
184,1.03539
185,1.03539
186,1.03539
187,1.03539
188,1.03539
189,1.03539
190,1.03531
191,1.03552
192,1.03545
193,1.03545
194,1.03449
195,1.03506
196,1.03375
197,1.03375
198,1.03375
199,1.03375
200,1.03375
201,1.03595
202,1.03595
203,1.03595
204,1.03492
205,1.0349
206,1.03489
207,1.03484
208,1.03498
209,1.03498
210,1.03498
211,1.03498
212,1.03467
213,1.03467
214,1.03398
215,1.0332
216,1.0332
217,1.03292
218,1.03292
219,1.03441
220,1.03336
221,1.03336
222,1.03336
223,1.03336
224,1.03336
225,1.03309
226,1.03353
227,1.03197
228,1.03197
229,1.03134
230,1.03153
231,1.03107
232,1.03038
233,1.02722
234,1.02736
235,1.02736
236,1.02673
237,1.02625
238,1.0258
239,1.02572
240,1.02604
241,1.0276
242,1.02569
243,1.02672
244,1.02781
245,1.03065
246,1.02947
247,1.02985
248,1.02985
249,1.03046
250,1.03046
251,1.03046
252,1.03058
253,1.03009
254,1.03009
255,1.02905
256,1.02905
257,1.02781
258,1.02799
259,1.0261
260,1.02674
261,1.02722
262,1.02777
263,1.02803
264,1.02803
265,1.02803
266,1.02803
267,1.0265
268,1.0275
269,1.0275
270,1.02508
271,1.02589
272,1.02597
273,1.02631
274,1.02685
275,1.02685
276,1.02708
277,1.02743
278,1.02724
279,1.02724
280,1.02623
281,1.0271
282,1.0271
283,1.02719
284,1.02889
285,1.02889
286,1.02889
287,1.02709
288,1.02709
289,1.02649
290,1.02843
291,1.02805
292,1.02805
293,1.0278
294,1.02866
295,1.02864
296,1.02864
297,1.02861
298,1.02861
299,1.02861
300,1.02861
301,1.02846
302,1.02654
303,1.02567
304,1.02567
305,1.02567
306,1.02441
307,1.02441
308,1.02313
309,1.02244
310,1.02088
311,1.02088
312,1.02042
313,1.02094
314,1.02117
315,1.01943
316,1.01965
317,1.01937
318,1.01937
319,1.01937
320,1.01897
321,1.01833
322,1.01794
323,1.01911
324,1.01839
325,1.01839
326,1.01944
327,1.01736
328,1.01675
329,1.01675
330,1.01789
331,1.0198
332,1.0198
333,1.0198
334,1.0198
335,1.02043
336,1.02092
337,1.0209
338,1.02076
339,1.01959
340,1.01938
341,1.01938
342,1.01938
343,1.0207
344,1.0207
345,1.02185
346,1.02395
347,1.02395
348,1.02395
349,1.02592
350,1.02592
351,1.02592
352,1.02565
353,1.02576
354,1.02576
355,1.02488
356,1.02538
357,1.02538
358,1.02516
359,1.02438
360,1.02358
361,1.02319
362,1.02178
363,1.02239
364,1.02231
365,1.02231
366,1.02361
367,1.02361
368,1.02361
369,1.02204
370,1.02164
371,1.02164
372,1.02171
373,1.0209
374,1.02059
375,1.01959
376,1.01959
377,1.01959
378,1.01959
379,1.01959
380,1.02037
381,1.02037
382,1.02133
383,1.02136
384,1.0215
385,1.02072
386,1.02072
387,1.02196
388,1.02318
389,1.02318
390,1.02159
391,1.02159
392,1.02259
393,1.02259
394,1.02262
395,1.02262
396,1.02262
397,1.02265
398,1.02027
399,1.01974
400,1.02137
401,1.02128
402,1.02128
403,1.01991
404,1.01991
405,1.01945
406,1.01912
407,1.01912
408,1.02072
409,1.02041
410,1.02041
411,1.02355
412,1.0243
413,1.02412
414,1.02258
415,1.02313
416,1.02313
417,1.02309
418,1.02267
419,1.02413
420,1.02473
421,1.02478
422,1.02479
423,1.02479
424,1.0248
425,1.02441
426,1.02497
427,1.02497
428,1.02497
429,1.02498
430,1.02485
431,1.02485
432,1.02237
433,1.02237
434,1.02251
435,1.02004
436,1.0206
437,1.02151
438,1.02151
439,1.02239
440,1.02239
441,1.02239
442,1.02239
443,1.02239
444,1.02329
445,1.022
446,1.022
447,1.02289
448,1.02243
449,1.02243
450,1.02198
451,1.02213
452,1.02291
453,1.02405
454,1.02414
455,1.02304
456,1.0229
457,1.02426
458,1.02304
459,1.02419
460,1.02419
461,1.02339
462,1.02187
463,1.02059
464,1.02059
465,1.02066
466,1.01933
467,1.01908
468,1.01916
469,1.01791
470,1.01791
471,1.02021
472,1.01816
473,1.01558
474,1.01485
475,1.01505
476,1.01505
477,1.01461
478,1.01485
479,1.01631
480,1.01631
481,1.01417
482,1.01767
483,1.01767
484,1.01767
485,1.01698
486,1.01845
487,1.01879
488,1.01868
489,1.0196
490,1.0201
491,1.01821
492,1.01821
493,1.01821
494,1.0195
495,1.02005
496,1.01885
497,1.02043
498,1.02043
499,1.0193
500,1.0193
501,1.01841
502,1.01841
503,1.0199
504,1.0199
505,1.01977
506,1.01885
507,1.02133
508,1.02098
509,1.02173
510,1.02109
511,1.02109
512,1.02134
513,1.02134
514,1.02181
515,1.02181
516,1.02108
517,1.02214
518,1.02131
519,1.02131
520,1.01993
521,1.02012
522,1.01995
523,1.01995
524,1.02004
525,1.02033
526,1.02191
527,1.02108
528,1.02271
529,1.02133
530,1.01948
531,1.02111
532,1.02052
533,1.01958
534,1.01958
535,1.01791
536,1.01959
537,1.01763
538,1.01456
539,1.01456
540,1.01322
541,1.01309
542,1.01244
543,1.0135
544,1.0135
545,1.0135
546,1.01315
547,1.01456
548,1.015
549,1.01503
550,1.0158
551,1.0158
552,1.01681
553,1.01681
554,1.01681
555,1.01741
556,1.01887
557,1.02058
558,1.01942
559,1.01575
560,1.01909
561,1.0186
562,1.01834
563,1.01887
564,1.01743
565,1.01795
566,1.01844
567,1.01914
568,1.01843
569,1.01789
570,1.01821
571,1.01857
572,1.01857
573,1.01857
574,1.01857
575,1.0195
576,1.01908
577,1.01908
578,1.01944
579,1.01944
580,1.02069
581,1.02069
582,1.02089
583,1.01952
584,1.01988
585,1.01988
586,1.02021
587,1.02021
588,1.02008
589,1.01947
590,1.02058
591,1.02058
592,1.02146
593,1.0223
594,1.02295
595,1.02295
596,1.02295
597,1.02295
598,1.02295
599,1.02295
600,1.02232
601,1.02244
602,1.02244
603,1.02244
604,1.02244
605,1.02267
606,1.02275
607,1.0219
608,1.02355
609,1.02355
610,1.02341
611,1.02277
612,1.02175
613,1.02175
614,1.02153
615,1.02153
616,1.02153
617,1.02153
618,1.02153
619,1.02153
620,1.02275
621,1.02171
622,1.02253
623,1.02139
624,1.02221
625,1.02221
626,1.0209
627,1.02051
628,1.02051
629,1.02051
630,1.01963
631,1.02218
632,1.02262
633,1.02447
634,1.02392
635,1.0245
636,1.024
