MDTU,min_ave,max_ave
1,-0.14416,0.1221
2,-0.14416,0.1221
3,-0.0961992,0.158669
4,-0.0996641,0.155634
5,-0.0968769,0.158503
6,-0.0973163,0.1579
7,-0.0971037,0.158245
8,-0.0973321,0.156798
9,-0.0973321,0.156798
10,-0.0966038,0.158163
11,-0.0980217,0.156533
12,-0.0984777,0.156699
13,-0.0982296,0.156692
14,-0.0998265,0.156595
15,-0.100711,0.156356
16,-0.100113,0.156621
17,-0.10168,0.155392
18,-0.101513,0.15564
19,-0.101169,0.15575
20,-0.102632,0.155334
21,-0.104155,0.154451
22,-0.105,0.154092
23,-0.10412,0.154141
24,-0.105041,0.153825
25,-0.104323,0.153914
26,-0.104878,0.153858
27,-0.106268,0.15302
28,-0.107234,0.153091
29,-0.107462,0.152696
30,-0.107891,0.152185
31,-0.108521,0.151752
32,-0.108817,0.15161
33,-0.108694,0.151609
34,-0.108235,0.151964
35,-0.108788,0.151196
36,-0.109252,0.151379
37,-0.11107,0.150115
38,-0.110942,0.150334
39,-0.110942,0.150334
40,-0.111163,0.150283
41,-0.111424,0.149923
42,-0.111739,0.149746
43,-0.112159,0.149488
44,-0.113919,0.148895
45,-0.113618,0.148536
46,-0.114446,0.147666
47,-0.113732,0.148247
48,-0.113732,0.148247
49,-0.114744,0.148103
50,-0.115611,0.147051
51,-0.115611,0.147051
52,-0.117352,0.145998
53,-0.117434,0.146926
54,-0.116787,0.1477
55,-0.11504,0.148302
56,-0.116056,0.147167
57,-0.116056,0.147167
58,-0.116351,0.146829
59,-0.116565,0.147504
60,-0.117032,0.146926
61,-0.119023,0.145875
62,-0.117971,0.146189
63,-0.117971,0.146189
