MDTU,min_width,max_width
1,0.0333666,0.0238154
2,0.0423609,0.031291
3,0.0411688,0.0302641
4,0.0430247,0.0315865
5,0.0411313,0.0305608
6,0.0394674,0.0294535
7,0.0387611,0.0291968
8,0.0392824,0.0294391
9,0.0395996,0.0293865
10,0.0391971,0.0289125
11,0.0382574,0.0280642
12,0.0365205,0.0270966
13,0.0368391,0.027796
14,0.0369994,0.0272399
15,0.0371479,0.0278959
16,0.0375882,0.0278179
17,0.03706,0.0273463
18,0.0370411,0.0273893
19,0.037141,0.0272811
20,0.0344765,0.0253877
21,0.0345578,0.0252786
22,0.0340989,0.02495
23,0.0342294,0.0248247
24,0.0341504,0.0250177
25,0.0338012,0.0245214
26,0.0346466,0.0253714
27,0.0350008,0.0257253
28,0.0349068,0.0254852
29,0.0350871,0.0255856
30,0.0355386,0.0262434
31,0.0355795,0.0258705
32,0.035174,0.0254179
33,0.0347962,0.0252337
34,0.0344773,0.0251086
35,0.0341226,0.0248404
36,0.034013,0.0250349
37,0.0337972,0.0246569
38,0.0342906,0.025099
39,0.0349474,0.0256953
40,0.0349615,0.025505
41,0.0345075,0.0250103
42,0.0344781,0.0251937
43,0.0348931,0.0253257
44,0.0337014,0.0240292
45,0.0335718,0.0244465
46,0.0335704,0.0242531
47,0.0340149,0.024668
48,0.0340149,0.024668
49,0.0331793,0.0239152
50,0.0345247,0.0249268
51,0.0345247,0.0249268
52,0.0351233,0.0255647
53,0.0353861,0.0259697
54,0.0354507,0.0258136
55,0.0350363,0.0252524
56,0.0352327,0.0257367
57,0.0352327,0.0257367
58,0.0355415,0.025656
59,0.0365496,0.0263321
60,0.0365496,0.0263321
61,0.0357564,0.0259091
62,0.0357564,0.0259091
63,0.0347435,0.0249497
64,0.0353167,0.0251806
65,0.0356031,0.0255224
66,0.0346485,0.0254707
67,0.0350207,0.025561
68,0.0350207,0.025561
69,0.0344707,0.0249177
70,0.0334141,0.0241075
71,0.0329158,0.0237882
72,0.0329158,0.0237882
73,0.0333684,0.0240597
74,0.0331136,0.0237893
75,0.0331136,0.0237893
76,0.0325723,0.0233452
77,0.0318594,0.0231406
78,0.032185,0.0231604
79,0.0329843,0.0238408
80,0.0329843,0.0238408
81,0.0329843,0.0238408
82,0.0332849,0.0237967
83,0.0323056,0.0231927
84,0.0326814,0.0233109
85,0.0335246,0.0238964
86,0.0330063,0.0236747
87,0.0330315,0.0235516
88,0.0331721,0.0239461
89,0.0333899,0.023787
90,0.033205,0.0239392
91,0.0337995,0.0242777
92,0.0337995,0.0242777
93,0.0349623,0.025262
94,0.0349623,0.025262
95,0.0351654,0.0254382
96,0.0350771,0.0252859
97,0.0346639,0.0252798
98,0.0352015,0.0252598
99,0.0342625,0.0247372
100,0.0342625,0.0247372
101,0.0342625,0.0247372
102,0.0335612,0.0241593
103,0.0338105,0.0240518
104,0.033103,0.0239936
105,0.033103,0.0239936
106,0.0331566,0.0237786
107,0.0346792,0.0245183
108,0.0338545,0.0245082
109,0.0337861,0.0242277
110,0.0333538,0.0240899
111,0.0337897,0.0245245
112,0.03341,0.0243058
113,0.0342421,0.0244848
114,0.0342421,0.0244848
115,0.0342421,0.0244848
116,0.0346554,0.0245442
