MDTU,link
1,1.22772
2,1.22884
3,1.22715
4,1.22428
5,1.22215
6,1.2206
7,1.22005
8,1.21964
9,1.21917
10,1.21891
11,1.21892
12,1.21837
13,1.21846
14,1.2185
15,1.2185
16,1.2185
17,1.2186
18,1.21846
19,1.21815
20,1.2183
21,1.21853
22,1.21841
23,1.2183
24,1.21834
25,1.21816
26,1.21824
27,1.21824
28,1.21824
29,1.21827
30,1.21814
31,1.21769
32,1.21769
33,1.21778
34,1.21778
35,1.21778
36,1.21773
37,1.21749
38,1.21749
39,1.2177
40,1.21739
41,1.21785
42,1.21809
43,1.21766
44,1.21777
45,1.21751
46,1.21756
47,1.2172
48,1.21751
49,1.21751
50,1.21776
51,1.21733
52,1.21733
53,1.2176
54,1.2176
55,1.21765
56,1.21765
57,1.21765
58,1.21765
59,1.21777
60,1.21777
61,1.21742
62,1.21742
63,1.21699
64,1.21707
65,1.21707
66,1.21755
67,1.21734
68,1.21734
69,1.21738
70,1.21738
71,1.21716
72,1.21725
73,1.217
74,1.21752
75,1.21729
76,1.21744
77,1.21712
78,1.21762
79,1.21742
80,1.21752
81,1.21725
82,1.21759
83,1.21742
84,1.21747
85,1.21709
86,1.21754
87,1.21766
88,1.21781
89,1.21724
90,1.21728
91,1.2171
92,1.21741
93,1.21767
94,1.21767
95,1.21708
96,1.21708
97,1.21708
98,1.2173
99,1.21732
100,1.21726
101,1.21765
102,1.21733
103,1.21733
104,1.21709
105,1.21738
106,1.21738
107,1.21726
108,1.21697
109,1.21727
110,1.21694
111,1.2169
112,1.21683
113,1.21707
114,1.21704
115,1.21705
116,1.21715
117,1.21702
118,1.21702
119,1.21702
120,1.21716
121,1.21716
122,1.21716
123,1.21668
124,1.21709
125,1.21669
126,1.21682
127,1.21643
128,1.21643
129,1.2163
130,1.21671
131,1.2167
132,1.2167
133,1.21662
134,1.21714
135,1.21693
136,1.21693
137,1.2169
138,1.21703
139,1.21678
140,1.21678
141,1.21678
142,1.21678
143,1.21709
144,1.21674
145,1.21702
146,1.21681
147,1.21706
148,1.21695
149,1.21695
150,1.21667
151,1.21667
