t,N_f,N_g
10,25,200
20,25,200
30,25,200
40,25,200
50,25,200
60,25,200
70,25,200
80,25,200
90,25,200
100,25,200
110,25,200
120,25,200
130,25,200
140,25,200
150,25,200
160,25,200
170,25,200
180,25,200
190,25,200
200,25,200
210,25,200
220,25,200
230,25,200
240,25,200
250,25,200
260,25,200
270,25,200
280,25,200
290,25,200
300,25,200
310,25,200
320,25,200
330,25,200
340,25,200
350,25,200
360,25,200
370,25,200
380,25,200
390,25,200
400,25,200
410,25,200
420,25,200
430,25,200
440,25,200
450,25,200
460,25,200
470,25,200
480,25,200
490,25,200
500,25,200
510,25,200
520,25,200
530,25,200
540,25,200
550,25,200
560,25,200
570,25,200
580,25,200
590,25,200
600,25,200
610,25,200
620,25,200
630,25,200
640,25,200
650,25,200
660,25,200
670,25,200
680,25,200
690,25,200
700,25,200
710,25,200
720,25,200
730,25,200
740,25,200
750,25,200
760,25,200
770,25,200
780,25,200
790,25,200
800,25,200
810,25,200
820,25,200
830,25,200
840,25,200
850,25,200
860,25,200
870,25,200
880,25,200
890,25,200
900,25,200
910,25,200
920,25,200
930,25,200
940,25,200
950,25,200
960,25,200
970,25,200
980,25,200
990,25,200
1000,25,200
1010,25,200
1020,25,200
1030,25,200
1040,25,200
1050,25,200
1060,25,200
1070,25,200
1075,25,200
1080,25,200
1085,25,200
1090,25,200
1100,25,200
1110,25,200
1120,25,200
1130,25,200
1140,25,200
1150,25,200
1160,25,200
1170,25,200
1180,25,200
1190,25,200
1200,25,200
1210,25,200
1220,25,200
1230,25,200
1240,25,200
1250,25,200
1255,25,200
1260,25,200
1265,25,200
1270,25,200
1275,25,200
1280,25,200
1285,25,200
1290,25,200
1295,25,200
1300,25,200
1305,25,200
1310,25,200
1315,25,200
1320,25,200
1325,25,200
1330,25,200
1335,25,200
1340,25,200
1345,25,200
1350,25,200
1355,25,200
1360,25,200
1365,25,200
1370,25,200
1375,25,200
1380,25,200
1385,25,200
1390,25,200
1395,25,200
1400,25,200
1405,25,200
1410,25,200
1415,25,200
1420,25,200
1425,25,200
1430,25,200
1435,25,200
1440,25,200
1445,25,200
1450,25,200
1455,25,200
1460,25,200
1465,25,200
1470,25,200
1475,25,200
1480,25,200
1485,25,200
1490,25,200
1495,25,200
1500,25,200
1505,25,200
1510,25,200
1515,25,200
1520,25,200
1525,25,200
1530,25,200
1535,25,200
1540,25,200
1545,25,200
1550,25,200
1555,25,200
1560,25,200
1565,25,200
1570,25,200
1575,25,200
1580,25,200
1585,25,200
1590,25,200
1595,25,200
1600,25,200
1605,25,200
1610,25,200
1615,25,200
1620,25,200
1625,25,200
1630,25,200
1635,25,200
1640,25,200
1645,25,200
1650,25,200
1655,25,200
1660,25,200
1665,25,200
1670,25,200
1675,25,200
1680,25,200
1685,25,200
1690,25,200
1695,25,200
1700,25,200
1705,25,200
1710,25,200
1715,25,200
1720,25,200
1725,25,200
1730,25,200
1735,25,200
1740,25,200
1745,25,200
1750,25,200
1755,25,200
1760,25,200
1765,25,200
1770,25,200
1775,25,200
1780,25,200
1785,25,200
1790,25,200
1795,25,200
1800,25,200
1805,25,200
1810,25,200
1820,25,200
1830,25,200
1840,25,200
1850,25,200
1860,25,200
1870,25,200
1880,25,200
1890,25,200
1900,25,200
1910,25,200
1920,25,200
1930,25,200
1940,25,200
1950,25,200
1960,25,200
1970,25,200
1980,25,200
1990,25,200
2000,25,200
2010,25,200
2020,25,200
2030,25,200
2040,25,200
2050,25,200
2060,25,200
2070,25,200
2080,25,200
2090,25,200
2100,25,200
2110,25,200
2120,25,200
2130,25,200
2140,25,200
2150,25,200
2160,25,200
2170,25,200
2180,25,200
2190,25,200
2200,25,200
2210,25,200
2220,25,200
2230,25,200
2240,25,200
2250,25,200
2260,25,200
2270,25,200
2280,25,200
2290,25,200
2300,25,200
2310,25,200
2320,25,200
2330,25,200
2340,25,200
2350,25,200
2360,25,200
2370,25,200
2380,25,200
2390,25,200
2400,25,200
2410,25,200
2420,25,200
2430,25,200
2440,25,200
2450,25,200
2460,25,200
2470,25,200
2480,25,200
2490,25,200
2500,25,200
2510,25,200
2520,25,200
2530,25,200
2540,25,200
2550,25,200
2560,25,200
2570,25,200
2580,25,200
2590,25,200
2600,25,200
2610,25,200
2620,25,200
2630,25,200
2640,25,200
2650,25,200
2660,25,200
2670,25,200
2680,25,200
2690,25,200
2700,25,200
2710,25,200
2720,25,200
2730,25,200
2740,25,200
2750,25,200
2760,25,200
2770,25,200
2780,25,200
2790,25,200
2800,25,200
2810,25,200
2820,25,200
2830,25,200
2840,25,200
2850,25,200
2860,25,200
2870,25,200
2880,25,200
2890,25,200
2900,25,200
2910,25,200
2920,25,200
2930,25,200
2940,25,200
2950,25,200
2960,25,200
2970,25,200
2980,25,200
2990,25,200
3000,25,200
3010,25,200
3020,25,200
3030,25,200
3040,25,200
3050,25,200
3060,25,200
3070,25,200
3080,25,200
3090,25,200
3100,25,200
3110,25,200
3120,25,200
3130,25,200
3140,25,200
3150,25,200
3160,25,200
3170,25,200
3180,25,200
3190,25,200
3200,25,200
3210,25,200
3220,25,200
3230,25,200
3240,25,200
3250,25,200
3260,25,200
3270,25,200
3280,25,200
3290,25,200
3300,25,200
3310,25,200
3320,25,200
3330,25,200
3340,25,200
3350,25,200
3360,25,200
3370,25,200
3380,25,200
3390,25,200
3400,25,200
3410,25,200
3420,25,200
3430,25,200
3440,25,200
3450,25,200
3460,25,200
3470,25,200
3480,25,200
3490,25,200
3500,25,200
3510,25,200
3520,25,200
3530,25,200
3540,25,200
3550,25,200
3560,25,200
3570,25,200
3580,25,200
3590,25,200
3600,25,200
3610,25,200
3620,25,200
3630,25,200
3640,25,200
3650,25,200
3660,25,200
3670,25,200
3680,25,200
3690,25,200
3700,25,200
3710,25,200
3720,25,200
3730,25,200
3740,25,200
3750,25,200
3760,25,200
3770,25,200
3780,25,200
3790,25,200
3800,25,200
3810,25,200
3820,25,200
3830,25,200
3840,25,200
3850,25,200
3860,25,200
3870,25,200
3880,25,200
3890,25,200
3900,25,200
3910,25,200
3920,25,200
3930,25,200
3940,25,200
3950,25,200
3960,25,200
3970,25,200
3980,25,200
3990,25,200
4000,25,200
4010,25,200
4020,25,200
4030,25,200
4040,25,200
4050,25,200
4060,25,200
4070,25,200
4080,25,200
4090,25,200
4100,25,200
4110,25,200
4120,25,200
4130,25,200
4140,25,200
4150,25,200
4160,25,200
4170,25,200
4180,25,200
4190,25,200
4200,25,200
4210,25,200
4220,25,200
4230,25,200
4240,25,200
4250,25,200
4260,25,200
4270,25,200
4280,25,200
4290,25,200
4300,25,200
4310,25,200
4320,25,200
4330,25,200
4340,25,200
4350,25,200
4360,25,200
4370,25,200
4380,25,200
4390,25,200
4400,25,200
4410,25,200
4420,25,200
4430,25,200
4440,25,200
4450,25,200
4460,25,200
4470,25,200
4480,25,200
4490,25,200
4500,25,200
4510,25,200
4520,25,200
4530,25,200
4540,25,200
4550,25,200
4560,25,200
4570,25,200
4580,25,200
4590,25,200
4600,25,200
4610,25,200
4620,25,200
4630,25,200
4640,25,200
4650,25,200
4660,25,200
4670,25,200
4680,25,200
4690,25,200
4700,25,200
4710,25,200
4720,25,200
4730,25,200
4740,25,200
4750,25,200
4760,25,200
4770,25,200
4780,25,200
4790,25,200
4800,25,200
4810,25,200
4820,25,200
4830,25,200
4840,25,200
4850,25,200
4860,25,200
4870,25,200
4880,25,200
4890,25,200
4900,25,200
4910,25,200
4920,25,200
4930,25,200
4940,25,200
4950,25,200
4960,25,200
4970,25,200
4980,25,200
4990,25,200
5000,25,200
5010,25,200
5020,25,200
5030,25,200
5040,25,200
5050,25,200
5060,25,200
5070,25,200
5080,25,200
5090,25,200
5100,25,200
5110,25,200
5120,25,200
5130,25,200
5140,25,200
5150,25,200
5160,25,200
5170,25,200
5180,25,200
5190,25,200
5200,25,200
5210,25,200
5220,25,200
5230,25,200
5240,25,200
5250,25,200
5260,25,200
5270,25,200
5280,25,200
5290,25,200
5300,25,200
5310,25,200
5320,25,200
5330,25,200
5340,25,200
