MDTU,S_B
1,0.860166
2,0.930288
3,0.964359
4,0.980809
5,0.98915
6,0.993349
7,0.996379
8,0.997779
9,0.99835
10,0.998912
11,0.999459
12,0.999182
13,0.999278
14,0.999284
15,0.999284
16,0.999284
17,0.999368
18,0.999326
19,0.998878
20,0.998687
21,0.999594
22,0.999532
23,0.999603
24,0.999359
25,0.999818
26,0.999579
27,0.999579
28,0.999579
29,0.999688
30,0.999639
31,0.999403
32,0.999403
33,0.999778
34,0.999778
35,0.999778
36,0.999764
37,0.999027
38,0.999027
39,0.999455
40,0.99916
41,0.999155
42,0.99951
43,0.998725
44,0.99889
45,0.999539
46,0.999765
47,0.999121
48,0.999148
49,0.99942
50,0.999966
51,0.999717
52,0.999717
53,0.999792
54,0.999792
55,0.999557
56,0.999557
57,0.999557
58,0.999557
59,0.999667
60,0.999667
61,0.99947
62,0.99947
63,0.999404
64,0.999219
65,0.999219
66,0.999517
67,0.999741
68,0.999741
69,0.999546
70,0.999546
71,0.999138
72,0.99919
73,0.998827
74,0.99949
75,0.999174
76,0.999309
77,0.9991
78,0.999375
79,0.999165
80,0.999541
81,0.999132
82,0.999601
83,0.99957
84,0.999288
85,0.998533
86,0.998705
87,0.999119
88,0.999257
89,0.999097
90,0.998989
91,0.998762
92,0.999461
93,1.00043
94,1.00043
95,0.999598
96,0.999598
97,0.999598
98,0.999633
99,0.99947
100,0.999213
101,0.999572
102,0.999378
103,0.999378
104,0.998664
105,0.999603
106,0.999603
107,0.999329
108,0.998577
109,0.999166
110,0.999164
111,0.999903
112,0.999681
113,0.999675
114,0.999138
115,0.999291
116,0.999711
117,0.999319
118,0.999319
119,0.999413
120,0.999606
121,0.999606
122,0.999606
123,0.999461
124,0.999867
125,0.99875
126,0.999772
127,0.999299
128,0.999299
129,0.998578
130,0.99893
131,0.998833
132,0.998833
133,0.999219
134,0.999253
135,0.999397
136,0.999397
137,0.999073
138,0.999707
139,0.999918
140,0.999918
141,0.999918
142,0.999918
143,0.999633
144,0.999409
145,0.999231
146,0.999321
147,0.999367
148,0.99961
149,0.999609
150,0.999721
151,0.999721
152,0.999833
153,0.999659
154,0.999953
155,0.999953
156,0.999953
157,0.999196
158,0.999236
159,0.999054
160,0.999241
161,0.999417
162,0.999526
163,0.999414
164,0.999594
165,0.999594
166,0.999594
167,0.999594
168,0.999594
169,0.999855
170,0.99893
171,0.999127
172,0.999715
173,0.999226
174,0.999226
175,0.999207
176,0.998684
177,0.999069
178,0.999069
179,0.999177
180,0.99987
181,0.999393
182,0.999251
183,0.999363
184,0.998893
185,0.999393
186,0.99916
187,0.999353
188,0.999353
189,0.999353
190,0.999418
191,0.999622
192,0.999622
193,0.999622
194,0.999352
195,0.999085
196,0.998667
197,0.998667
198,0.999386
199,0.999309
200,0.99986
201,0.99986
202,0.999502
203,0.999502
204,0.999502
205,0.999647
206,0.999205
207,0.999205
208,0.999205
209,0.999417
210,0.999588
211,0.999588
212,0.999331
213,0.998739
214,0.999137
215,0.998947
216,0.998947
217,0.999075
218,0.999075
219,0.99953
220,0.99953
221,0.999213
222,0.99911
223,0.999558
224,0.999334
225,0.999488
226,0.999488
227,1.00007
228,1.00007
229,0.999553
230,0.999553
231,0.999453
232,0.999052
233,0.999209
234,0.99883
235,0.998809
236,0.999235
237,0.999571
238,0.999088
239,0.999313
240,0.999596
241,0.999285
242,0.999179
243,0.99919
244,0.999032
245,0.999032
246,0.998874
247,0.999237
248,0.999199
249,0.999199
250,0.998961
251,0.999307
252,0.999106
253,0.9991
254,0.998829
255,0.998539
256,0.998864
257,0.999098
258,0.999213
259,0.999213
260,0.999625
261,0.999625
262,0.999625
263,0.999263
264,0.999516
265,0.999516
266,0.999516
267,0.999132
268,0.999024
269,0.998221
270,0.999071
271,0.999758
272,0.999758
273,0.999829
274,0.999447
275,0.999189
276,0.999312
277,0.999518
278,0.99892
279,0.998986
280,0.99899
281,0.999434
282,0.999743
283,0.999743
284,0.999104
285,0.999639
286,0.99916
287,0.999475
288,0.999302
289,0.999216
290,0.999293
291,0.999592
292,0.99913
293,0.999288
294,0.999288
295,0.999417
296,0.999417
297,0.999417
298,0.999358
299,0.999721
300,0.999721
301,0.999721
302,0.999721
303,0.999452
304,0.999452
305,0.999452
306,0.999452
307,0.999358
308,0.999262
309,0.99934
310,0.99934
311,0.99934
312,0.999391
313,0.999116
314,0.999215
315,0.999215
316,0.999133
317,0.99895
318,0.999091
319,0.99913
320,0.999058
321,0.999054
322,0.999226
323,0.999097
324,0.999141
325,0.999586
326,0.999181
327,0.999563
328,0.999173
329,0.999453
330,1.00035
331,0.999581
332,0.999849
333,0.999324
334,0.999539
335,0.999345
336,0.999345
337,0.998882
338,0.999114
339,0.999104
340,0.998665
341,0.998665
342,0.999178
343,0.999351
344,0.999237
345,0.999237
346,0.999237
347,0.999054
348,0.999417
349,0.999464
350,0.999257
351,0.999605
352,0.999402
353,0.999428
354,0.999428
355,0.999428
356,0.999005
357,0.999015
358,0.999406
359,0.998563
360,0.999136
361,0.999091
362,0.999112
363,0.99964
364,0.999777
365,0.99972
366,0.999697
367,0.999562
368,0.999402
369,0.999402
370,0.999092
371,0.999212
372,0.999141
373,0.999566
374,0.998784
375,0.999358
376,0.999594
377,0.999542
378,0.999674
379,0.999024
380,0.998615
381,0.999004
382,0.999254
383,0.999734
384,0.999748
385,0.999191
386,0.999191
387,0.999191
388,0.999436
389,0.999436
390,0.999266
391,0.999384
392,0.999103
393,0.998997
394,0.999082
395,0.999082
396,0.999141
397,0.999077
398,0.999118
399,0.999561
400,0.999065
401,0.999554
402,0.999326
403,0.999608
404,0.999608
405,0.999693
406,0.999503
407,0.999703
408,0.99961
409,0.999863
410,0.999421
411,0.999442
412,0.999019
413,0.999086
414,0.998752
415,0.999217
416,0.998819
417,0.999044
418,0.999831
419,0.999831
420,0.99953
421,0.999619
422,0.999838
423,0.999821
424,0.999821
425,0.999272
426,0.999258
427,0.999507
428,0.998799
429,0.999199
430,0.999419
431,0.998839
432,0.999097
