MDTU,S_F
1,0.976898
2,0.999473
3,1.00011
4,1.00065
5,1.00046
6,0.999885
7,1.00036
8,1.0003
9,1.00009
10,1.00009
11,1.00017
12,0.999843
13,1.0002
14,0.999917
15,0.999439
16,0.999866
17,0.999916
18,0.999824
19,1.00025
20,1.00018
21,0.999962
22,0.999946
23,1.00008
24,1.00023
25,1.00007
26,0.999993
27,1.00014
28,0.999914
29,1.00009
30,0.999945
31,1.00013
32,0.999874
33,0.999878
34,1.00013
35,1.00009
36,1.00015
37,1.00035
38,0.99975
39,1.00001
40,0.999939
41,0.999809
42,1.00029
43,1.00022
44,0.999932
45,1.00022
46,0.999893
47,0.999968
48,0.999922
49,1.00004
50,0.999973
51,1.00004
52,0.999818
53,1.00024
54,0.999774
55,1.00015
56,1.00016
57,1.00004
58,0.99994
59,0.999986
60,0.999921
61,1.00022
62,1.00018
63,1.00004
64,0.999863
65,0.999671
66,1.00013
67,1.00009
68,1.0002
69,1.00003
70,0.999994
71,0.999916
72,0.999801
73,1.00007
74,0.999872
75,0.999821
76,0.999923
77,0.999943
78,1.00017
79,0.999853
80,1.00016
81,1.00006
82,1.00007
83,1.00013
84,0.999998
85,1.00024
86,0.999719
87,1.00012
88,1.00007
89,0.999871
90,0.99998
91,0.999732
92,0.999994
93,0.999754
94,1.00008
95,1.00029
96,0.999729
97,1.00014
98,0.999992
99,0.999864
100,0.999945
101,1.00008
102,1.00003
103,1.00019
104,0.999836
105,0.999897
106,1.00008
107,1.00032
108,1.00003
109,0.999732
110,0.999809
111,0.999955
112,0.999861
113,0.999846
114,0.999872
115,1.00006
116,0.99988
117,1
118,0.999701
119,0.99987
120,1.00001
121,1.00016
122,1.00037
123,0.999998
124,1.00006
125,1.00009
126,1.0003
127,1.00026
128,0.999762
129,0.99957
130,0.999968
131,0.999988
132,0.999987
133,0.999933
134,1.00023
135,1.00026
136,0.999845
137,1.00002
138,0.999622
139,1.00004
140,0.99983
141,1.00008
142,0.999894
143,0.999952
144,0.999792
145,1.0001
146,1.00002
147,1.00012
148,0.999835
149,0.999918
150,0.999921
151,0.999827
152,1.00017
153,1.00016
154,0.999926
155,1.00015
156,0.999942
157,1.00005
158,0.999988
159,1.00011
160,0.999911
161,1.00004
162,0.999967
163,0.999934
164,0.999722
165,1.00019
166,1.00008
167,1.00014
168,0.999978
169,0.999934
170,1.00007
171,1.00005
172,1.00002
173,1.00021
174,1.00031
175,0.999867
176,0.999679
177,0.999975
178,1.00012
179,0.99974
180,0.999993
181,1.00014
182,0.999837
183,1.00007
184,1.00007
185,0.999976
186,0.999736
187,0.999679
188,0.99967
189,0.999852
190,1.00007
191,1.00019
192,1.00005
193,1.00027
194,0.999952
195,0.999953
196,0.999909
197,1.00003
198,1.00024
199,1.00013
200,1.00007
201,0.999887
202,1.00008
203,0.999978
204,1.00012
205,0.999931
206,0.999897
207,0.999853
208,0.999898
209,1.00009
210,1.00009
211,0.999733
212,1.00038
213,1.00009
214,0.999794
215,1
216,0.999853
217,1.00004
218,0.999627
219,0.999882
220,1.00001
221,1.00032
222,1.0001
223,0.999769
224,1.00024
225,0.99994
226,1.00013
227,0.999988
228,0.999958
229,0.999759
230,1.00005
231,0.999849
232,0.999782
233,0.999963
234,0.999967
235,1.00022
236,1.00013
237,0.999904
238,1.0001
239,0.999888
240,0.99989
241,1.00016
242,0.999894
243,1.00007
244,0.99962
245,1.00018
246,0.999983
247,1.00007
248,1.00014
249,0.999748
250,1.00011
251,1.00005
252,1.00041
253,1.00012
254,0.999948
255,0.999787
256,0.999465
257,0.999728
258,1.00019
259,0.999548
260,1.00011
261,1.00017
262,1.00006
263,1.00008
264,1.00005
265,1.00005
266,0.999658
267,0.999923
268,0.999839
269,0.999759
270,0.99953
271,0.999999
272,1.00013
273,1.00007
274,0.999672
275,1.00024
276,0.999785
277,0.999968
278,0.999833
279,1.00035
280,1.00011
281,1.00019
282,0.999972
283,0.999753
284,1.00019
285,0.99969
286,1.00004
287,0.999893
288,0.999788
289,1.00026
290,0.999945
291,1.00009
292,1.00023
293,0.999954
294,0.999872
295,1.00029
296,1.00021
297,0.999962
298,1.00011
299,0.999573
300,0.99983
301,1
302,0.999915
303,1
304,1.0002
305,1.00005
306,1.00004
307,1.0003
308,1.00008
309,0.999898
310,1.00022
311,1.00005
312,0.99985
313,1.0001
314,0.999939
315,1.00011
316,0.999945
317,0.999768
318,1.00038
319,1.0001
320,0.999761
321,0.999811
322,0.999928
323,0.999945
324,1.00035
325,1.00005
326,1.00003
327,1.00041
328,1.00015
329,1.00016
330,0.999772
331,1.00003
332,1.00006
333,0.999908
334,1.00006
335,0.999792
336,1.0002
337,1.00004
338,0.999847
339,1.00006
340,1.00002
341,0.999998
342,1.00006
343,1.00016
344,1.00001
345,1.00003
346,1.00032
347,1.00005
348,1.00004
349,1.00005
350,1.00004
351,1.00009
352,1.00029
353,1.00001
354,0.999886
355,1.00032
356,0.999799
357,0.99993
358,1.00001
359,0.999891
360,1.00009
361,1.00001
362,1.00003
363,0.999855
364,1.00037
365,1.00024
366,1.00004
367,1.00017
368,1.00011
369,1.0001
370,1.00018
371,1.00014
372,1.0002
373,0.999943
374,1.0004
375,1.00005
376,1.00012
377,1.00013
378,1.00014
379,1.00003
380,0.999912
381,0.999793
382,1.00011
383,0.99988
384,1.00003
385,0.999844
386,0.999663
387,1.00037
388,0.999751
389,1.0002
390,0.999941
391,0.999987
392,1.00027
393,0.999869
394,1.00006
395,0.999859
396,1.00021
397,0.999999
398,0.999976
399,0.999913
400,1.00019
401,0.999804
402,0.999874
403,0.99995
404,1.00001
405,1.00027
406,1.0001
407,1.00004
408,0.999777
409,1.00001
410,0.999851
411,1.00005
412,0.999993
413,1.00002
414,1.00008
415,0.999834
416,1.00041
417,1.00016
418,0.999906
419,1.00002
420,1.00013
421,0.99981
422,0.999933
423,1.00008
424,1.00018
425,1.00004
426,1.00001
427,1.00007
428,1.00035
429,0.999923
430,1.0001
431,1.00001
432,0.999799
433,0.999737
434,0.999914
435,1.00009
436,1.00018
437,1.00018
438,1.00037
439,1.00007
440,0.999834
441,1.00008
442,1.00006
443,1.00003
444,1.00021
445,1.00036
446,0.999917
447,0.999903
448,0.999997
449,0.999915
450,1.00022
451,1.00017
452,1.00018
453,1.00003
454,1.00016
455,1.0001
456,1.00004
457,1.00002
458,1.00011
459,1.00003
460,0.999885
461,0.999862
462,1.00007
463,0.9999
464,0.999961
465,1.00001
466,1.00001
467,0.999825
468,0.999842
469,0.999963
470,0.999774
471,1.00028
472,1.00012
473,1.00026
474,0.999674
475,1.00033
476,0.999889
477,0.999611
478,0.999984
479,0.999921
480,0.999947
481,0.999846
482,1.00037
483,1.00015
484,0.999839
485,0.999873
486,1.00015
487,1.00006
488,1.00002
489,1.00014
490,0.999936
491,0.999785
492,0.999828
493,0.999791
494,0.999872
495,0.999881
496,0.999962
497,1.00009
498,1.00012
499,1.00027
500,0.999774
501,0.999857
502,0.999946
503,0.999742
