t,|deltaS|
1,329
2,28.16
3,17.57
4,7.387
5,3.441
6,2.191
7,1.836
8,0.518
9,0.7671
10,0.3878
11,0.9675
12,0.3152
13,0.4465
14,0.09662
15,0.6067
16,0.5277
17,0.1106
18,0.2472
19,0.3685
20,0.3756
21,1.029
22,0.2871
23,0.125
24,0.2496
25,0.2682
26,0.1441
27,0.4088
28,0.4981
29,0.09338
30,0.6618
31,0.199
32,0.6491
33,0.3247
34,1.238
35,1.469
36,0.5067
37,0.2293
38,0.5131
39,0.2116
40,0.05158
41,0.6037
42,0.1807
43,0.7062
44,0.2506
45,0.07257
46,0.4226
47,0.3963
48,0.7719
49,0.06224
50,0.7212
51,0.2409
52,0.6142
53,0.1449
54,0.3289
55,0.09113
56,0.5667
57,0.7841
58,0.1432
59,0.03621
60,1.03
61,0.04838
62,1.238
63,0.3995
64,0.2279
65,0.843
66,0.06584
67,0.5815
68,1.262
69,1.051
70,0.8198
71,0.5075
72,0.5417
73,0.0004741
74,0.7277
75,0.05397
76,0.5974
77,0.3157
78,0.1783
79,0.03589
80,0.3862
81,0.1985
82,0.3952
83,0.2009
84,0.5627
85,0.9591
86,0.9113
87,0.2882
88,0.8508
89,0.951
90,1.056
91,1.441
92,0.418
93,0.8809
94,1.204
95,0.8777
96,0.2455
97,1.36
98,1.295
99,0.8665
100,0.6062
101,0.2447
102,0.1663
103,0.9923
104,1.075
105,0.9543
106,0.8585
107,0.05122
108,0.8713
109,0.7613
110,0.8465
111,0.1836
112,0.2719
113,0.7663
114,0.804
115,0.235
116,0.7776
117,0.2985
118,0.5061
119,0.532
120,0.1241
121,1.444
122,1.158
123,0.1711
124,0.4805
125,0.9618
126,0.6589
127,0.1018
128,0.2544
129,0.4364
130,0.4496
131,0.3127
132,0.3224
133,0.657
134,0.112
135,0.5126
136,0.5196
137,0.1128
138,0.02281
139,0.465
140,0.8036
141,0.5883
142,0.943
143,0.2911
144,0.6614
145,0.00702
146,0.4805
147,0.2103
148,0.5387
149,0.169
150,0.01371
151,1.015
152,0.1182
153,0.6202
154,0.2643
155,0.4762
156,0.8218
157,0.2704
158,0.001603
159,0.03102
160,0.6733
161,0.2212
162,0.4803
163,0.2384
164,0.4537
165,0.555
166,1.043
167,0.8517
168,1.257
169,0.3059
170,0.5317
171,0.07774
172,0.6221
173,0.6114
174,0.4853
175,0.2039
176,0.4838
177,0.5989
178,0.7666
179,0.1468
180,0.1452
181,0.4752
182,0.1156
183,0.6466
184,0.03788
185,0.6284
186,0.474
187,0.04463
188,0.8207
189,0.4623
190,1.157
191,0.8245
192,1.004
193,0.9535
194,1.307
195,0.02189
196,0.63
197,0.6055
198,0.2585
199,0.357
