MDTU,0,2,4,6,8,10
10,40.0334,35.7409,29.3236,28.461,28.4286,28.2793
20,33.3586,31.9269,31.5211,29.8782,29.7605,29.3404
30,35.2183,31.1195,30.4563,29.8725,29.6333,28.8438
40,32.4981,30.2231,30.196,30.0747,30.0029,29.9247
50,33.4091,32.2454,31.5445,30.3822,29.3703,29.322
60,33.6123,30.8387,30.3923,30.2765,30.0281,29.9957
70,31.2528,30.6184,30.4069,30.1045,29.6023,29.5185
80,32.2135,31.7519,31.2027,30.6759,30.139,29.8616
90,33.7799,33.7145,30.6109,29.2013,28.6873,28.5616
100,34.4475,34.406,33.6226,32.2369,30.6064,29.9614
110,32.4346,31.1243,30.0483,29.537,29.3111,29.2346
120,35.7464,31.7418,31.0358,30.8339,30.6969,30.4509
130,33.0052,31.9417,31.3299,30.3769,29.9916,29.8727
140,39.2616,33.7019,32.6011,32.4653,30.1297,29.9224
150,33.346,31.5699,31.2829,30.5488,29.3209,29.2596
160,34.3967,31.7101,30.1122,29.6803,29.5927,29.3583
170,32.0625,29.7112,29.691,29.6695,29.4601,29.3143
180,31.6137,31.2981,30.6291,30.0567,29.9947,29.4887
190,34.4424,32.5162,31.8137,31.679,30.2237,30.0159
200,32.8949,31.6849,31.1089,30.1398,28.9958,28.9647
210,36.3149,33.8943,31.3152,30.9061,30.4182,29.6001
220,33.5442,32.7916,30.4275,30.4226,30.3259,30.1939
230,36.3111,33.8433,32.2383,30.7466,29.9464,29.4921
240,32.0737,31.0716,29.5102,28.9604,28.7143,28.6248
250,30.7034,29.7219,29.3474,29.2412,29.2021,29.0389
260,32.9976,32.7282,30.4114,29.9534,29.7534,29.5013
270,37.3443,33.0192,30.9267,30.2902,30.0853,29.9872
280,32.2615,31.8505,31.791,31.6781,31.6395,31.2725
290,32.0848,31.0754,30.9482,29.8716,29.6628,28.8513
300,33.9784,32.0974,30.5456,30.5107,30.156,29.9491
310,35.0207,32.8273,32.0437,30.5833,30.507,30.1288
320,30.9095,30.2883,29.7508,29.6562,28.8917,28.7686
330,35.5989,30.4971,30.3464,30.2493,30.0368,29.9421
340,30.9349,30.9014,30.5026,29.9792,29.4643,29.347
350,33.771,31.8832,31.1549,30.7384,30.3904,30.0618
360,31.8214,31.6092,30.4752,29.9553,29.9221,29.7144
370,30.8475,29.7901,29.1193,28.8541,28.8469,28.5311
380,31.9574,31.3196,31.1558,30.9822,30.7347,30.0371
390,34.7047,32.9163,31.6299,31.0818,30.3282,29.6033
400,32.6247,30.9474,30.9304,29.7786,29.394,29.2823
410,33.3598,31.5267,31.3808,31.1155,30.8919,30.1933
420,33.4012,32.3988,32.2938,30.4087,29.6322,29.5054
430,37.1661,36.0569,34.0852,31.6416,31.5035,31.3829
440,31.8284,31.0509,30.354,29.1249,28.8524,28.8439
450,37.7623,33.0642,30.3809,29.9107,29.83,29.2118
460,32.7191,32.6243,30.927,30.4715,30.0468,29.7376
470,35.3207,31.3043,30.9166,30.8737,30.379,29.7223
480,31.4367,31.34,28.8497,28.5578,28.3502,28.3326
490,30.9482,30.7027,29.9409,29.7708,29.6397,29.4818
500,33.3353,32.1118,30.7917,30.3866,30.2148,29.8272
510,32.1378,31.2036,30.9995,30.8864,29.998,29.8639
520,32.3678,31.656,30.0578,30.0302,29.9889,29.9214
530,32.0376,31.0988,29.6695,29.6152,29.576,29.521
540,39.8147,35.0142,32.9324,32.3348,30.8304,30.568
550,34.5139,33.5753,32.4073,31.8758,31.5211,31.0353
560,30.5503,29.7644,29.4508,29.2158,29.1676,28.6756
570,31.1924,31.12,30.2481,29.3716,29.2942,28.9099
580,33.5049,31.7811,31.0924,30.0266,29.6763,29.6646
590,32.4422,32.4251,31.3004,30.3142,29.8894,29.4104
600,35.1351,34.5387,31.1378,31.0938,30.4612,29.8965
610,35.4147,32.4134,31.2318,29.9091,29.8946,29.5349
620,32.8205,32.2985,30.1201,29.9674,29.8975,29.6021
630,31.7447,31.5475,30.3311,29.8253,29.7798,29.4912
640,34.4465,33.1367,30.8319,30.2001,29.933,29.9166
650,41.2836,31.3776,29.9704,29.1888,28.968,28.7425
660,35.3188,31.518,30.308,30.0363,29.7332,29.3245
670,32.3875,31.0006,30.8595,30.1881,29.7929,29.4493
680,31.203,30.9242,30.569,30.3938,30.3668,29.8889
690,34.4909,31.6592,31.5992,30.8236,30.8007,30.4438
700,39.2869,34.3826,29.7889,29.3078,29.2701,29.1947
710,37.6243,31.6366,30.4429,29.7811,29.6284,29.473
720,31.1718,31.0369,30.3139,29.8682,29.5491,29.3537
730,33.4307,32.3765,31.577,31.2373,30.5707,30.4779
740,33.9129,31.7005,31.1116,30.6643,30.6457,30.6316
750,31.8633,31.4675,31.0862,30.9213,29.9542,29.8576
760,30.9105,30.7488,30.7032,29.8413,29.7895,29.5937
770,30.9449,30.7146,30.5394,30.3913,29.8212,29.8076
780,33.1217,32.9051,31.3461,30.8166,29.54,29.1997
790,34.7532,30.5958,30.3325,29.7441,29.6972,28.8759
800,33.2443,32.9214,32.2645,31.5901,31.0897,31.034
810,30.0326,29.8914,28.9958,28.9942,28.9864,28.9622
820,36.2133,33.56,31.0816,30.8027,29.7295,29.3506
830,31.1515,30.7776,30.0144,29.8702,29.728,29.5188
840,32.2189,31.5889,30.6096,30.0085,29.9583,29.1131
850,32.4413,31.9837,31.3838,31.1453,30.6529,30.1496
860,29.2014,28.8068,28.8021,28.7093,28.4786,28.4074
870,31.4093,30.9843,30.5651,29.9576,29.7766,28.9352
880,33.5648,33.4798,33.4012,33.2611,30.9058,30.7758
890,32.8533,32.2586,31.7145,31.2831,30.4027,30.1798
900,34.442,31.7489,31.5762,31.4779,31.2985,31.0873
