MDTU,susyTrans,Im(bilin)
10,-0.010082,-0.00023595
20,-0.0121527,0.000912957
30,-0.00851658,0.00222105
40,-0.0152149,0.00126277
50,-0.00820492,0.000617876
60,-0.010715,3.16843e-05
70,-0.0127425,0.00106021
80,-0.00968529,-0.0038385
90,-0.00803153,0.000712168
100,-0.00928667,-0.000220327
110,-0.0131762,-0.000723997
120,-0.012593,0.00182255
130,-0.0074314,-0.00107445
140,-0.0137388,0.00278547
150,-0.0125708,-0.0016732
160,-0.0146464,-0.000113302
170,-0.014962,-0.000747685
180,-0.0142636,0.00376247
190,-0.0112197,0.00145061
200,-0.00462815,-0.000218792
210,-0.0102906,-0.000774604
220,-0.0126973,0.00264366
230,-0.0130661,-0.00019279
240,-0.00558822,-0.00152774
250,-0.0172554,-0.000489737
260,-0.00820637,0.000707975
270,-0.0116824,-0.00166802
280,-0.00955009,0.000355464
290,-0.0109495,-0.00152881
300,-0.0120787,-1.35934e-05
310,-0.00862382,0.000349202
320,-0.00560344,-0.00178347
330,-0.00363421,-0.00260209
340,-0.00457824,0.00252314
350,-0.00676689,-0.000997523
360,-0.0133523,-0.00128411
370,-0.0128051,0.00253825
380,-0.0107899,0.000802429
390,-0.00792854,0.0018709
400,-0.0156562,-0.00225397
410,-0.0103742,0.000849058
420,-0.0135821,-0.00185226
430,-0.00901467,0.0018492
440,-0.0134017,-0.00388547
450,-0.0130487,-0.00345449
460,-0.00999583,-0.000876088
470,-0.00173443,-0.00140796
480,-0.00911374,0.00020054
490,-0.0139464,0.00116752
500,-0.0129846,-0.00274193
510,-0.0143648,0.00163672
520,-0.0134691,0.000730371
530,-0.00999312,-0.0018292
540,-0.010875,-0.000363026
550,-0.00840017,-0.00162244
560,-0.00489376,-0.00124158
570,-0.00637902,-0.000448516
580,-0.0124246,0.000781535
590,-0.00756849,-7.47374e-05
600,-0.00342093,-0.000224749
610,-0.00649937,-0.00156358
620,-0.00662675,0.00560882
630,-0.0153293,-0.00129327
640,-0.00557266,0.00126828
650,-0.00865142,-0.000456496
660,-0.010352,-0.00156427
670,-0.00973841,-0.000825511
680,-0.00838203,-0.0024474
690,-0.00985527,0.00243837
700,-0.0142462,-0.00185607
710,-0.00975354,0.00215489
720,-0.00980426,0.000184365
730,-0.0105019,0.00163638
740,-0.00652203,-0.000792782
750,-0.00859204,0.00113814
760,-0.0120392,-0.00200207
770,-0.0141491,0.00245954
780,-0.0155746,-4.75399e-05
790,-0.0124306,-0.00148758
800,-0.015037,-0.00497725
810,-0.0200323,0.000768292
820,-0.00911434,0.000770413
830,-0.0138388,-0.000463472
840,-0.00874005,-0.00178168
850,-0.0105423,0.00293599
860,-0.0113752,0.00018411
870,-0.0148367,0.00487656
880,-0.00814916,0.000138946
890,-0.00717482,0.00198749
900,-0.00740771,0.00340177
910,-0.00426271,-2.59272e-05
920,-0.00993801,-0.00200561
930,-0.0142261,0.000517484
940,-0.00946222,-8.9496e-05
950,-0.007126,0.00181811
960,-0.013719,0.000343822
970,-0.0186023,-0.00279344
980,-0.0174392,0.000618887
990,-0.0120544,-0.000922991
1000,-0.0076979,0.0014316
1010,-0.0107188,0.000331127
1020,-0.00874985,-0.00172928
1030,-0.00778058,-0.00317797
1040,-0.00721239,-0.00157579
1050,-0.012493,0.00100335
1060,-0.0112277,-0.00297146
1070,-0.00825922,-0.000169306
1075,-0.0113085,-0.0046094
1080,-0.0110222,0.00160885
1085,-0.0151729,-0.00259192
