t,cg_iters
1,62433
2,69073
3,70275
4,69398
5,68239
6,67870
7,67925
8,66591
9,64398
10,64903
11,65656
12,66394
13,66178
14,64345
15,64447
16,63569
17,63764
18,65246
19,66570
20,66645
21,65725
22,66104
23,67177
24,66434
25,66504
26,66520
27,65771
28,68464
29,66467
30,66260
31,65672
32,65669
33,66522
34,65724
35,65684
36,66948
37,66514
38,66506
39,66408
40,66146
41,66813
42,66844
43,69292
44,68674
45,66671
46,67420
47,69406
48,71591
49,73171
50,75180
51,74442
52,75962
53,76506
54,78849
55,76631
56,78188
57,77470
58,76286
59,74728
60,76785
61,75446
62,78122
63,77992
64,82033
65,82057
66,82513
67,80908
68,81323
69,79728
70,79946
71,79072
72,75834
73,77329
74,75783
75,74723
76,74850
77,75404
78,72708
79,73173
80,74036
81,75597
82,73677
83,72848
84,72644
85,71233
86,69373
87,72297
88,73537
89,73390
90,74787
91,75620
92,75148
93,76043
94,77057
95,76036
96,75753
97,75286
98,74729
99,75859
100,76365
101,76406
102,76610
103,77293
104,77659
105,78612
106,78768
107,78573
108,76895
109,76406
110,76276
111,77164
112,77992
113,77536
114,77489
115,77151
116,76115
117,76387
118,75727
119,75713
120,78323
121,79183
122,82534
123,77755
124,77406
125,77881
126,77289
127,76515
128,77062
129,76615
130,76997
131,77775
132,76612
133,78044
134,81837
135,80554
136,79507
137,80550
138,80208
139,79920
140,82403
141,82345
142,81005
143,82150
144,80701
145,81783
146,83239
147,81105
148,78354
149,76972
150,75676
151,77294
152,76696
153,75968
154,75523
155,76381
156,74188
157,72403
158,70760
159,69376
160,69707
161,70559
162,70468
163,69681
164,71731
165,74086
166,73024
167,72697
168,73895
169,74638
170,72994
171,73380
172,73173
173,75682
174,77827
175,77190
176,77218
177,76019
178,75759
179,77833
180,80016
181,80930
182,78911
183,79375
184,78487
185,77904
186,75205
187,76079
188,78011
189,76891
190,77370
191,78165
192,79668
193,78397
194,79415
195,80459
196,79397
197,78011
198,77042
199,75891
200,74297
201,74585
202,75290
203,76197
204,75007
205,75699
206,76084
207,75312
208,74089
209,73208
210,72642
211,75788
212,73169
213,72593
214,74500
215,75371
216,76867
217,76445
218,79069
219,78078
220,78176
221,78851
222,82515
223,84855
224,85190
225,86695
226,83828
227,83327
228,81623
229,82598
230,83822
231,81657
232,80316
233,81229
234,80467
235,80934
236,82279
237,80335
238,80750
239,81104
240,78846
241,77844
242,80612
243,82119
244,80882
245,80381
246,78851
247,78411
248,77054
249,75946
250,76243
251,77690
252,79618
253,80896
254,79000
255,78491
256,77618
257,76795
258,76086
259,80283
260,76849
261,76853
262,76054
263,78905
264,78801
265,79470
266,79711
267,81728
268,78771
269,79843
270,79407
271,78398
272,78422
273,77303
274,76804
275,76195
276,76819
277,78132
278,77300
279,76790
280,80768
281,82761
282,82903
283,81542
284,81655
285,82405
286,83553
287,86066
288,85007
289,82851
290,80733
291,80895
292,81821
293,81338
294,79675
295,80691
296,80192
297,80744
298,80590
299,81073
300,80705
301,79747
302,81077
303,81013
304,82012
305,79862
306,82819
307,81429
308,81608
309,79957
310,79710
311,77653
312,79832
313,80356
314,77551
315,77155
316,79864
317,81391
318,79125
319,77789
320,77262
321,77024
322,76205
323,75325
324,74594
325,74618
326,75003
327,75365
328,75699
329,74889
330,73980
331,74586
332,75000
333,75635
334,74061
335,72574
336,70465
337,71442
338,71607
339,72017
340,71952
341,72116
342,72328
343,73144
344,74622
345,73868
346,75212
347,74004
348,72049
349,72182
350,72504
351,73493
352,74812
353,75239
354,74342
355,75195
356,73963
357,74661
358,77592
359,79518
360,78053
361,78282
362,76637
363,77772
364,76593
365,76288
366,75742
367,75988
368,75169
369,74481
370,74584
371,76293
372,74410
373,74127
374,73466
375,75020
376,73235
377,74865
378,74764
379,75520
380,75795
381,74017
382,73858
383,74857
384,74102
385,74760
386,76644
387,76777
388,74160
389,74048
390,74933
391,75172
392,73871
393,74514
394,74538
395,75625
396,72678
397,71637
398,72323
399,73112
400,73256
401,73264
402,71857
403,70922
404,70356
405,70104
406,71527
407,70805
408,71658
409,74064
410,72831
411,71768
412,70553
413,72108
414,72012
415,72218
416,72426
417,72679
418,74307
419,74716
420,72756
421,74493
422,74148
423,72002
424,72499
425,73360
426,73352
427,73574
428,72587
429,71555
430,71606
431,73367
432,73871
433,72660
434,70300
435,72332
436,70648
437,71738
438,71701
439,70712
440,70826
441,71140
442,71704
443,72836
444,72184
445,73334
446,75124
447,75529
448,76482
449,74534
450,75066
451,74820
452,74034
453,74797
454,74880
455,75942
456,74755
457,73925
458,74137
459,75067
460,76673
461,75746
462,77656
463,76783
464,75688
465,73944
466,71937
467,70231
468,69897
469,67520
470,67224
471,66320
472,64807
473,63291
474,64007
475,63827
476,66285
477,66654
478,66513
479,66682
480,68685
481,67290
482,67499
483,67462
484,67223
485,65737
486,65268
487,65248
488,66005
489,66787
490,67196
491,66010
492,66958
493,66231
494,67629
495,67403
496,67746
497,68373
498,69739
499,70688
500,72329
501,73410
502,76152
503,74865
504,74679
505,73931
506,74597
507,74633
508,75529
509,75807
510,75108
511,75131
512,77936
513,76059
514,78845
515,79642
516,76553
517,75477
518,75892
519,72495
520,72266
521,72794
522,70834
523,70827
524,69110
525,68814
526,68842
527,68823
528,69467
529,69388
530,70046
531,71468
532,71861
533,72106
534,72277
535,72180
536,71350
537,70470
538,70529
539,72506
540,70738
541,71393
542,69762
543,71692
544,74045
545,72334
546,72279
547,73920
548,74935
549,75479
550,75527
551,77000
552,77440
553,77443
554,78328
555,78091
556,79804
557,78902
558,79796
559,78976
560,81159
561,81348
562,79663
563,81130
564,81476
565,79886
566,75483
567,71590
568,69842
569,68915
570,71976
571,73936
572,72892
573,74282
574,74526
575,75231
576,76817
577,76310
578,74469
579,75199
580,74242
581,75046
582,73199
583,73034
584,74694
585,74537
586,74425
587,72824
588,73329
589,73333
590,73054
591,72349
592,74882
593,74793
594,72970
595,73641
596,73284
597,75477
598,76884
599,76413
600,75669
601,76966
602,76375
603,75711
604,77448
605,78922
606,78410
607,78222
608,77262
609,76511
610,74524
611,75277
612,74002
613,73333
614,71575
615,73189
616,74220
617,71861
618,71632
619,73535
620,72880
621,73268
622,73062
623,74878
624,74620
625,73937
626,73012
627,72884
628,70770
629,71515
630,73018
631,73391
632,71765
633,70004
634,69974
635,68720
636,68653
637,68278
638,68448
639,69509
640,67588
641,66292
642,67668
643,66953
644,66744
645,67679
646,68081
647,68154
648,68842
649,69454
650,69017
651,68967
652,69851
653,68995
654,68606
655,67719
656,68943
657,69535
658,70772
659,72842
660,71410
661,70932
662,70877
663,70480
664,70925
665,70469
666,69834
667,68690
668,67955
669,67065
670,65175
671,64262
672,64293
673,63574
674,62508
675,62299
676,62174
677,62792
678,61561
679,62155
680,60879
681,61643
682,62610
683,62138
684,62264
685,62881
686,62377
687,63638
688,64010
689,64323
690,64694
691,64779
692,65343
693,66620
694,70560
695,71001
696,71123
697,69277
698,72015
699,70937
700,71998
701,73024
702,74057
