t,cond_num
10,16.5285
20,16.9597
30,16.6493
40,16.1818
50,17.7968
60,17.7994
70,19.3252
80,18.7263
90,17.8003
100,17.2891
110,15.9434
120,17.5421
130,17.1991
140,16.9507
150,16.1129
160,16.9758
170,16.7818
180,16.5883
190,16.6254
200,16.7967
210,17.1894
220,17.254
230,17.4933
240,17.1588
250,16.1751
260,16.8052
270,17.4623
280,18.2624
290,16.0403
300,16.8638
310,16.5385
320,16.7098
330,16.3404
340,16.1963
350,16.2896
360,16.4844
370,17.0741
380,17.7398
390,18.1818
400,17.2667
410,16.9384
420,18.1079
430,18.1135
440,17.1549
450,18.5509
460,17.1129
470,16.6804
480,16.3509
490,16.4122
500,16.9753
510,18.1181
520,17.8519
530,16.9098
540,16.5848
550,16.42
560,18.6637
570,17.2407
580,17.3772
590,17.7868
600,18.3198
610,17.6467
620,16.7963
630,16.1222
640,15.4146
650,15.6767
660,15.9753
670,15.5177
680,14.3678
690,14.7478
700,15.8896
710,16.0226
720,15.9229
730,16.5712
740,16.364
750,17.4281
760,16.2235
770,16.4849
780,15.7647
790,15.4803
800,15.1564
810,15.4695
820,15.6762
830,15.7098
840,15.9148
850,15.2351
860,16.5626
870,14.7506
880,15.0263
890,14.9319
900,15.535
910,15.6644
920,15.1714
930,15.5476
940,16.2328
950,15.0045
960,14.8437
970,15.1184
980,15.4168
990,16.1488
1000,16.0071
1010,17.4023
1020,18.3088
1030,17.7295
1040,18.3255
1050,16.9416
1060,16.8078
1070,17.9568
1075,17.626
1080,17.5087
1085,18.1413
1090,18.1351
1100,17.0565
1110,19.7065
1120,17.3836
1130,18.3469
1140,17.6214
1150,17.8203
1160,18.0743
1170,17.4501
1180,15.9077
1190,15.8133
1200,16.9637
1210,16.2225
1220,19.4498
1230,18.7615
1240,16.9848
1250,16.7324
1255,16.7856
1260,16.9861
1265,17.1685
1270,16.3539
1275,16.4002
1280,16.676
1285,17.6403
1290,17.5091
1295,16.468
1300,16.2863
1305,16.2863
1310,16.337
1315,16.6148
1320,16.6402
1325,15.7797
1330,15.6778
1335,15.8367
1340,17.1488
1345,16.7201
1350,17.5078
1355,17.0185
1360,17.3548
1365,16.2317
1370,16.6703
1375,17.5892
1380,17.853
1385,17.2239
1390,16.7353
1395,16.065
1400,15.5649
1405,16.1838
1410,17.3212
1415,16.7185
1420,15.921
1425,16.2801
1430,15.6882
1435,15.6772
1440,16.028
1445,16.1379
1450,15.6265
1455,15.8669
1460,15.5997
1465,16.4704
1470,16.7437
1475,16.4548
1480,17.016
1485,16.5818
1490,16.7193
1495,16.3877
1500,15.6174
1505,15.8023
1510,16.5042
1515,15.625
1520,16.7623
1525,16.0718
1530,16.7484
1535,16.1558
1540,15.934
1545,16.2792
1550,17.1906
1555,17.3439
1560,17.6424
1565,16.6301
1570,16.5962
1575,16.4559
1580,17.5213
1585,17.3726
1590,18.0402
1595,18.8152
1600,17.7622
1605,16.5493
1610,16.6697
1615,17.9995
1620,17.3385
1625,17.4166
1630,17.2117
1635,17.3703
1640,17.7986
1645,17.7172
1650,16.2744
1655,16.8753
1660,17.0119
1665,17.6875
1670,20.3742
1675,17.7856
1680,20.6724
1685,17.5419
1690,17.3919
1695,17.1994
1700,16.5154
1705,16.3776
1710,16.9397
1715,17.2353
1720,17.5898
1725,17.2726
1730,18.1975
1735,17.7288
1740,18.4554
1745,18.5304
1750,17.8779
1755,17.4533
1760,16.9289
1765,16.8431
1770,16.7492
1775,17.0467
1780,17.7079
1785,17.3379
1790,17.9376
1795,18.0743
1800,17.7294
1805,17.6342
1810,17.0246
1820,19.2646
1830,17.2168
1840,18.8661
1850,16.232
1860,15.6337
1870,16.4206
1880,16.8933
1890,16.9201
1900,16.4204
1910,15.4319
1920,15.1507
1930,15.6546
1940,15.5719
1950,14.7045
1960,14.1901
1970,15.2288
1980,16.0484
1990,18.5346
2000,17.8555
2010,17.4135
2020,17.1644
2030,16.8789
2040,16.9007
2050,15.8417
2060,16.4928
2070,16.4078
2080,15.8283
2090,16.2995
2100,15.8825
2110,17.0575
2120,17.4493
2130,16.5508
2140,15.7606
2150,16.2121
2160,17.4986
2170,16.9167
2180,16.5948
