MDTU,|det-1|^2,1-Re(det),Im(det)
1,1.79507,-0.26622,-0.00051292
2,1.70938,-0.15537,0.000195204
3,1.63542,-0.09466,7.169e-05
4,1.56731,-0.05148,0.000366405
5,1.52287,-0.02425,0.000432767
6,1.50597,-0.01001,0.000353456
7,1.49854,-0.00312,0.000451425
8,1.49849,0.00093,-0.000764549
9,1.49227,0.003048,-0.00062025
10,1.49568,0.003726,-0.000137977
11,1.50932,0.00325,0.00101657
12,1.50311,0.006989,0.000334807
13,1.51397,0.004756,0.000514476
14,1.51268,0.004215,-0.000149031
15,1.51268,0.004215,-0.000149031
16,1.51268,0.004215,-0.000149031
17,1.50233,0.005258,-0.000178584
18,1.50455,0.005842,-9.68024e-05
19,1.50727,0.00476,-0.000265522
20,1.51417,0.004782,-0.000127928
21,1.51273,0.003804,-6.51062e-06
22,1.51478,0.004527,0.000307014
23,1.51358,0.004784,0.000346923
24,1.52678,0.003048,0.000438184
25,1.52316,0.005253,-0.000270305
26,1.52137,0.00416,-0.000417336
27,1.52137,0.00416,-0.000417336
28,1.52137,0.00416,-0.000417336
29,1.52119,0.004743,0.000189465
30,1.53483,0.002758,-0.000252432
31,1.53676,0.004502,6.02007e-07
32,1.53676,0.004502,6.02007e-07
33,1.5383,0.002709,-0.000586942
34,1.5383,0.002709,-0.000586942
35,1.5383,0.002709,-0.000586942
36,1.52444,0.005461,-0.000228812
37,1.52574,0.004523,-0.000289033
38,1.52574,0.004523,-0.000289033
39,1.52309,0.005174,0.000423394
40,1.5167,0.006769,8.63744e-05
41,1.52144,0.002976,-0.000215681
42,1.51941,0.003298,-0.000318499
43,1.52182,0.00412,7.79601e-06
44,1.52118,0.004356,0.000565821
45,1.51699,0.006311,0.000223898
46,1.50308,0.007776,0.000532902
47,1.50984,0.007203,0.000496809
48,1.51376,0.004127,-0.000598412
49,1.5222,0.004078,0.000578578
50,1.52321,0.00376,-0.000582253
51,1.51567,0.005526,0.000751148
52,1.51567,0.005526,0.000751148
53,1.51691,0.005227,-0.000240156
54,1.51691,0.005227,-0.000240156
55,1.51782,0.004713,8.73879e-05
56,1.51782,0.004713,8.73879e-05
57,1.51782,0.004713,8.73879e-05
58,1.51782,0.004713,8.73879e-05
59,1.51427,0.004486,0.000176576
60,1.51427,0.004486,0.000176576
61,1.51428,0.005586,-0.0002933
62,1.51428,0.005586,-0.0002933
63,1.52148,0.006836,-0.000739035
64,1.51458,0.006799,-0.000177159
65,1.51458,0.006799,-0.000177159
66,1.52046,0.004439,-0.00029088
67,1.52421,0.004452,0.000246357
68,1.52421,0.004452,0.000246357
69,1.52407,0.004808,-0.00102439
70,1.52407,0.004808,-0.00102439
71,1.51262,0.006067,0.000694125
72,1.5056,0.006332,0.000475423
73,1.51645,0.006324,0.000410009
74,1.52139,0.00391,-0.000263873
75,1.52734,0.004503,0.000836531
76,1.52305,0.00275,0.000164995
77,1.51972,0.005379,-0.00114424
78,1.51839,0.003429,-0.000171543
79,1.52689,0.00342,-0.000656168
80,1.52662,0.00415,-0.000103333
81,1.52502,0.004725,0.000185889
82,1.51718,0.005103,0.000388468
83,1.51356,0.006357,-0.000168153
84,1.52652,0.004903,-2.49504e-05
85,1.50923,0.00728,-0.000214066
86,1.52553,0.004,0.000570322
87,1.525,0.002945,-0.000117792
88,1.53359,0.001203,0.000708937
89,1.51902,0.006159,0.000222131
90,1.51797,0.002947,0.000153473
91,1.50497,0.007506,5.05926e-05
92,1.51253,0.006426,2.33248e-05
93,1.51987,0.004834,7.69138e-05
94,1.51987,0.004834,7.69138e-05
95,1.50795,0.007732,7.14756e-05
96,1.50795,0.007732,7.14756e-05
97,1.50795,0.007732,7.14756e-05
98,1.52875,0.003678,0.000879913
99,1.51419,0.005178,0.0003337
100,1.51828,0.004058,-0.000172781
101,1.51686,0.002154,6.1588e-06
102,1.50889,0.003418,0.000312965
103,1.50889,0.003418,0.000312965
104,1.50604,0.00524,0.000381176
105,1.52384,0.004436,0.000383849
106,1.52384,0.004436,0.000383849
107,1.52166,0.004334,0.000263324
108,1.50911,0.005983,0.000618953
109,1.52181,0.004413,-0.000754481
110,1.5222,0.005338,-0.000389485
111,1.51191,0.007676,-0.000364257
112,1.51718,0.006857,-0.000231835
113,1.52294,0.003713,-0.000249738
114,1.52307,0.004577,0.00019261
115,1.51533,0.006002,0.000249113
116,1.53142,0.004764,0.00061057
117,1.52751,0.004037,-0.000391201
118,1.52751,0.004037,-0.000391201
119,1.52645,0.004073,0.000365855
120,1.52741,0.004805,0.000310616
121,1.52741,0.004805,0.000310616
122,1.52741,0.004805,0.000310616
123,1.54068,0.003949,7.91061e-05
124,1.53323,0.004582,-0.000398686
125,1.5338,0.004629,0.000419983
126,1.52436,0.005992,-0.0005202
127,1.52706,0.00654,0.000253728
128,1.52706,0.00654,0.000253728
129,1.53464,0.006317,-0.000518416
130,1.52298,0.003759,5.63693e-05
131,1.5237,0.004243,-3.76318e-05
132,1.5237,0.004243,-3.76318e-05
133,1.53462,0.003938,0.000216309
134,1.536,0.001817,0.000131941
135,1.52282,0.003261,0.00118497
136,1.52282,0.003261,0.00118497
