MDTU,0,2,4,6,8,10
10,2.65575e-06,6.87929e-06,0.00232771,0.00253159,0.00257616,0.00270636
20,1.43785e-06,1.2934e-05,0.00233315,0.00238826,0.00258781,0.00273228
30,2.07041e-06,1.42215e-05,0.00223073,0.00237148,0.00247144,0.00252492
40,3.04917e-06,2.32486e-05,0.00188137,0.00218867,0.00234923,0.00237442
50,6.23448e-07,1.18199e-05,0.00185522,0.00204236,0.00211857,0.00224772
60,6.25615e-07,1.78974e-05,0.00179082,0.00195013,0.00204763,0.00229077
70,1.26491e-07,1.34285e-05,0.00192913,0.00208392,0.00228509,0.00239853
80,2.37307e-07,1.21448e-05,0.00208029,0.00230776,0.00237144,0.00244979
90,6.28177e-07,1.15868e-05,0.00183786,0.00199454,0.00218174,0.0023444
100,1.06806e-06,5.44932e-06,0.00168626,0.00191371,0.00209607,0.0022706
110,3.86261e-06,6.00498e-06,0.00157779,0.00177055,0.00188112,0.00214149
120,8.60625e-07,7.19273e-06,0.00170235,0.00182621,0.00195451,0.00210599
130,1.11969e-06,6.42019e-06,0.0016997,0.00203,0.00215281,0.00223351
140,1.70754e-06,6.30849e-06,0.00135714,0.00162731,0.00178862,0.00185998
150,3.35188e-06,6.68613e-06,0.00155269,0.00167009,0.00194879,0.00204703
160,1.45888e-06,1.26701e-05,0.00201359,0.0021344,0.00222391,0.00238954
170,1.65108e-06,6.42832e-06,0.00186326,0.00204447,0.00224206,0.00231148
180,1.97555e-06,4.29611e-06,0.00155481,0.00163689,0.00189248,0.00204439
190,2.07376e-06,6.24149e-06,0.00152443,0.00167241,0.00196985,0.00210183
200,1.66892e-06,8.82264e-06,0.00166499,0.00176348,0.00220464,0.00229762
210,1.24398e-06,1.36448e-05,0.00173884,0.00189049,0.0020723,0.0022155
220,1.07722e-06,1.3058e-05,0.00160893,0.00172739,0.00196115,0.00214653
230,9.17856e-07,9.62236e-06,0.0013688,0.00158984,0.00176939,0.00195772
240,1.13281e-06,1.17019e-05,0.00156291,0.00168762,0.00195225,0.00208063
