t,e^(-dS)
1,7.63633e+142
2,1.6972e+12
3,4.27124e+07
4,1614.85
5,31.2182
6,8.94415
7,6.2714
8,1.67867
9,2.15351
10,1.47374
11,2.63136
12,1.37053
13,1.56283
14,0.907901
15,0.545147
16,0.58996
17,0.895297
18,0.780984
19,1.44556
20,0.686877
21,2.79827
22,0.750437
23,1.13315
24,0.779112
25,1.30761
26,0.865801
27,0.664447
28,0.607684
29,1.09788
30,1.93828
31,1.22018
32,0.522516
33,1.38362
34,0.289964
35,0.230156
36,0.60248
37,0.79509
38,0.598637
39,1.23565
40,0.949728
41,1.82887
42,1.19806
43,0.493516
44,0.778334
45,1.07527
46,0.655341
47,1.48632
48,2.16387
49,1.06422
50,2.0569
51,0.78592
52,0.541074
53,0.865109
54,0.719715
55,1.09541
56,0.567395
57,0.45653
58,0.866581
59,0.964438
60,0.357007
61,0.952772
62,0.289964
63,0.670655
64,1.25596
65,0.430417
66,0.936281
67,1.78872
68,0.283087
69,0.349588
70,0.44052
71,0.601999
72,0.581758
73,0.999526
74,2.07031
75,0.947461
76,1.81739
77,0.729278
78,1.19518
79,1.03654
80,0.679635
81,0.81996
82,0.673545
83,0.817994
84,1.75541
85,0.383238
86,2.48755
87,1.33402
88,2.34152
89,0.386354
90,2.87485
91,0.236691
92,1.51892
93,2.41307
94,0.299992
95,0.415738
96,0.782313
97,0.256661
98,3.651
99,0.42042
100,1.83345
101,0.782939
102,0.846792
103,0.370723
104,0.341298
105,2.59685
106,0.423797
107,1.05255
108,0.418407
109,2.14106
110,2.33147
111,0.832269
112,1.31246
113,2.15179
114,0.447535
115,1.26491
116,2.17624
117,1.34784
118,0.602842
119,1.70233
120,1.13213
121,0.235982
122,0.314114
123,1.18661
124,0.618474
125,0.382204
126,1.93267
127,1.10716
128,0.775382
129,0.646359
130,1.56768
131,0.731469
132,0.724408
133,1.929
134,1.11851
135,0.598936
136,0.594758
137,1.11941
138,0.977448
139,1.59201
140,0.447714
141,0.55527
142,0.389458
143,0.747441
144,0.516128
145,1.00704
146,1.61688
147,1.23405
148,1.71378
149,1.18412
150,1.0138
151,0.362402
152,1.12547
153,0.537837
154,1.30252
155,0.621139
156,0.43964
157,0.763074
158,0.998398
159,1.03151
160,0.510023
161,1.24757
162,0.618598
163,1.26922
164,1.57413
165,0.574072
166,0.352396
167,0.426689
168,0.284506
169,0.73646
170,0.587605
171,0.925205
172,1.86284
173,0.542591
174,0.615513
175,1.22618
176,0.616436
177,1.82012
178,0.46459
179,0.863467
180,1.15627
181,0.621761
182,0.890831
183,1.90904
184,0.962828
185,1.87461
186,1.60641
187,1.04564
188,0.440123
189,0.629833
190,0.314428
191,2.28074
192,0.366411
193,0.38539
194,0.270631
195,1.02213
196,0.532592
197,0.545801
198,1.29499
199,0.699772
200,3.12677
201,0.154124
202,0.74245
203,0.493615
204,0.523405
205,0.306052
206,0.888874
207,0.740744
208,0.774607
209,0.79724
210,1.27839
211,0.879677
212,0.388019
213,1.90656
214,0.917429
215,0.643521
216,0.636863
217,1.67967
218,0.505504
219,1.0372
220,0.389847
221,0.957069
222,1.31758
223,2.00391
224,0.553662
225,1.04966
226,0.310057
227,0.938418
228,0.321744
229,0.784899
230,0.267403
231,0.699842
232,1.48438
233,0.886123
234,1.34972
235,0.66458
236,1.12975
237,1.68018
238,1.14134
239,1.7591
240,0.980483
241,1.15801
242,0.984098
243,1.03913
244,0.610608
245,0.840885
246,1.02822
247,0.481235
248,2.12357
249,0.385775
250,0.746769
251,0.929926
252,1.09464
253,1.11583
254,0.607016
255,1.74613
256,0.873629
257,0.572295
258,2.8434
259,0.222239
260,1.00497
261,0.389536
262,0.246104
263,0.985398
264,1.12626
265,0.296117
266,0.406041
267,0.844171
268,0.954956
269,0.264742
270,3.23491
271,1.18637
272,0.206801
273,1.74752
274,0.353808
275,0.582807
276,1.44658
277,0.904476
278,1.8114
279,2.51633
280,1.09442
281,1.77039
282,1.09253
283,0.321101
284,0.248081
285,1.23751
286,0.875991
287,0.934195
288,1.49063
289,0.457353
290,0.801476
291,2.38715
292,0.913483
293,1.83988
294,0.699073
295,1.16591
296,0.430977
297,0.657047
298,1.03827
299,1.54141
300,0.347497
301,0.424561
302,0.358796
303,1.53434
304,0.609937
305,0.337902
306,0.711201
307,1.79787
308,0.560739
309,0.865541
310,0.873454
311,0.537729
312,1.22851
313,0.697467
314,0.766286
315,0.390628
316,0.721372
317,1.42804
318,0.978818
319,1.10031
320,0.776623
321,0.61656
322,1.22348
323,1.23677
324,0.859418
325,1.33509
326,1.48661
327,0.98999
328,0.618165
329,0.881527
330,1.19244
331,0.437928
332,0.960348
333,0.5869
334,0.925325
335,0.964582
336,0.451175
337,0.449015
338,1.50306
339,0.656784
340,1.41737
341,0.645778
342,1.40931
343,0.490907
344,0.717416
345,0.794216
346,0.603928
347,1.21872
348,0.861483
349,0.690872
350,1.06587
351,1.00045
352,0.599056
353,1.39139
354,0.365679
355,0.800595
356,0.60417
357,1.56236
358,1.24695
359,0.299692
360,3.88064
361,1.00647
362,0.951505
363,2.08632
364,0.898166
365,1.65169
366,0.525923
367,2.02688
368,1.03459
369,0.400637
370,0.603144
371,2.12209
372,0.563043
373,2.6261
374,1.14465
375,0.694961
376,0.89673
377,3.52895
378,0.659087
379,0.885325
380,0.338917
381,1.23602
382,0.779502
383,4.66459
384,0.609449
385,1.23072
386,0.610486
387,0.719643
388,0.831271
389,0.340275
390,0.547879
391,0.479889
392,3.57512
393,0.595234
394,2.07446
395,0.629141
396,2.61719
397,0.377494
398,1.9804
399,1.29966
400,0.7455
401,2.21068
402,0.488166
403,1.34689
404,0.639352
405,0.631347
406,0.750437
407,0.938146
408,1.34178
409,1.56659
410,0.760028
411,0.993526
412,1.4789
413,0.656521
414,0.733814
415,1.6185
416,0.500724
417,1.22091
418,1.40861
419,0.717416
420,0.797399
421,0.803965
422,2.39744
423,1.49242
424,0.588782
425,1.39152
426,0.53105
427,2.30735
428,0.383583
429,2.43708
430,1.51771
431,0.418282
432,0.968565
433,1.88815
434,2.25737
435,0.281113
436,0.348541
437,0.575337
438,0.788518
439,0.688528
440,0.788518
441,0.991946
442,3.56085
443,0.498576
444,0.82193
445,1.62645
446,0.853935
447,0.830938
448,0.982122
449,1.29175
450,0.437841
451,2.1402
452,0.44517
453,1.25885
454,0.742598
455,0.522359
456,0.774065
457,0.354517
458,0.293171
459,1.22275
460,0.50409
461,0.521941
462,1.84356
463,0.945322
464,1.78247
465,1.16567
466,3.14559
467,0.78537
468,1.95404
469,2.51809
470,0.218493
471,0.315373
472,1.30109
473,1.20178
474,0.417154
475,0.95572
476,1.3477
477,0.841474
478,0.961962
479,0.52168
480,0.914635
481,0.320459
482,0.762616
483,0.710419
484,1.49018
485,2.13507
486,0.529194
487,0.622694
488,1.74421
489,1.62434
490,0.339256
491,0.593095
492,0.857872
493,0.360235
494,1.29227
495,0.704054
496,0.492382
497,3.00116
498,0.312235
499,0.95221
500,1.65202
501,0.661662
502,1.28518
503,0.464544
504,0.627884
505,0.548482
506,0.861655
507,0.402444
508,0.550075
509,0.93733
510,0.539075
511,2.00953
512,0.912187
513,0.477209
514,0.711486
515,1.79822
516,0.554327
517,0.82374
518,0.593748
519,1.82942
520,0.997066
521,0.542482
522,0.820042
523,0.393057
524,1.25095
525,0.591792
526,0.77005
527,1.17199
528,1.05895
529,1.64641
530,0.580828
531,0.485197
532,0.539129
533,1.9478
534,0.795806
535,0.622507
536,1.55691
537,0.116251
538,0.320459
539,2.71692
540,0.253599
541,0.836691
542,0.609327
