t,G,F1,F2,F3
1,0.0006784,0.001092,null,null
2,0.0006301,0.001067,null,null
3,0.0006292,0.001071,null,null
4,0.0006278,0.001071,null,null
5,0.000627,0.001071,null,null
6,0.0006268,0.00107,null,null
7,0.0006267,0.00107,null,null
8,0.0006264,0.001071,null,null
9,0.0006262,0.00107,null,null
10,0.0006262,0.001071,null,null
11,0.0006262,0.001071,null,null
12,0.0006261,0.001071,null,null
13,0.0006261,0.001071,null,null
14,0.000626,0.001071,null,null
15,0.000626,0.00107,null,null
16,0.0006262,0.001071,null,null
17,0.0006261,0.001071,null,null
18,0.0006261,0.001071,null,null
19,0.0006263,0.001071,null,null
20,0.0006262,0.001071,null,null
21,0.000626,0.001071,null,null
22,0.0006261,0.001071,null,null
23,0.0006261,0.001071,null,null
24,0.0006261,0.001072,null,null
25,0.0006261,0.001071,null,null
26,0.0006261,0.001071,null,null
27,0.000626,0.001071,null,null
28,0.000626,0.001071,null,null
29,0.000626,0.001071,null,null
30,0.000626,0.001071,null,null
31,0.000626,0.001072,null,null
32,0.0006259,0.001071,null,null
33,0.000626,0.001071,null,null
34,0.000626,0.001072,null,null
35,0.000626,0.001072,null,null
36,0.000626,0.001072,null,null
37,0.0006261,0.001072,null,null
38,0.0006259,0.001071,null,null
39,0.0006259,0.001071,null,null
40,0.0006259,0.001071,null,null
41,0.000626,0.001071,null,null
42,0.0006261,0.001072,null,null
43,0.000626,0.001071,null,null
44,0.0006259,0.001071,null,null
45,0.0006258,0.001072,null,null
46,0.0006261,0.001071,null,null
47,0.000626,0.001072,null,null
48,0.000626,0.001071,null,null
49,0.000626,0.001072,null,null
50,0.0006261,0.001072,null,null
51,0.0006262,0.001072,null,null
52,0.0006262,0.001071,null,null
53,0.0006263,0.001072,null,null
54,0.000626,0.001071,null,null
55,0.0006261,0.001071,null,null
56,0.000626,0.001071,null,null
57,0.000626,0.001071,null,null
58,0.000626,0.001071,null,null
59,0.000626,0.001071,null,null
60,0.000626,0.001071,null,null
61,0.000626,0.001071,null,null
62,0.0006262,0.001071,null,null
63,0.0006259,0.001072,null,null
64,0.000626,0.001071,null,null
65,0.0006258,0.001071,null,null
66,0.0006261,0.001072,null,null
67,0.0006259,0.001072,null,null
68,0.000626,0.001072,null,null
69,0.0006259,0.001071,null,null
70,0.0006259,0.001072,null,null
71,0.0006259,0.001071,null,null
72,0.0006257,0.001071,null,null
73,0.0006259,0.001071,null,null
74,0.0006259,0.001072,null,null
75,0.0006259,0.001071,null,null
76,0.0006258,0.001071,null,null
77,0.0006258,0.001072,null,null
78,0.0006259,0.001072,null,null
79,0.0006258,0.001071,null,null
80,0.0006258,0.001072,null,null
81,0.000626,0.001072,null,null
82,0.0006259,0.001071,null,null
83,0.0006261,0.001071,null,null
