ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
1.32134,-0.655262,null,null,null
1.26775,null,-0.607102,null,null
1.16931,null,null,0.953122,null
0.408818,null,null,null,-2.99662
1.18091,-0.624848,null,null,null
1.16185,null,-0.4974,null,null
1.10482,null,null,0.835025,null
0.193649,null,null,null,-2.28328
1.11156,-0.508367,null,null,null
1.03784,null,-0.439802,null,null
1.06978,null,null,0.79114,null
1.11524,null,null,null,-1.70243
1.05089,-0.55433,null,null,null
0.971113,null,-0.42937,null,null
0.96005,null,null,0.802297,null
0.456892,null,null,null,-1.65817
1.04607,-0.560338,null,null,null
0.947225,null,-0.380135,null,null
0.879927,null,null,0.81213,null
0.984572,null,null,null,-1.83556
0.979785,-0.553048,null,null,null
0.89159,null,-0.394823,null,null
0.82754,null,null,0.877055,null
0.207002,null,null,null,-1.53666
1.01933,-0.493273,null,null,null
0.911815,null,-0.351818,null,null
0.807325,null,null,0.855315,null
0.620718,null,null,null,-1.54172
0.914663,-0.539767,null,null,null
0.92956,null,-0.351938,null,null
0.82829,null,null,0.839237,null
1.11441,null,null,null,-1.67207
0.976252,-0.491812,null,null,null
0.911395,null,-0.371482,null,null
0.841685,null,null,0.823582,null
0.033461,null,null,null,-1.08193
0.969378,-0.507123,null,null,null
0.887725,null,-0.347533,null,null
0.816902,null,null,0.838965,null
0.257132,null,null,null,-1.50464
0.95129,-0.495638,null,null,null
0.883635,null,-0.3099,null,null
0.788895,null,null,0.853302,null
0.230656,null,null,null,-1.21467
0.941588,-0.483885,null,null,null
0.87939,null,-0.2935,null,null
0.778085,null,null,0.800855,null
0.469403,null,null,null,-1.41581
0.948065,-0.52279,null,null,null
0.909403,null,-0.316725,null,null
0.818573,null,null,0.845962,null
0.071982,null,null,null,-0.935688
0.9241,-0.481758,null,null,null
0.905745,null,-0.36005,null,null
0.798512,null,null,0.779,null
-0.200448,null,null,null,-1.07056
0.9241,-0.481758,null,null,null
0.905745,null,-0.36005,null,null
0.798512,null,null,0.779,null
-0.200448,null,null,null,-1.07056
0.9241,-0.481758,null,null,null
0.905745,null,-0.36005,null,null
0.798512,null,null,0.779,null
-0.200448,null,null,null,-1.07056
0.93368,-0.449715,null,null,null
0.924693,null,-0.349575,null,null
0.785972,null,null,0.817915,null
-0.127258,null,null,null,-1.41915
0.904945,-0.45613,null,null,null
0.89367,null,-0.313522,null,null
0.774572,null,null,0.84165,null
-0.052711,null,null,null,-1.22028
0.90072,-0.46435,null,null,null
0.865135,null,-0.383302,null,null
0.793292,null,null,0.834102,null
0.212256,null,null,null,-1.58783
0.919565,-0.48914,null,null,null
0.841002,null,-0.370865,null,null
0.800055,null,null,0.84058,null
-0.208805,null,null,null,-1.12811
0.941828,-0.4665,null,null,null
0.807755,null,-0.38569,null,null
0.754965,null,null,0.85184,null
-0.276948,null,null,null,-0.94618
0.925512,-0.476923,null,null,null
0.85603,null,-0.398128,null,null
0.793265,null,null,0.838878,null
0.361733,null,null,null,-1.2052
0.888175,-0.42901,null,null,null
0.854908,null,-0.40541,null,null
0.86685,null,null,0.807412,null
0.0826585,null,null,null,-1.30537
0.92714,-0.475357,null,null,null
0.860173,null,-0.39766,null,null
0.825562,null,null,0.809817,null
-0.0290795,null,null,null,-1.33308
0.91225,-0.455782,null,null,null
0.823465,null,-0.427302,null,null
0.820878,null,null,0.767305,null
-0.106151,null,null,null,-1.01088
0.92941,-0.493557,null,null,null
0.828488,null,-0.387867,null,null
0.864047,null,null,0.759127,null
0.19775,null,null,null,-1.28859
0.92941,-0.493557,null,null,null
0.828488,null,-0.387867,null,null
0.864047,null,null,0.759127,null
0.19775,null,null,null,-1.28859
0.92941,-0.493557,null,null,null
0.828488,null,-0.387867,null,null
0.864047,null,null,0.759127,null
0.19775,null,null,null,-1.28859
0.898485,-0.455135,null,null,null
0.826747,null,-0.355287,null,null
0.810235,null,null,0.769027,null
-0.469303,null,null,null,-0.869
0.89971,-0.473942,null,null,null
0.819738,null,-0.325305,null,null
0.806383,null,null,0.773255,null
0.169327,null,null,null,-0.760295
0.914863,-0.48354,null,null,null
0.783275,null,-0.295275,null,null
0.776397,null,null,0.789535,null
0.337402,null,null,null,-0.597505
0.914863,-0.48354,null,null,null
0.783275,null,-0.295275,null,null
0.776397,null,null,0.789535,null
0.337402,null,null,null,-0.597505
0.88221,-0.516405,null,null,null
0.805195,null,-0.278772,null,null
0.815292,null,null,0.710268,null
0.0218973,null,null,null,-0.623387
0.88221,-0.516405,null,null,null
0.805195,null,-0.278772,null,null
0.815292,null,null,0.710268,null
0.0218973,null,null,null,-0.623387
0.88221,-0.516405,null,null,null
0.805195,null,-0.278772,null,null
0.815292,null,null,0.710268,null
0.0218973,null,null,null,-0.623387
