MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
1,1.47489,1.40562,1.50855,3.02438
2,1.33603,1.26385,1.38488,2.29147
3,1.22229,1.12718,1.33054,2.0352
4,1.18813,1.0618,1.25115,1.71996
5,1.18669,1.02066,1.19743,2.08294
6,1.1251,0.975099,1.20584,1.55054
7,1.13241,0.977334,1.17615,1.66198
8,1.06205,0.993953,1.17915,2.00941
9,1.09314,0.984195,1.17759,1.08245
10,1.09401,0.953328,1.17098,1.52645
11,1.07266,0.936402,1.1621,1.23638
12,1.05865,0.927076,1.1166,1.4916
13,1.08265,0.962979,1.17716,0.938452
14,1.04214,0.974685,1.11556,1.08916
15,1.04214,0.974685,1.11556,1.08916
16,1.04214,0.974685,1.11556,1.08916
17,1.03634,0.988564,1.13434,1.42485
18,1.0134,0.94707,1.14383,1.22142
19,1.01337,0.946245,1.1511,1.60196
20,1.04157,0.919144,1.16046,1.14727
21,1.05103,0.895112,1.13825,0.985879
22,1.04117,0.944083,1.15455,1.25831
23,0.986359,0.946163,1.18463,1.30798
24,1.0419,0.947645,1.15644,1.33339
25,1.01977,0.92773,1.12365,1.01644
26,1.05233,0.914786,1.15015,1.30368
27,1.05233,0.914786,1.15015,1.30368
28,1.05233,0.914786,1.15015,1.30368
29,1.00719,0.899856,1.11709,0.987626
30,1.01691,0.881926,1.11722,0.778923
31,1.03479,0.837082,1.10732,0.686187
32,1.03479,0.837082,1.10732,0.686187
33,1.02224,0.852087,1.08129,0.623772
34,1.02224,0.852087,1.08129,0.623772
35,1.02224,0.852087,1.08129,0.623772
36,1.00772,0.863427,1.14813,1.44135
37,1.02263,0.883529,1.08561,0.956287
38,1.02263,0.883529,1.08561,0.956287
39,1.04911,0.897484,1.08222,0.947284
40,1.01471,0.951018,1.10256,0.810303
41,1.01886,0.940678,1.03508,0.664869
42,1.02002,0.958869,1.04638,0.939477
43,1.01566,0.923965,1.06369,1.00846
44,1.00505,0.937443,1.07419,0.852446
45,0.944924,0.909224,1.07918,0.928624
46,0.989269,0.898251,1.12023,0.884727
47,1.03259,0.916713,1.08322,0.691259
48,1.00081,0.915469,1.06603,0.700756
49,0.978437,0.912442,1.11157,0.647495
50,0.994819,0.967577,1.08267,0.957206
51,0.961456,0.954459,1.05678,0.853515
52,0.961456,0.954459,1.05678,0.853515
53,1.00556,0.945773,1.08372,0.880909
54,1.00556,0.945773,1.08372,0.880909
55,1.03293,0.940289,1.08183,0.527355
56,1.03293,0.940289,1.08183,0.527355
57,1.03293,0.940289,1.08183,0.527355
58,1.03293,0.940289,1.08183,0.527355
