MDTU,|Tr(Lx)|,|Tr(Ly)|,|Tr(Lz)|,|Tr(L5)|
1,0.312529,0.304513,0.306598,0.0988164
2,0.277699,0.270864,0.267896,0.0679835
3,0.257574,0.252146,0.25508,0.0637518
4,0.246629,0.244359,0.243437,0.059555
5,0.244002,0.24,0.235799,0.0622455
6,0.241517,0.238328,0.237506,0.057375
7,0.241833,0.234941,0.238603,0.0555938
8,0.233316,0.236327,0.233261,0.0572815
9,0.240135,0.235224,0.234895,0.0575954
10,0.237411,0.238402,0.235401,0.058013
11,0.237102,0.235414,0.22908,0.0504681
12,0.232897,0.233364,0.225827,0.0551052
13,0.24088,0.236337,0.235444,0.0573137
14,0.239475,0.241025,0.234188,0.0594515
15,0.239475,0.241025,0.234188,0.0594515
16,0.239475,0.241025,0.234188,0.0594515
17,0.240093,0.237781,0.237302,0.0572064
18,0.239206,0.240229,0.237118,0.0557486
19,0.239594,0.23996,0.236117,0.0542814
20,0.239736,0.238587,0.233575,0.0489697
21,0.241743,0.233667,0.235145,0.0476223
22,0.241476,0.233593,0.234218,0.0467326
23,0.24528,0.233165,0.235717,0.0527426
24,0.247422,0.232951,0.239682,0.0526818
25,0.242517,0.231864,0.235413,0.0522818
26,0.248763,0.230679,0.237069,0.0534113
27,0.248763,0.230679,0.237069,0.0534113
28,0.248763,0.230679,0.237069,0.0534113
29,0.247175,0.228,0.233861,0.0471409
30,0.243988,0.229898,0.238933,0.0529781
31,0.244048,0.227111,0.236653,0.0495666
32,0.244048,0.227111,0.236653,0.0495666
33,0.245677,0.224577,0.238178,0.0491264
34,0.245677,0.224577,0.238178,0.0491264
35,0.245677,0.224577,0.238178,0.0491264
36,0.241386,0.221843,0.239421,0.0573383
37,0.244153,0.232607,0.237519,0.0489671
38,0.244153,0.232607,0.237519,0.0489671
39,0.243118,0.227936,0.235646,0.048236
40,0.246805,0.232443,0.232571,0.0508026
41,0.242219,0.229754,0.235165,0.0528907
42,0.244339,0.231042,0.232277,0.0523434
43,0.24242,0.232587,0.229509,0.0511121
44,0.245496,0.232938,0.229493,0.049044
45,0.243843,0.231865,0.22844,0.0491588
46,0.24593,0.222385,0.233407,0.054042
47,0.246212,0.226565,0.231635,0.0521354
48,0.244973,0.227157,0.232186,0.0517225
49,0.245645,0.227503,0.240546,0.0549875
50,0.246087,0.229377,0.238085,0.0497677
51,0.244807,0.226893,0.23681,0.0503434
52,0.244807,0.226893,0.23681,0.0503434
53,0.248,0.227413,0.232242,0.0474313
54,0.248,0.227413,0.232242,0.0474313
55,0.245092,0.227013,0.233604,0.0532763
56,0.245092,0.227013,0.233604,0.0532763
57,0.245092,0.227013,0.233604,0.0532763
58,0.245092,0.227013,0.233604,0.0532763
59,0.249421,0.235027,0.234079,0.0486817
60,0.249421,0.235027,0.234079,0.0486817
61,0.255034,0.233014,0.231316,0.0551174
62,0.255034,0.233014,0.231316,0.0551174
63,0.247288,0.23096,0.229454,0.051182
64,0.243921,0.233198,0.224026,0.049343
65,0.243921,0.233198,0.224026,0.049343
66,0.253191,0.231595,0.224396,0.0460574
67,0.248039,0.234075,0.230314,0.0477818
68,0.248039,0.234075,0.230314,0.0477818
69,0.246247,0.234352,0.230982,0.0550165
70,0.246247,0.234352,0.230982,0.0550165
71,0.249807,0.230477,0.229724,0.046834
72,0.246603,0.231101,0.227126,0.0512346
73,0.245957,0.229392,0.230883,0.0535394
74,0.243834,0.231412,0.225196,0.0541818
75,0.243101,0.227117,0.231589,0.05204
76,0.243973,0.234718,0.229566,0.043113
77,0.245547,0.236566,0.228295,0.0544338
78,0.241435,0.228238,0.234473,0.0573211
79,0.238871,0.232191,0.232431,0.0517037
80,0.240879,0.232699,0.229083,0.0476046
81,0.238367,0.235655,0.227469,0.0558083
82,0.238613,0.235771,0.228032,0.0516716
83,0.245655,0.234286,0.227534,0.0488339
84,0.238939,0.238588,0.231404,0.0507651
85,0.241526,0.236513,0.2282,0.0469239
86,0.239312,0.237595,0.22948,0.0454467
87,0.236367,0.237862,0.227113,0.0492395
88,0.230383,0.241692,0.232431,0.047913
89,0.239398,0.241516,0.233522,0.0449057
90,0.233865,0.24251,0.232883,0.0444087
91,0.239386,0.240756,0.231531,0.0401236
92,0.239859,0.245453,0.229913,0.0473005
93,0.236511,0.241826,0.230743,0.0436514
94,0.236511,0.241826,0.230743,0.0436514
95,0.236578,0.242241,0.229679,0.0416071
96,0.236578,0.242241,0.229679,0.0416071
97,0.236578,0.242241,0.229679,0.0416071
98,0.230739,0.245166,0.23045,0.043005
99,0.234691,0.243618,0.234057,0.0402598
100,0.23866,0.246076,0.229579,0.0425502
101,0.23743,0.248719,0.234146,0.0361965
102,0.233893,0.244338,0.233814,0.0307889
103,0.233893,0.244338,0.233814,0.0307889
104,0.238654,0.245839,0.230357,0.0347219
105,0.235447,0.245021,0.234798,0.0393852
106,0.235447,0.245021,0.234798,0.0393852
107,0.24064,0.241761,0.236569,0.0288566
108,0.233954,0.240888,0.235213,0.0375096
109,0.237358,0.233976,0.242774,0.0400682
110,0.236281,0.241967,0.243408,0.0385123
111,0.234286,0.238912,0.237475,0.0304814
112,0.235073,0.239968,0.240916,0.0388489
