ReTr(L*),ImTr(Lx),ImTr(Ly),ImTr(Lz),ImTr(L5)
0.28295,-0.132717,null,null,null
0.269875,null,-0.141052,null,null
0.237457,null,null,0.193949,null
-0.00495153,null,null,null,-0.0986922
0.252582,-0.115407,null,null,null
0.241621,null,-0.122419,null,null
0.209773,null,null,0.166624,null
-0.00052217,null,null,null,-0.0679815
0.233216,-0.109338,null,null,null
0.225834,null,-0.112145,null,null
0.20185,null,null,0.155957,null
0.00133783,null,null,null,-0.0637377
0.224788,-0.10147,null,null,null
0.21911,null,-0.108177,null,null
0.187907,null,null,0.154766,null
0.00616992,null,null,null,-0.0592345
0.222988,-0.0990633,null,null,null
0.213427,null,-0.109766,null,null
0.176025,null,null,0.156896,null
0.0045899,null,null,null,-0.062076
0.218865,-0.10212,null,null,null
0.212555,null,-0.107799,null,null
0.173516,null,null,0.162177,null
0.00381183,null,null,null,-0.0572483
0.220131,-0.100129,null,null,null
0.211049,null,-0.103226,null,null
0.175719,null,null,0.161413,null
0.0106818,null,null,null,-0.054558
0.209518,-0.102657,null,null,null
0.213105,null,-0.10216,null,null
0.171577,null,null,0.158025,null
0.0114791,null,null,null,-0.0561195
0.217242,-0.102328,null,null,null
0.212043,null,-0.101822,null,null
0.173463,null,null,0.158387,null
0.00616035,null,null,null,-0.057265
0.21678,-0.0968005,null,null,null
0.215143,null,-0.102708,null,null
0.174716,null,null,0.157758,null
0.0026099,null,null,null,-0.0579542
0.21639,-0.096915,null,null,null
0.213014,null,-0.100223,null,null
0.1701,null,null,0.15344,null
0.00457302,null,null,null,-0.0502605
0.213169,-0.0938087,null,null,null
0.212074,null,-0.097383,null,null
0.165392,null,null,0.153764,null
0.00816622,null,null,null,-0.0544967
0.220428,-0.0971328,null,null,null
0.215374,null,-0.0973108,null,null
0.175262,null,null,0.157217,null
0.00797965,null,null,null,-0.0567555
0.218614,-0.0977535,null,null,null
0.218979,null,-0.100704,null,null
0.175186,null,null,0.155415,null
0.00930685,null,null,null,-0.0587185
0.218614,-0.0977535,null,null,null
0.218979,null,-0.100704,null,null
0.175186,null,null,0.155415,null
0.00930685,null,null,null,-0.0587185
0.218614,-0.0977535,null,null,null
0.218979,null,-0.100704,null,null
0.175186,null,null,0.155415,null
0.00930685,null,null,null,-0.0587185
0.220919,-0.094019,null,null,null
0.214942,null,-0.101684,null,null
0.174389,null,null,0.160936,null
0.00622903,null,null,null,-0.0568663
0.219211,-0.0957397,null,null,null
0.216942,null,-0.10318,null,null
0.175001,null,null,0.159999,null
0.0029413,null,null,null,-0.055671
0.219022,-0.097132,null,null,null
0.213364,null,-0.109803,null,null
0.170683,null,null,0.163152,null
0.00173366,null,null,null,-0.0542538
0.218865,-0.097832,null,null,null
0.21121,null,-0.110969,null,null
0.173506,null,null,0.156374,null
-0.00097679,null,null,null,-0.04896
0.220688,-0.098673,null,null,null
0.205581,null,-0.111071,null,null
0.171217,null,null,0.161178,null
-0.00208127,null,null,null,-0.0475768
0.216826,-0.106287,null,null,null
0.209412,null,-0.103499,null,null
0.179816,null,null,0.150081,null
0.0026615,null,null,null,-0.0466567
0.219819,-0.108822,null,null,null
0.206528,null,-0.108222,null,null
0.180176,null,null,0.151984,null
0.0084779,null,null,null,-0.0520567
0.220091,-0.113036,null,null,null
0.206157,null,-0.108468,null,null
0.184869,null,null,0.152548,null
0.00902807,null,null,null,-0.0519025
