MDTU,rho_M
10,8.39233e-05
20,0.000133514
30,0.000160217
40,0.00012207
50,6.86646e-05
60,8.01086e-05
70,0.000133514
80,9.91821e-05
90,0.000125885
100,0.000106812
110,9.15527e-05
120,0.000144958
130,0.000102997
140,9.91821e-05
150,0.000160217
160,8.01086e-05
170,0.000133514
180,0.00012207
190,0.000144958
200,0.000144958
210,8.39233e-05
220,0.000110626
230,0.000114441
240,0.0001297
250,0.00018692
260,0.00012207
270,0.000141144
280,0.0001297
290,0.000118256
300,0.000125885
310,0.000164032
320,0.000106812
330,0.000114441
340,0.000160217
350,0.00012207
360,9.53674e-05
370,0.000167847
380,0.000156403
390,0.0001297
400,0.000106812
410,7.62939e-05
420,9.15527e-05
430,0.000114441
440,0.000106812
450,0.0001297
460,9.15527e-05
470,0.000110626
480,9.91821e-05
490,0.000118256
500,0.000114441
510,0.000133514
520,0.000118256
530,0.000133514
540,7.62939e-05
550,0.000137329
560,0.000110626
570,0.000137329
580,0.000141144
590,9.53674e-05
600,0.000110626
610,0.000141144
620,8.01086e-05
630,0.000144958
640,0.000106812
650,0.000144958
660,0.000175476
670,0.0001297
680,0.000125885
690,0.000102997
700,0.000198364
710,0.000179291
720,0.000141144
730,7.62939e-05
740,0.000156403
750,0.000133514
760,9.91821e-05
770,9.53674e-05
780,0.000156403
790,0.000118256
800,8.01086e-05
810,0.000148773
820,0.000102997
830,0.000141144
840,9.91821e-05
850,0.000152588
860,9.15527e-05
870,0.000137329
880,0.000141144
890,0.000125885
900,0.000160217
910,9.91821e-05
920,0.00012207
930,0.000148773
940,0.000110626
950,0.000152588
960,0.000102997
970,0.000106812
980,0.00012207
990,0.000137329
1000,0.000125885
1010,0.000114441
1020,0.000148773
1030,8.7738e-05
1040,7.24792e-05
1050,0.000141144
1060,0.000141144
1070,0.000144958
1075,0.00012207
1080,5.34058e-05
1085,0.000160217
1090,8.39233e-05
1100,5.34058e-05
1110,5.72205e-05
1120,0.000118256
1130,0.000125885
1140,0.000114441
1150,0.000175476
1160,0.000137329
1170,6.48499e-05
1180,0.000137329
1190,0.000125885
1200,9.15527e-05
1210,0.00012207
1220,0.000175476
1230,6.48499e-05
1240,8.39233e-05
1250,7.24792e-05
1255,0.000137329
1260,9.15527e-05
1265,0.000102997
1270,0.000144958
1275,0.000106812
1280,0.0001297
1285,8.39233e-05
1290,0.000114441
1295,0.000137329
1300,0.000133514
1305,0.000133514
1310,0.000137329
1315,0.000106812
1320,8.39233e-05
1325,9.91821e-05
1330,0.0001297
1335,0.000141144
1340,0.000106812
1345,8.39233e-05
1350,0.000171661
1355,7.62939e-05
1360,0.0001297
1365,8.7738e-05
1370,9.91821e-05
1375,0.000137329
1380,8.7738e-05
1385,9.15527e-05
1390,0.000125885
1395,0.00012207
1400,0.000141144
1405,8.7738e-05
1410,9.15527e-05
1415,0.000156403
1420,9.91821e-05
1425,0.000106812
1430,0.000102997
1435,0.000141144
1440,0.000114441
1445,8.01086e-05
1450,8.39233e-05
1455,6.48499e-05
1460,6.10352e-05
1465,0.000110626
1470,0.000171661
1475,9.91821e-05
1480,0.0001297
1485,6.86646e-05
1490,0.000164032
1495,8.01086e-05
1500,6.48499e-05
1505,0.000114441
1510,7.62939e-05
1515,0.000114441
1520,6.10352e-05
1525,0.000137329
1530,0.000152588
1535,0.000125885
1540,4.57764e-05
1545,0.000202179
1550,0.0001297
1555,0.000114441
1560,0.00012207
1565,5.34058e-05
1570,6.86646e-05
1575,9.15527e-05
1580,9.91821e-05
1585,0.000167847
1590,0.000152588
1595,0.000156403
1600,0.000125885
1605,8.7738e-05
1610,0.000144958
1615,9.53674e-05
1620,9.91821e-05
1625,0.000114441
1630,9.53674e-05
1635,0.000137329
1640,0.000118256
1645,8.39233e-05
1650,0.000156403
1655,0.000125885
1660,4.95911e-05
1665,0.000148773
1670,0.000114441
1675,6.10352e-05
1680,0.000167847
1685,6.10352e-05
1690,0.000141144
1695,0.000175476
1700,0.000144958
1705,5.34058e-05
1710,0.000110626
1715,0.000106812
1720,9.91821e-05
1725,0.000152588
1730,0.000110626
1735,8.39233e-05
1740,0.000148773
1745,0.000118256
1750,0.000106812
1755,0.000102997
1760,0.000106812
1765,9.53674e-05
1770,8.7738e-05
1775,0.0001297
1780,9.53674e-05
1785,0.000152588
1790,7.62939e-05
1795,0.000114441
1800,0.000106812
1805,0.000114441
1810,9.15527e-05
1820,0.000141144
1830,8.39233e-05
1840,0.000118256
1850,0.00012207
1860,0.000102997
1870,9.91821e-05
1880,0.000167847
1890,0.000114441
1900,0.000141144
1910,9.91821e-05
1920,0.00012207
1930,9.91821e-05
1940,0.000156403
1950,0.000106812
1960,6.10352e-05
1970,0.000114441
1980,8.39233e-05
1990,0.0001297
2000,0.0001297
2010,0.000152588
2020,9.53674e-05
2030,0.000118256
2040,9.15527e-05
2050,8.39233e-05
2060,0.000106812
2070,0.000164032
2080,0.000114441
2090,0.000118256
2100,7.62939e-05
2110,0.000137329
2120,0.000167847
2130,0.000110626
2140,0.00012207
2150,0.00012207
2160,0.000209808
2170,0.000106812
2180,0.000133514
2190,0.000167847
2200,0.0001297
2210,0.0001297
2220,0.000137329
2230,7.62939e-05
2240,8.7738e-05
2250,0.000144958
2260,0.000133514
2270,0.000137329
2280,9.91821e-05
2290,0.000160217
2300,0.00012207
2310,0.000114441
2320,0.0001297
2330,9.53674e-05
2340,0.000106812
2350,0.000125885
2360,0.000156403
2370,0.000106812
2380,0.000137329
2390,9.15527e-05
2400,0.000102997
2410,0.000102997
2420,0.000137329
2430,9.91821e-05
2440,0.000106812
2450,0.000125885
2460,5.72205e-05
2470,8.7738e-05
2480,0.000144958
2490,0.000133514
2500,0.000171661
2510,0.000137329
2520,0.000144958
2530,0.000102997
2540,0.000144958
2550,0.000133514
2560,0.000114441
2570,0.000213623
2580,0.000106812
2590,8.01086e-05
2600,0.00012207
2610,7.24792e-05
2620,0.000133514
2630,0.00012207
2640,0.000144958
2650,0.000114441
2660,8.39233e-05
2670,0.000175476
2680,0.000137329
2690,0.000183105
2700,9.91821e-05
2710,4.95911e-05
2720,0.00012207
2730,0.000110626
2740,0.000144958
2750,0.000106812
2760,0.000118256
2770,0.000110626
2780,0.000137329
2790,0.000106812
2800,6.86646e-05
2810,9.53674e-05
2820,0.000148773
2830,0.000141144
2840,0.00012207
2850,0.00012207
2860,0.000125885
2870,6.86646e-05
2880,9.15527e-05
2890,0.000110626
2900,0.000164032
2910,5.34058e-05
2920,0.00012207
2930,9.15527e-05
2940,0.000179291
2950,0.000171661
2960,0.0001297
2970,0.000179291
2980,0.000141144
2990,0.000179291
3000,0.000167847
3010,0.000118256
3020,9.53674e-05
3030,0.000110626
3040,8.39233e-05
3050,0.000102997
3060,0.000137329
3070,0.000125885
3080,0.000164032
3090,0.0001297
3100,9.53674e-05
3110,0.000183105
3120,0.000114441
3130,6.48499e-05
3140,8.39233e-05
3150,0.000106812
3160,8.39233e-05
3170,0.000225067
3180,0.000148773
3190,8.39233e-05
3200,8.39233e-05
3210,6.48499e-05
3220,9.15527e-05
3230,0.000175476
3240,0.000137329
3250,0.000137329
3260,6.48499e-05
3270,0.00012207
3280,0.000106812
3290,8.39233e-05
3300,9.91821e-05
3310,0.000141144
3320,0.000141144
3330,0.000106812
3340,8.01086e-05
3350,0.000133514
3360,8.01086e-05
3370,0.000133514
3380,0.000133514
3390,6.10352e-05
3400,0.000106812
3410,9.53674e-05
3420,0.000102997
3430,0.00012207
3440,5.34058e-05
3450,0.000152588
3460,0.000125885
3470,9.91821e-05
3480,0.000175476
3490,9.53674e-05
3500,0.000144958
3510,8.01086e-05
3520,0.000125885
3530,0.00012207
3540,0.00012207
3550,0.000114441
3560,8.01086e-05
3570,0.000110626
3580,0.0001297
3590,0.000110626
3600,0.00012207
3610,0.000102997
3620,6.86646e-05
3630,0.000152588
3640,0.000175476
3650,0.000160217
3660,0.000164032
3670,0.000144958
3680,4.57764e-05
3690,9.91821e-05
3700,0.000137329
3710,8.01086e-05
3720,0.000110626
3730,8.39233e-05
3740,0.000160217
3750,0.000133514
3760,0.000102997
3770,0.000167847
3780,0.0001297
3790,0.000118256
3800,6.48499e-05
3810,0.000106812
3820,8.7738e-05
3830,5.34058e-05
3840,0.000148773
3850,0.0001297
3860,7.24792e-05
3870,9.91821e-05
3880,8.39233e-05
3890,9.91821e-05
3900,0.000118256
3910,9.15527e-05
3920,5.34058e-05
3930,0.000133514
3940,0.000106812
3950,0.000106812
3960,9.15527e-05
3970,0.000102997
3980,0.000202179
3990,0.000137329
4000,9.15527e-05
4010,0.000144958
4020,8.01086e-05
4030,0.000164032
4040,0.000114441
4050,0.000137329
4060,6.10352e-05
4070,8.39233e-05
4080,0.00012207
4090,0.00012207
4100,0.0001297
4110,6.48499e-05
4120,6.10352e-05
4130,0.000110626
4140,0.000133514
4150,0.0001297
4160,0.000156403
4170,0.000164032
4180,9.91821e-05
4190,0.000137329
4200,0.000114441
4210,9.53674e-05
4220,7.62939e-05
4230,0.000190735
4240,9.91821e-05
4250,0.000110626
4260,8.39233e-05
4270,0.000106812
4280,0.00012207
4290,0.000114441
4300,0.000114441
4310,0.0001297
4320,0.000125885
4330,0.000106812
4340,8.01086e-05
4350,9.53674e-05
4360,9.53674e-05
4370,0.000110626
4380,9.15527e-05
4390,0.000137329
4400,0.000106812
4410,9.15527e-05
4420,8.39233e-05
4430,0.000125885
4440,0.000133514
4450,0.0001297
4460,0.000152588
4470,6.48499e-05
4480,0.000114441
4490,0.000114441
4500,0.000125885
4510,0.000110626
4520,0.000156403
4530,9.91821e-05
4540,0.000133514
4550,0.0001297
4560,7.62939e-05
4570,0.000144958
4580,0.00019455
