MDTU,plaq_ss,plaq_st
1,1.15697,1.15557
2,1.12996,1.12926
3,1.11039,1.11237
4,1.09561,1.09881
5,1.0864,1.09012
6,1.08137,1.08448
7,1.07904,1.0815
8,1.07932,1.07683
9,1.07604,1.07806
10,1.07498,1.07769
11,1.07437,1.07837
12,1.07293,1.07757
13,1.07239,1.07855
14,1.07118,1.08054
15,1.07118,1.08054
16,1.07118,1.08054
17,1.0719,1.08013
18,1.07192,1.07904
19,1.07163,1.07842
20,1.07193,1.07891
21,1.0714,1.08047
22,1.07162,1.07934
23,1.07242,1.0774
24,1.07208,1.07776
25,1.06982,1.07981
26,1.07066,1.07974
27,1.07066,1.07974
28,1.07066,1.07974
29,1.06979,1.08104
30,1.06947,1.08076
31,1.06683,1.08217
32,1.06683,1.08217
33,1.06668,1.08242
34,1.06668,1.08242
35,1.06668,1.08242
36,1.06757,1.08043
37,1.06642,1.08235
38,1.06642,1.08235
39,1.06687,1.08203
40,1.06572,1.08205
41,1.06791,1.08183
42,1.06877,1.08167
43,1.06832,1.08075
44,1.06796,1.08179
45,1.06718,1.08062
46,1.0684,1.07898
47,1.06915,1.07633
48,1.07132,1.07528
49,1.07084,1.07522
50,1.07085,1.07636
51,1.0702,1.07487
52,1.0702,1.07487
53,1.07174,1.07372
54,1.07174,1.07372
55,1.07247,1.07317
56,1.07247,1.07317
57,1.07247,1.07317
58,1.07247,1.07317
59,1.07227,1.07389
60,1.07227,1.07389
61,1.072,1.07291
62,1.072,1.07291
63,1.07194,1.07049
64,1.07311,1.0695
65,1.07311,1.0695
66,1.07398,1.07028
67,1.07416,1.06867
68,1.07416,1.06867
69,1.07374,1.06954
70,1.07374,1.06954
71,1.07272,1.07041
72,1.07379,1.0689
73,1.07437,1.06721
74,1.0748,1.06921
75,1.07377,1.0696
76,1.07501,1.06872
77,1.0748,1.06684
78,1.07573,1.06856
79,1.07484,1.06883
80,1.07514,1.06864
81,1.07425,1.06854
82,1.07595,1.06786
83,1.07587,1.06634
84,1.07585,1.06726
85,1.07675,1.06432
86,1.07707,1.06625
87,1.07636,1.06792
88,1.07587,1.06981
89,1.074,1.0695
90,1.07459,1.06914
91,1.07264,1.07091
92,1.07543,1.068
93,1.07449,1.07028
94,1.07449,1.07028
95,1.07288,1.0697
96,1.07288,1.0697
97,1.07288,1.0697
98,1.07421,1.06903
99,1.07361,1.07037
100,1.07454,1.06913
101,1.0751,1.07047
102,1.07375,1.07031
103,1.07375,1.07031
104,1.07285,1.07095
105,1.07314,1.07148
106,1.07314,1.07148
107,1.07276,1.07157
108,1.07322,1.07005
109,1.07268,1.07152
110,1.07061,1.07256
111,1.07159,1.07017
112,1.07124,1.07054
113,1.07159,1.07177
114,1.07156,1.07252
115,1.07315,1.07008
116,1.0734,1.07007
117,1.07334,1.06974
118,1.07334,1.06974
119,1.07299,1.06965
120,1.07299,1.07005
121,1.07299,1.07005
122,1.07299,1.07005
123,1.07426,1.06595
124,1.0754,1.06582
125,1.07459,1.06606
126,1.074,1.06659
127,1.0723,1.06727
128,1.0723,1.06727
129,1.07065,1.06975
130,1.07083,1.07163
131,1.07057,1.07183
132,1.07057,1.07183
133,1.07101,1.07051
134,1.07143,1.07298
135,1.07043,1.0731
136,1.07043,1.0731
137,1.07058,1.07302
138,1.07151,1.07169
139,1.07227,1.06888
140,1.07227,1.06888
141,1.07227,1.06888
142,1.07227,1.06888
143,1.07286,1.06981
144,1.07127,1.07067
145,1.07175,1.07204
146,1.07032,1.07249
147,1.07146,1.07196
148,1.07003,1.07316
149,1.06903,1.07495
150,1.06802,1.07451
151,1.06802,1.07451
152,1.06864,1.07533
153,1.06746,1.0755
154,1.06704,1.07487
155,1.06704,1.07487
156,1.06704,1.07487
157,1.06752,1.07491
158,1.0677,1.07447
159,1.06824,1.07438
160,1.06832,1.07411
161,1.06975,1.07324
162,1.06882,1.07366
163,1.06855,1.07279
164,1.06989,1.07236
165,1.06989,1.07236
166,1.06989,1.07236
167,1.06989,1.07236
168,1.06989,1.07236
169,1.06964,1.07218
170,1.0688,1.07251
171,1.06842,1.07514
172,1.0674,1.07548
173,1.06847,1.07407
174,1.06847,1.07407
175,1.06868,1.0744
176,1.0692,1.07378
177,1.06921,1.07497
178,1.06921,1.07497
179,1.06847,1.07375
180,1.06931,1.07194
181,1.07072,1.07088
182,1.0711,1.07216
183,1.07117,1.0725
184,1.06816,1.0736
185,1.0672,1.07516
186,1.06723,1.07561
187,1.06698,1.07618
188,1.06698,1.07618
189,1.06698,1.07618
190,1.06934,1.07342
191,1.06881,1.07347
192,1.06881,1.07347
193,1.06881,1.07347
194,1.0687,1.07531
195,1.06757,1.07512
196,1.065,1.07876
197,1.065,1.07876
198,1.06606,1.0793
199,1.06577,1.07868
200,1.06719,1.07896
201,1.06719,1.07896
202,1.06549,1.07997
203,1.06549,1.07997
204,1.06549,1.07997
205,1.06622,1.07837
206,1.06469,1.07994
207,1.06469,1.07994
208,1.06469,1.07994
209,1.0643,1.08149
