ReTr(L),ImTr(L)
3.19069,-1.34201
2.83736,-1.11273
2.74884,-1.10649
2.5482,-0.56231
2.03566,-0.981971
1.85298,-1.05248
2.07213,-0.731286
1.70744,-1.2697
2.09425,-0.317843
1.781,-0.652389
1.54786,-0.663116
1.06594,-0.423284
1.44003,-0.73477
1.86271,-0.852758
1.86271,-0.852758
1.86271,-0.852758
1.54858,-1.01627
1.38017,-0.880258
1.7903,-1.13656
1.29563,-1.3883
1.45502,-0.98132
1.41567,-1.11879
1.81123,-0.20181
1.46305,-0.296795
1.7556,-1.07792
1.96675,-0.939816
1.96675,-0.939816
1.96675,-0.939816
1.66471,-0.87567
1.91446,-0.42232
1.33672,-0.66728
1.33672,-0.66728
2.10156,-0.861049
2.10156,-0.861049
2.10156,-0.861049
1.75201,-0.811098
1.49531,-0.799457
1.49531,-0.799457
1.2192,-0.33968
1.14902,-0.143501
1.67067,-0.48308
1.42399,-1.19446
1.58497,-0.443264
1.46002,-0.937812
1.46615,-0.283113
1.48156,-0.834106
1.17645,-0.639189
1.12726,-0.193344
1.17994,-0.50297
1.28078,-0.725838
1.00485,-0.242533
1.00485,-0.242533
1.2276,-0.22645
1.2276,-0.22645
1.47429,-0.671907
1.47429,-0.671907
1.47429,-0.671907
1.47429,-0.671907
1.56092,-0.741031
1.56092,-0.741031
0.937509,-0.346151
0.937509,-0.346151
1.31944,-0.53818
0.739029,-1.02837
0.739029,-1.02837
1.07593,-0.775979
1.13739,-0.732736
1.13739,-0.732736
1.25403,-0.373842
1.25403,-0.373842
0.973883,0.0809872
1.31408,-0.546704
1.1255,-0.615532
1.35501,-0.533661
1.44781,-0.31983
1.75951,-0.170023
1.07452,-0.247007
1.62514,-0.764247
1.02505,-0.824204
1.69381,-0.597762
1.3497,-0.530343
1.0058,-0.581467
1.08513,-0.405552
1.32263,-1.10508
1.10961,-0.467369
1.11362,-0.602531
0.9715,-1.09712
0.825029,-0.718612
0.906049,-0.396243
1.48194,-0.930065
0.782415,-0.76515
0.705685,-0.829292
0.942145,-0.997974
0.942145,-0.997974
0.929455,-0.51148
0.929455,-0.51148
0.929455,-0.51148
0.704641,-0.875518
1.09351,-0.866124
1.19596,-0.6717
0.600455,-1.15009
1.00264,-0.832504
1.00264,-0.832504
0.563105,-0.817658
0.964007,-0.77011
0.964007,-0.77011
