MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,3.46142,3.19069,-1.34201
2,3.04775,2.83736,-1.11273
3,2.96319,2.74884,-1.10649
4,2.60951,2.5482,-0.56231
5,2.26013,2.03566,-0.981971
6,2.13102,1.85298,-1.05248
7,2.19738,2.07213,-0.731286
8,2.12779,1.70744,-1.2697
9,2.11824,2.09425,-0.317843
10,1.89673,1.781,-0.652389
11,1.68392,1.54786,-0.663116
12,1.14691,1.06594,-0.423284
13,1.61665,1.44003,-0.73477
14,2.04863,1.86271,-0.852758
15,2.04863,1.86271,-0.852758
16,2.04863,1.86271,-0.852758
17,1.85227,1.54858,-1.01627
18,1.63699,1.38017,-0.880258
19,2.1206,1.7903,-1.13656
20,1.89896,1.29563,-1.3883
21,1.75502,1.45502,-0.98132
22,1.80439,1.41567,-1.11879
23,1.82244,1.81123,-0.20181
24,1.49285,1.46305,-0.296795
25,2.06011,1.7556,-1.07792
26,2.17976,1.96675,-0.939816
27,2.17976,1.96675,-0.939816
28,2.17976,1.96675,-0.939816
29,1.88097,1.66471,-0.87567
30,1.96049,1.91446,-0.42232
31,1.49402,1.33672,-0.66728
32,1.49402,1.33672,-0.66728
33,2.27111,2.10156,-0.861049
34,2.27111,2.10156,-0.861049
35,2.27111,2.10156,-0.861049
36,1.93065,1.75201,-0.811098
37,1.69561,1.49531,-0.799457
38,1.69561,1.49531,-0.799457
39,1.26563,1.2192,-0.33968
40,1.15794,1.14902,-0.143501
41,1.73911,1.67067,-0.48308
42,1.85863,1.42399,-1.19446
43,1.64579,1.58497,-0.443264
44,1.73526,1.46002,-0.937812
45,1.49324,1.46615,-0.283113
46,1.70022,1.48156,-0.834106
47,1.33888,1.17645,-0.639189
48,1.14372,1.12726,-0.193344
49,1.28267,1.17994,-0.50297
50,1.47216,1.28078,-0.725838
51,1.03371,1.00485,-0.242533
52,1.03371,1.00485,-0.242533
53,1.24832,1.2276,-0.22645
54,1.24832,1.2276,-0.22645
55,1.62018,1.47429,-0.671907
56,1.62018,1.47429,-0.671907
57,1.62018,1.47429,-0.671907
58,1.62018,1.47429,-0.671907
59,1.72789,1.56092,-0.741031
60,1.72789,1.56092,-0.741031
61,0.999372,0.937509,-0.346151
62,0.999372,0.937509,-0.346151
63,1.42498,1.31944,-0.53818
64,1.26638,0.739029,-1.02837
65,1.26638,0.739029,-1.02837
66,1.32656,1.07593,-0.775979
67,1.35298,1.13739,-0.732736
68,1.35298,1.13739,-0.732736
69,1.30857,1.25403,-0.373842
70,1.30857,1.25403,-0.373842
71,0.977245,0.973883,0.0809872
72,1.42326,1.31408,-0.546704
73,1.28282,1.1255,-0.615532
74,1.45632,1.35501,-0.533661
75,1.48272,1.44781,-0.31983
