MDTU,|Tr(L)|,ReTr(L),ImTr(L)
1,0.118103,0.101798,-0.0598803
2,0.0891444,0.0748825,-0.0483668
3,0.0862286,0.0774927,-0.0378185
4,0.0730554,0.0653055,-0.0327457
5,0.0660514,0.0600087,-0.0275995
6,0.0714411,0.0640827,-0.031579
7,0.0627417,0.053991,-0.0319608
8,0.0629754,0.0553745,-0.0299927
9,0.0643803,0.0600465,-0.0232217
10,0.0663289,0.0592203,-0.0298745
11,0.0587289,0.0510442,-0.0290443
12,0.0614872,0.0505565,-0.034996
13,0.063323,0.0539735,-0.033116
14,0.0631647,0.0523807,-0.0352992
15,0.0631647,0.0523807,-0.0352992
16,0.0631647,0.0523807,-0.0352992
17,0.0701529,0.0548423,-0.0437465
18,0.0633733,0.0520717,-0.0361208
19,0.0698065,0.0578165,-0.0391177
20,0.0655887,0.052725,-0.0390122
21,0.0662102,0.0544455,-0.037676
22,0.0647304,0.0537852,-0.0360162
23,0.0626235,0.0566297,-0.0267352
24,0.0616919,0.0536755,-0.030411
25,0.0593885,0.0518832,-0.0288985
26,0.0633166,0.0552103,-0.030997
27,0.0633166,0.0552103,-0.030997
28,0.0633166,0.0552103,-0.030997
29,0.0643628,0.0581873,-0.0275102
30,0.065103,0.0623665,-0.0186769
31,0.0644231,0.0616442,-0.0187169
32,0.0644231,0.0616442,-0.0187169
33,0.0682858,0.0656598,-0.0187551
34,0.0682858,0.0656598,-0.0187551
35,0.0682858,0.0656598,-0.0187551
36,0.0627335,0.0600528,-0.0181427
37,0.0631204,0.0585123,-0.0236749
38,0.0631204,0.0585123,-0.0236749
39,0.0610703,0.0586607,-0.0169853
40,0.0599652,0.0575148,-0.0169669
41,0.0610501,0.058054,-0.0188904
42,0.0605605,0.0580305,-0.0173215
43,0.055575,0.054748,-0.00955198
44,0.0597711,0.057934,-0.0147049
45,0.0623862,0.0619502,-0.00736265
46,0.0610116,0.0606932,-0.00622433
47,0.0685858,0.0677398,-0.0107396
48,0.0588722,0.058162,-0.00911667
49,0.0555711,0.0553182,-0.00529465
50,0.056919,0.0563502,-0.00802645
51,0.0547478,0.0545713,-0.00439367
52,0.0547478,0.0545713,-0.00439367
53,0.0508634,0.048846,-0.0141827
54,0.0508634,0.048846,-0.0141827
55,0.0543592,0.053998,-0.00625635
56,0.0543592,0.053998,-0.00625635
57,0.0543592,0.053998,-0.00625635
58,0.0543592,0.053998,-0.00625635
59,0.0559655,0.0552668,-0.00881593
60,0.0559655,0.0552668,-0.00881593
61,0.0549183,0.0536208,-0.0118672
62,0.0549183,0.0536208,-0.0118672
63,0.0570391,0.0557482,-0.0120659
64,0.0535517,0.0525685,-0.0102146
65,0.0535517,0.0525685,-0.0102146
66,0.0556085,0.0539058,-0.0136555
67,0.0611507,0.0587358,-0.0170151
68,0.0611507,0.0587358,-0.0170151
69,0.0587861,0.0579677,-0.00977495
70,0.0587861,0.0579677,-0.00977495
71,0.0587204,0.0574047,-0.0123602
72,0.0566741,0.0542612,-0.0163606
73,0.0583855,0.0556623,-0.0176234
74,0.0591104,0.0582922,-0.0098005
