ReTr(L),ImTr(L)
0.101798,-0.0598803
0.0748825,-0.0483668
0.0774927,-0.0378185
0.0653055,-0.0327457
0.0600087,-0.0275995
0.0640827,-0.031579
0.053991,-0.0319608
0.0553745,-0.0299927
0.0600465,-0.0232217
0.0592203,-0.0298745
0.0510442,-0.0290443
0.0505565,-0.034996
0.0539735,-0.033116
0.0523807,-0.0352992
0.0523807,-0.0352992
0.0523807,-0.0352992
0.0548423,-0.0437465
0.0520717,-0.0361208
0.0578165,-0.0391177
0.052725,-0.0390122
0.0544455,-0.037676
0.0537852,-0.0360162
0.0566297,-0.0267352
0.0536755,-0.030411
0.0518832,-0.0288985
0.0552103,-0.030997
0.0552103,-0.030997
0.0552103,-0.030997
0.0581873,-0.0275102
0.0623665,-0.0186769
0.0616442,-0.0187169
0.0616442,-0.0187169
0.0656598,-0.0187551
0.0656598,-0.0187551
0.0656598,-0.0187551
0.0600528,-0.0181427
0.0585123,-0.0236749
0.0585123,-0.0236749
0.0586607,-0.0169853
0.0575148,-0.0169669
0.058054,-0.0188904
0.0580305,-0.0173215
0.054748,-0.00955198
0.057934,-0.0147049
0.0619502,-0.00736265
0.0606932,-0.00622433
0.0677398,-0.0107396
0.058162,-0.00911667
0.0553182,-0.00529465
0.0563502,-0.00802645
0.0545713,-0.00439367
0.0545713,-0.00439367
0.048846,-0.0141827
0.048846,-0.0141827
0.053998,-0.00625635
0.053998,-0.00625635
0.053998,-0.00625635
0.053998,-0.00625635
0.0552668,-0.00881593
0.0552668,-0.00881593
0.0536208,-0.0118672
0.0536208,-0.0118672
0.0557482,-0.0120659
0.0525685,-0.0102146
0.0525685,-0.0102146
0.0539058,-0.0136555
0.0587358,-0.0170151
0.0587358,-0.0170151
0.0579677,-0.00977495
0.0579677,-0.00977495
0.0574047,-0.0123602
0.0542612,-0.0163606
0.0556623,-0.0176234
0.0582922,-0.0098005
0.0649083,-0.0131338
0.0573483,-0.00868193
0.066493,-0.00833915
0.0621533,-0.0166405
0.0634757,-0.0173751
0.0614598,-0.0206487
0.0624002,-0.0200045
0.0595465,-0.0156855
0.0524965,-0.0139465
0.0553468,-0.0203655
0.058394,-0.0212995
0.0528972,-0.017758
0.0534092,-0.0198041
0.050744,-0.0161421
0.0560535,-0.0122914
0.053679,-0.0195059
0.0516765,-0.0150057
0.0480187,-0.0218795
0.0460207,-0.0267495
0.0460207,-0.0267495
0.0488463,-0.0175456
0.0488463,-0.0175456
0.0488463,-0.0175456
0.0481053,-0.0284553
0.0461403,-0.0165594
0.049516,-0.0157358
0.0442278,-0.0210518
0.0458745,-0.0163658
0.0458745,-0.0163658
0.0485927,-0.0162637
0.0477412,-0.0154777
0.0477412,-0.0154777
0.0442365,-0.0253978
0.043127,-0.0168055
0.046423,-0.0152147
0.0507382,-0.0207863
0.0523038,-0.0209211
0.0531465,-0.0241028
