MDTU,min_min,min_max,max_min,max_max5
1,-4.01211,0.125494,-0.0205048,0.675041
2,-3.11396,0.144892,-0.0130416,0.715019
3,-4.03417,0.146409,-0.0483386,0.702492
4,-3.56414,0.185658,-0.078027,0.687229
5,-4.29012,0.136395,-0.0285955,0.712548
6,-3.27698,0.139138,-0.0288767,0.691724
7,-4.1315,0.136844,-0.0548476,0.724633
8,-3.68627,0.151451,-0.0427398,0.723814
9,-5.12448,0.149237,-0.0593482,0.723347
10,-4.60638,0.120449,-0.0749315,0.764415
11,-4.65575,0.150143,-0.0416863,0.706284
12,-3.67935,0.143966,-0.0580681,0.707458
13,-4.65926,0.185018,-0.0340738,0.725576
14,-4.02934,0.148107,-0.0187336,0.710212
15,-4.02934,0.148107,-0.0187336,0.710212
16,-4.02934,0.148107,-0.0187336,0.710212
17,-3.84556,0.15535,-0.0426169,0.723486
18,-4.80829,0.137685,-0.0609154,0.712752
19,-3.99203,0.129451,-0.0500911,0.697104
20,-3.60247,0.128412,-0.00527464,0.709184
21,-3.97215,0.12207,-0.0512235,0.693192
22,-3.664,0.131467,-0.0154586,0.710391
23,-4.7694,0.135647,-0.0324613,0.695557
24,-3.88244,0.14623,-0.0374099,0.719392
25,-3.77454,0.116851,-0.0425764,0.704083
26,-4.00984,0.11646,-0.0466208,0.704649
27,-4.00984,0.11646,-0.0466208,0.704649
28,-4.00984,0.11646,-0.0466208,0.704649
29,-4.41679,0.164829,-0.0714643,0.715619
30,-5.24737,0.139421,-0.0671037,0.70046
31,-4.30927,0.142494,-0.0320499,0.702411
32,-4.30927,0.142494,-0.0320499,0.702411
33,-5.19858,0.132017,-0.0525057,0.68701
34,-5.19858,0.132017,-0.0525057,0.68701
35,-5.19858,0.132017,-0.0525057,0.68701
36,-3.91979,0.185398,-0.0600556,0.726704
37,-4.41694,0.209518,-0.0343626,0.702644
38,-4.41694,0.209518,-0.0343626,0.702644
39,-4.62216,0.13103,-0.0691195,0.696184
40,-3.9764,0.119396,-0.0472638,0.733031
41,-4.59033,0.138879,-0.0471005,0.7403
42,-4.12083,0.148333,-0.0458851,0.734274
43,-5.22183,0.145616,-0.0672537,0.703506
44,-5.23165,0.139434,-0.0212149,0.684979
45,-4.0413,0.157712,-0.0235313,0.724215
46,-3.45552,0.168032,-0.0159601,0.715608
47,-4.97399,0.130489,-0.044618,0.709889
48,-4.53577,0.133827,-0.0741244,0.720539
49,-5.61893,0.134681,-0.0539462,0.706908
50,-4.53003,0.124856,-0.0464505,0.714489
51,-4.10762,0.122645,-0.0376006,0.706294
52,-4.10762,0.122645,-0.0376006,0.706294
53,-3.2521,0.148445,-0.069172,0.704125
54,-3.2521,0.148445,-0.069172,0.704125
55,-4.0814,0.135916,-0.0221214,0.723308
56,-4.0814,0.135916,-0.0221214,0.723308
57,-4.0814,0.135916,-0.0221214,0.723308
58,-4.0814,0.135916,-0.0221214,0.723308
59,-3.76396,0.181619,-0.0579896,0.714686
60,-3.76396,0.181619,-0.0579896,0.714686
61,-4.49792,0.174344,-0.118599,0.706005
62,-4.49792,0.174344,-0.118599,0.706005
63,-4.06131,0.156122,-0.0409691,0.684381
64,-4.90333,0.163558,-0.0459217,0.761298
65,-4.90333,0.163558,-0.0459217,0.761298
66,-4.56383,0.127509,-0.0752748,0.699277
67,-5.64946,0.118117,-0.0835859,0.75542
68,-5.64946,0.118117,-0.0835859,0.75542
69,-3.76441,0.137929,-0.0678963,0.703996
70,-3.76441,0.137929,-0.0678963,0.703996
71,-4.93974,0.13472,-0.116275,0.701306
72,-3.85972,0.142361,-0.0210189,0.705261
73,-3.80736,0.15464,-0.0480977,0.718937
74,-4.63971,0.143799,-0.0825406,0.702046
75,-4.24136,0.129363,-0.0621498,0.689836
76,-3.94552,0.143559,-0.0367664,0.702257
77,-4.59973,0.146061,-0.0214587,0.703144
78,-5.08956,0.138518,-0.100074,0.730987
79,-4.7094,0.138662,-0.0165098,0.717298
80,-3.81857,0.142225,-0.0868403,0.686516
81,-3.78155,0.137386,-0.0802751,0.696921
82,-4.1518,0.164362,-0.0652188,0.706212
83,-3.40951,0.155891,-0.105112,0.708067
84,-3.65805,0.156338,-0.0453512,0.728568
85,-3.58911,0.127806,-0.0525433,0.705117
86,-4.48914,0.1339,-0.0161195,0.712926
87,-4.25053,0.120206,-0.0515393,0.749443
88,-4.2273,0.149749,-0.0369724,0.700629
89,-4.13113,0.12961,-0.0468791,0.69166
90,-4.55158,0.148046,-0.120826,0.694237
91,-4.24956,0.125474,-0.0568103,0.703427
92,-4.5219,0.15662,-0.0423379,0.705754
93,-5.38969,0.122726,-0.0419105,0.696558
94,-5.38969,0.122726,-0.0419105,0.696558
95,-4.24129,0.121328,-0.0896886,0.696139
96,-4.24129,0.121328,-0.0896886,0.696139
97,-4.24129,0.121328,-0.0896886,0.696139
98,-4.17211,0.169697,-0.023098,0.718895
99,-4.25892,0.115591,-0.0367657,0.714899
100,-5.00876,0.156042,-0.0271473,0.764836
101,-4.63358,0.163948,-0.000480477,0.70187
102,-4.55733,0.140676,-0.0418442,0.748819
103,-4.55733,0.140676,-0.0418442,0.748819
104,-4.29439,0.110905,-0.0768329,0.720023
105,-3.8688,0.178126,-0.0295351,0.722305
106,-3.8688,0.178126,-0.0295351,0.722305
107,-4.05458,0.156959,-0.0297921,0.731053
108,-4.4507,0.159332,-0.0942466,0.704851
109,-3.83403,0.120361,-0.074926,0.715423
110,-4.04083,0.144161,-0.0698138,0.72689
111,-4.04755,0.165124,-0.0894856,0.702416
112,-4.15586,0.152646,-0.117921,0.726023
113,-6.48184,0.157518,-0.0247212,0.742761
114,-4.25593,0.129687,-0.0541214,0.724358
115,-4.65206,0.115003,-0.0488033,0.696375
116,-3.74575,0.181942,-0.0545852,0.701866
117,-3.35554,0.187256,-0.101038,0.702795
118,-3.35554,0.187256,-0.101038,0.702795
119,-5.20162,0.148221,-0.0705108,0.692516
120,-3.95638,0.130872,-0.0547226,0.716787
121,-3.95638,0.130872,-0.0547226,0.716787
122,-3.95638,0.130872,-0.0547226,0.716787
123,-3.79646,0.119279,-0.0525111,0.726306
124,-3.60875,0.177273,-0.0419538,0.694833
125,-4.07706,0.173735,-0.0251108,0.729535
126,-6.13924,0.137871,-0.0590038,0.707428
127,-4.02016,0.130886,-0.043765,0.698501
128,-4.02016,0.130886,-0.043765,0.698501
129,-4.0864,0.141146,-0.0804583,0.732701
130,-4.11531,0.125494,-0.0760303,0.709579
131,-4.17789,0.134121,-0.03278,0.726586
132,-4.17789,0.134121,-0.03278,0.726586
133,-3.70938,0.169311,-0.115913,0.727587
134,-3.94939,0.140302,-0.0400966,0.731007
135,-4.75052,0.176809,-0.121886,0.706023
136,-4.75052,0.176809,-0.121886,0.706023
137,-5.10555,0.130498,-0.0376715,0.718199
138,-3.50611,0.144234,-0.0886392,0.695577
139,-4.51272,0.139136,-0.0262328,0.696223
140,-4.51272,0.139136,-0.0262328,0.696223
141,-4.51272,0.139136,-0.0262328,0.696223
142,-4.51272,0.139136,-0.0262328,0.696223
143,-3.53556,0.120157,-0.016524,0.715287
144,-5.01864,0.14975,-0.0527711,0.70946
145,-4.16174,0.130715,-0.016219,0.704933
146,-3.86843,0.126645,-0.0611925,0.722583
147,-4.36343,0.150443,-0.0874156,0.697842
148,-4.30786,0.118485,-0.0529696,0.714205
149,-3.91657,0.13462,-0.066659,0.683013
150,-4.35053,0.123901,-0.124302,0.754393
151,-4.35053,0.123901,-0.124302,0.754393
152,-4.34488,0.138985,-0.0564401,0.718267
153,-3.94222,0.160426,-0.11434,0.718215
154,-4.8947,0.158774,-0.0383699,0.690787
155,-4.8947,0.158774,-0.0383699,0.690787
156,-4.8947,0.158774,-0.0383699,0.690787
157,-5.77676,0.149229,-0.0544849,0.710215
158,-4.33088,0.142916,-0.0583637,0.720057
159,-4.8133,0.164317,-0.0255669,0.703428
160,-4.54252,0.152499,-0.0367336,0.704854
161,-4.33746,0.144338,-0.127864,0.726455
162,-4.43323,0.126505,-0.0582522,0.713964
163,-4.3592,0.17374,-0.0302901,0.72117
164,-4.51365,0.174596,-0.00704607,0.726117
165,-4.51365,0.174596,-0.00704607,0.726117
166,-4.51365,0.174596,-0.00704607,0.726117
167,-4.51365,0.174596,-0.00704607,0.726117
168,-4.51365,0.174596,-0.00704607,0.726117
169,-3.56905,0.128761,-0.0412172,0.698207
170,-4.40467,0.13863,-0.0203435,0.703473
171,-4.27696,0.128247,-0.0297303,0.713626
172,-5.69913,0.158534,-0.0443305,0.747405
173,-4.20457,0.140955,-0.067416,0.727485
174,-4.20457,0.140955,-0.067416,0.727485
175,-3.97222,0.169808,-0.0816701,0.736968
176,-3.42153,0.144177,-0.0705655,0.720712
177,-4.58727,0.149458,-0.0315899,0.741522
178,-4.58727,0.149458,-0.0315899,0.741522
179,-4.25696,0.131928,-0.0311795,0.727469
180,-5.31736,0.115596,-0.0423373,0.710357
181,-3.75276,0.142107,-0.053776,0.699224
182,-4.28516,0.138812,-0.0209936,0.704647
183,-4.42035,0.146128,-0.0833377,0.68929
184,-4.25589,0.135867,-0.067487,0.714975
185,-5.57745,0.139968,-0.0655245,0.733767
186,-3.64836,0.143129,-0.0410965,0.738798
187,-4.30748,0.112553,-0.0312504,0.702836
188,-4.30748,0.112553,-0.0312504,0.702836
189,-4.30748,0.112553,-0.0312504,0.702836
190,-3.91626,0.160069,-0.0178653,0.724084
191,-4.28103,0.142326,-0.0385206,0.704934
192,-4.28103,0.142326,-0.0385206,0.704934
193,-4.28103,0.142326,-0.0385206,0.704934
194,-3.44694,0.120718,-0.0339757,0.697558
195,-4.30185,0.155142,-0.0515245,0.737278
196,-3.9314,0.164725,-0.0345023,0.706481
197,-3.9314,0.164725,-0.0345023,0.706481
198,-4.67395,0.152363,-0.0606101,0.7033
199,-3.73223,0.165602,-0.0387696,0.702336
200,-4.81681,0.137172,-0.109261,0.701939
201,-4.81681,0.137172,-0.109261,0.701939
202,-4.60867,0.164433,-0.0388652,0.725266
203,-4.60867,0.164433,-0.0388652,0.725266
204,-4.60867,0.164433,-0.0388652,0.725266
205,-3.45343,0.125997,-0.0446552,0.709358
206,-5.77504,0.164849,-0.0791297,0.685899
207,-5.77504,0.164849,-0.0791297,0.685899
208,-5.77504,0.164849,-0.0791297,0.685899
209,-3.51422,0.159106,-0.0380425,0.706752
210,-4.6542,0.147312,-0.0322148,0.723917
211,-4.6542,0.147312,-0.0322148,0.723917
212,-6.35052,0.134823,-0.0553434,0.685613
213,-3.96259,0.137584,-0.0513096,0.722459
214,-4.27394,0.129438,-0.0397247,0.689561
215,-4.2302,0.129554,-0.045726,0.713589
216,-4.2302,0.129554,-0.045726,0.713589
217,-3.97148,0.132538,-0.0547674,0.741389
218,-3.97148,0.132538,-0.0547674,0.741389
219,-4.67379,0.125708,-0.0181221,0.69152
220,-4.67379,0.125708,-0.0181221,0.69152
221,-4.3129,0.136643,-0.0402149,0.697553
222,-3.3052,0.146345,-0.0299603,0.718764
223,-3.75223,0.148265,-0.0456732,0.712829
224,-4.22993,0.137371,-0.0381077,0.709549
225,-4.69237,0.124031,-0.0271689,0.731701
226,-4.69237,0.124031,-0.0271689,0.731701
227,-3.74077,0.1189,-0.0789,0.712706
228,-3.74077,0.1189,-0.0789,0.712706
229,-4.14806,0.120491,-0.00897777,0.72782
230,-4.14806,0.120491,-0.00897777,0.72782
231,-4.2883,0.180127,-0.0293993,0.707167
232,-4.25934,0.141684,-0.0497922,0.700317
233,-3.21772,0.170288,-0.0515599,0.712378
234,-3.83291,0.151482,-0.0322699,0.728961
235,-4.45443,0.145439,-0.0242847,0.710598
236,-4.23342,0.112319,-0.0609859,0.698854
237,-4.67744,0.149645,-0.0938689,0.717129
238,-3.97926,0.164768,-0.0743092,0.694621
239,-4.03893,0.130201,-0.0499295,0.694816
240,-4.08813,0.145578,-0.0889197,0.716288
241,-4.11158,0.145564,-0.0753926,0.692982
242,-4.4943,0.120168,-0.0492796,0.702126
243,-3.65285,0.150132,-0.0409881,0.694842
244,-4.26522,0.125393,-0.0415074,0.717607
245,-4.26522,0.125393,-0.0415074,0.717607
246,-4.40494,0.145996,-0.0529527,0.702597
247,-4.5977,0.150326,-0.0661773,0.697831
248,-4.20044,0.137346,-0.0497822,0.707275
249,-4.20044,0.137346,-0.0497822,0.707275
250,-4.01606,0.13653,-0.0772214,0.72716
251,-4.35841,0.130504,-0.0319111,0.702069
252,-3.78957,0.184716,-0.0598978,0.710009
253,-4.00395,0.151324,-0.139384,0.697988
254,-4.03237,0.150426,-0.0272947,0.700225
255,-3.77147,0.146262,-0.0642258,0.720406
256,-3.94161,0.16455,-0.0334429,0.71056
257,-3.76754,0.143344,-0.0310107,0.753788
258,-4.79439,0.157164,-0.0446008,0.730777
259,-4.79439,0.157164,-0.0446008,0.730777
260,-3.7395,0.142527,-0.115864,0.699926
261,-3.7395,0.142527,-0.115864,0.699926
262,-3.7395,0.142527,-0.115864,0.699926
263,-3.94718,0.131923,-0.021097,0.733592
264,-3.72936,0.151971,-0.0778017,0.726429
265,-3.72936,0.151971,-0.0778017,0.726429
266,-3.72936,0.151971,-0.0778017,0.726429
267,-4.53699,0.139329,-0.067396,0.698871
268,-4.57505,0.124834,-0.0616941,0.685335
269,-4.28259,0.135825,-0.0538429,0.728718
270,-5.2572,0.112687,-0.021247,0.692315
271,-3.73435,0.127709,-0.0534175,0.716598
272,-3.73435,0.127709,-0.0534175,0.716598
273,-5.02477,0.123461,-0.0364368,0.729039
274,-4.73831,0.152967,-0.0747923,0.742338
275,-3.80839,0.165133,-0.0266879,0.716851
276,-4.2928,0.126797,-0.0207317,0.706428
277,-3.57986,0.157369,-0.0739697,0.713196
278,-4.06547,0.116727,-0.0309168,0.692676
279,-4.4109,0.125136,-0.068235,0.702011
280,-3.77662,0.196092,-0.0527821,0.715462
281,-4.46426,0.173915,-0.0382932,0.695645
282,-4.20751,0.135037,-0.0574623,0.703448
283,-4.20751,0.135037,-0.0574623,0.703448
284,-4.14254,0.125078,-0.0313436,0.694548
285,-5.45458,0.163992,-0.0507444,0.738266
286,-4.03366,0.139146,-0.0255611,0.700273
287,-4.0672,0.183816,-0.0596462,0.686401
288,-4.77731,0.133925,-0.00754751,0.723232
289,-3.61689,0.172662,-0.0739989,0.706612
290,-4.69294,0.157967,-0.0272573,0.747169
291,-5.19548,0.130442,-0.0373846,0.69577
292,-4.07742,0.138241,-0.0382865,0.700532
293,-3.82186,0.15318,-0.0779061,0.703542
294,-3.82186,0.15318,-0.0779061,0.703542
295,-5.0144,0.160657,-0.0616769,0.721659
296,-5.0144,0.160657,-0.0616769,0.721659
297,-5.0144,0.160657,-0.0616769,0.721659
298,-4.22419,0.154813,-0.0769364,0.738548
299,-3.88741,0.171672,-0.0548898,0.722556
300,-3.88741,0.171672,-0.0548898,0.722556
301,-3.88741,0.171672,-0.0548898,0.722556
302,-3.88741,0.171672,-0.0548898,0.722556
303,-3.7202,0.138562,-0.0651424,0.695287
304,-3.7202,0.138562,-0.0651424,0.695287
305,-3.7202,0.138562,-0.0651424,0.695287
306,-3.7202,0.138562,-0.0651424,0.695287
307,-3.57091,0.155247,-0.0791318,0.713648
308,-3.60157,0.163807,-0.150742,0.710173
309,-4.21113,0.13814,-0.0431648,0.688657
310,-4.21113,0.13814,-0.0431648,0.688657
311,-4.21113,0.13814,-0.0431648,0.688657
312,-3.68562,0.134535,-0.0516974,0.727062
313,-4.52752,0.138937,-0.0983341,0.705687
314,-4.24511,0.159084,-0.0384944,0.718791
315,-4.24511,0.159084,-0.0384944,0.718791
316,-4.01886,0.157494,-0.0326098,0.724368
317,-4.39324,0.124834,-0.0234611,0.696774
318,-3.78135,0.124077,-0.0661165,0.704619
319,-3.59878,0.137234,-0.0469577,0.696997
320,-3.96198,0.177939,-0.0175146,0.705219
321,-5.20166,0.16043,-0.0508532,0.703851
322,-3.74097,0.154114,-0.00602568,0.701361
323,-4.05854,0.124083,-0.0807989,0.702588
324,-4.24845,0.114206,-0.0107672,0.718176
325,-3.9262,0.109973,-0.010001,0.692265
326,-5.16452,0.14663,-0.0662882,0.694676
327,-4.41943,0.123374,-0.027827,0.7077
328,-3.8199,0.132814,-0.0745174,0.695343
329,-3.78951,0.127128,-0.0796763,0.72314
330,-4.00072,0.141429,-0.0597421,0.705407
331,-4.5548,0.121723,-0.0291538,0.735681
332,-4.06503,0.143844,-0.0313031,0.72833
333,-4.37555,0.139815,-0.0824663,0.721765
334,-4.82972,0.108492,-0.0577842,0.698601
335,-3.68868,0.170295,-0.077067,0.729968
336,-3.68868,0.170295,-0.077067,0.729968
337,-4.41646,0.144336,-0.0429502,0.691707
338,-3.91231,0.106772,-0.0358095,0.705171
339,-3.6413,0.136616,-0.0314744,0.703815
340,-5.61177,0.122166,-0.0249718,0.711244
341,-5.61177,0.122166,-0.0249718,0.711244
342,-4.50699,0.151149,-0.0269612,0.699604
343,-4.60152,0.141662,-0.0224067,0.716859
344,-3.64955,0.14091,-0.0559303,0.689661
345,-3.64955,0.14091,-0.0559303,0.689661
346,-3.64955,0.14091,-0.0559303,0.689661
347,-5.46894,0.172249,-0.0668856,0.714088
348,-4.70092,0.142214,-0.0712078,0.703042
349,-4.53251,0.136797,-0.0598307,0.716635
350,-6.33276,0.15298,-0.0406679,0.730879
351,-3.8508,0.154939,-0.0519845,0.699978
352,-4.20356,0.144932,-0.0257517,0.697169
353,-3.96103,0.134035,-0.0498871,0.711813
354,-3.96103,0.134035,-0.0498871,0.711813
355,-3.96103,0.134035,-0.0498871,0.711813
356,-3.83014,0.125086,-0.0331321,0.715609
357,-4.07118,0.146971,-0.0822624,0.707509
358,-4.4932,0.135638,-0.0343924,0.698286
359,-4.70939,0.118878,-0.0194129,0.711468
360,-4.53654,0.137131,-0.0515427,0.698584
361,-5.05159,0.122358,-0.0642469,0.73263
362,-4.05917,0.153345,-0.060151,0.717581
363,-4.43443,0.179859,-0.0306807,0.701062
364,-4.31526,0.1719,-0.0671963,0.711615
365,-4.00784,0.147128,-0.0421579,0.722258
366,-5.34824,0.11829,-0.0609349,0.715466
367,-5.70293,0.147454,-0.0589104,0.690353
368,-3.40866,0.11268,-0.0422223,0.683021
369,-3.40866,0.11268,-0.0422223,0.683021
370,-3.20239,0.146515,-0.024431,0.722947
371,-4.52639,0.120623,-0.0498286,0.697142
372,-3.76198,0.141628,-0.0734871,0.721301
373,-6.2888,0.145222,-0.0248663,0.724806
374,-3.53278,0.144702,-0.131871,0.725121
375,-4.63313,0.183311,-0.0626881,0.697893
376,-3.88771,0.201301,-0.0906871,0.721845
377,-4.26389,0.142364,-0.0572048,0.694971
378,-4.41452,0.139502,-0.0904299,0.7033
379,-3.98089,0.178917,-0.0298371,0.734269
380,-4.82024,0.160915,-0.0142215,0.740761
381,-4.11733,0.132942,-0.0484981,0.694784
382,-4.40058,0.122429,-0.0602957,0.715883
383,-4.82269,0.165023,-0.0677384,0.709316
384,-4.18517,0.13689,0.00130032,0.719236
385,-4.50458,0.138952,-0.0732737,0.697875
386,-4.50458,0.138952,-0.0732737,0.697875
387,-4.50458,0.138952,-0.0732737,0.697875
388,-5.04262,0.163892,-0.0403422,0.707353
389,-5.04262,0.163892,-0.0403422,0.707353
390,-4.27844,0.152898,-0.0636373,0.704342
391,-4.18941,0.12832,-0.0447618,0.698619
392,-4.32038,0.138176,-0.0219574,0.702003
393,-4.50501,0.130911,-0.0451845,0.709236
394,-4.05809,0.144423,-0.036543,0.729986
395,-4.05809,0.144423,-0.036543,0.729986
396,-5.44058,0.16845,-0.0690805,0.703972
397,-5.3528,0.147548,-0.044377,0.710268
398,-3.59397,0.162816,-0.0479977,0.724061
399,-3.95512,0.147797,-0.0595308,0.705463
400,-4.91905,0.125022,-0.0254777,0.713648
401,-4.31049,0.12353,-0.147628,0.73411
402,-3.55923,0.14246,-0.032817,0.708333
403,-3.30824,0.166831,-0.0332676,0.696209
404,-3.30824,0.166831,-0.0332676,0.696209
405,-4.29697,0.140327,-0.0779733,0.695139
406,-4.21711,0.149906,-0.0377672,0.719846
407,-4.64461,0.129969,-0.0722233,0.738395
408,-3.29635,0.13009,-0.0548296,0.703439
409,-4.46636,0.129489,-0.0321067,0.701051
410,-3.70639,0.172471,-0.0340002,0.694486
411,-5.44744,0.158208,-0.0425046,0.732765
412,-4.93977,0.159414,-0.0398465,0.738738
413,-4.94314,0.146236,-0.0643185,0.72497
414,-5.74372,0.15787,-0.0810341,0.738107
415,-4.42115,0.13865,-0.108741,0.736456
416,-5.03435,0.158145,-0.0869168,0.698781
417,-3.53568,0.136943,-0.0703429,0.687126
418,-4.57257,0.127767,-0.0156622,0.741184
419,-4.57257,0.127767,-0.0156622,0.741184
420,-4.11839,0.129088,-0.0291895,0.676363
421,-5.5009,0.160041,-0.0271905,0.72009
