MDTU,min_ave,max_ave
1,-0.421228,0.367926
2,-0.450888,0.375704
3,-0.465446,0.37824
4,-0.474818,0.378637
5,-0.479827,0.378763
6,-0.482372,0.378338
7,-0.483884,0.378485
8,-0.484851,0.378341
9,-0.485248,0.378252
10,-0.485358,0.378068
11,-0.485565,0.378016
12,-0.485673,0.377852
13,-0.485201,0.377846
14,-0.485476,0.377878
15,-0.485476,0.377878
16,-0.485476,0.377878
17,-0.485331,0.377869
18,-0.485371,0.377838
19,-0.485349,0.377731
20,-0.48526,0.377768
21,-0.485391,0.377878
22,-0.485384,0.377811
23,-0.485524,0.377828
24,-0.485536,0.377673
25,-0.485771,0.377696
26,-0.485695,0.377621
27,-0.485695,0.377621
28,-0.485695,0.377621
29,-0.485308,0.377564
30,-0.485192,0.37752
31,-0.48554,0.377411
32,-0.48554,0.377411
33,-0.485218,0.377521
34,-0.485218,0.377521
35,-0.485218,0.377521
36,-0.485223,0.377486
37,-0.485352,0.377178
38,-0.485352,0.377178
39,-0.485698,0.377388
40,-0.485372,0.37716
41,-0.484626,0.377248
42,-0.484786,0.377428
43,-0.484753,0.377317
44,-0.48482,0.377351
45,-0.484953,0.377219
46,-0.484636,0.377246
47,-0.484961,0.376988
48,-0.484401,0.377045
49,-0.484719,0.377162
50,-0.484988,0.377289
51,-0.484462,0.377149
52,-0.484462,0.377149
53,-0.484818,0.377331
54,-0.484818,0.377331
55,-0.485038,0.377331
56,-0.485038,0.377331
57,-0.485038,0.377331
58,-0.485038,0.377331
59,-0.484388,0.377307
60,-0.484388,0.377307
61,-0.484836,0.377067
62,-0.484836,0.377067
63,-0.484908,0.376961
64,-0.485408,0.377031
65,-0.485408,0.377031
66,-0.484965,0.377213
67,-0.484921,0.377127
68,-0.484921,0.377127
69,-0.485133,0.377029
70,-0.485133,0.377029
71,-0.484612,0.376982
72,-0.484948,0.376986
73,-0.48466,0.376902
74,-0.484411,0.377145
75,-0.485233,0.377099
76,-0.484585,0.37707
77,-0.484747,0.376901
78,-0.484472,0.377128
79,-0.484272,0.377049
80,-0.484818,0.377133
81,-0.484941,0.376938
82,-0.48462,0.377205
83,-0.484816,0.377209
84,-0.484545,0.377088
85,-0.484868,0.376936
86,-0.48476,0.377101
87,-0.484338,0.377182
88,-0.484582,0.377213
89,-0.485212,0.376978
90,-0.484105,0.376886
91,-0.485054,0.376907
92,-0.484672,0.377111
93,-0.48458,0.377228
94,-0.48458,0.377228
95,-0.484721,0.376975
96,-0.484721,0.376975
97,-0.484721,0.376975
98,-0.484382,0.376981
99,-0.484078,0.377055
100,-0.484588,0.376855
101,-0.483843,0.377036
102,-0.483828,0.376974
103,-0.483828,0.376974
104,-0.484179,0.376733
105,-0.484231,0.377025
106,-0.484231,0.377025
107,-0.484366,0.376962
108,-0.484429,0.37679
109,-0.48437,0.376805
110,-0.484138,0.3768
111,-0.484504,0.376788
112,-0.484314,0.376772
113,-0.484234,0.376822
114,-0.484005,0.376822
115,-0.484745,0.376876
116,-0.484305,0.376948
117,-0.484378,0.376829
118,-0.484378,0.376829
119,-0.484491,0.376727
120,-0.485004,0.376951
121,-0.485004,0.376951
122,-0.485004,0.376951
123,-0.48457,0.376569
124,-0.484573,0.37686
125,-0.484664,0.376496
126,-0.484621,0.376816
127,-0.484591,0.376599
128,-0.484591,0.376599
129,-0.48456,0.376424
130,-0.483655,0.376497
131,-0.483701,0.376511
132,-0.483701,0.376511
133,-0.484492,0.3766
134,-0.484061,0.376819
135,-0.483761,0.376565
136,-0.483761,0.376565
137,-0.483953,0.376612
138,-0.484322,0.376787
139,-0.484367,0.376717
140,-0.484367,0.376717
141,-0.484367,0.376717
142,-0.484367,0.376717
143,-0.484116,0.376741
144,-0.484032,0.376698
145,-0.483924,0.376733
146,-0.483893,0.376592
147,-0.484035,0.376744
148,-0.484129,0.376658
149,-0.483647,0.376685
150,-0.484092,0.376683
151,-0.484092,0.376683
152,-0.483812,0.376704
153,-0.484343,0.376551
154,-0.48444,0.376525
155,-0.48444,0.376525
156,-0.48444,0.376525
157,-0.483918,0.376388
158,-0.484371,0.376536
159,-0.484003,0.376448
160,-0.484076,0.376691
161,-0.483671,0.376536
162,-0.48405,0.376561
163,-0.484368,0.376545
164,-0.483438,0.376601
165,-0.483438,0.376601
166,-0.483438,0.376601
167,-0.483438,0.376601
168,-0.483438,0.376601
169,-0.484402,0.376613
170,-0.483985,0.376353
171,-0.483892,0.376678
172,-0.483903,0.376485
173,-0.4838,0.376524
174,-0.4838,0.376524
175,-0.483397,0.376398
176,-0.483165,0.376458
177,-0.483457,0.376555
178,-0.483457,0.376555
179,-0.483209,0.37644
180,-0.483945,0.376521
181,-0.483714,0.376504
182,-0.483631,0.37661
183,-0.483996,0.376711
184,-0.483972,0.376353
185,-0.484254,0.376417
186,-0.483195,0.376297
187,-0.483781,0.376408
188,-0.483781,0.376408
189,-0.483781,0.376408
190,-0.48438,0.376503
191,-0.48364,0.376472
192,-0.48364,0.376472
193,-0.48364,0.376472
194,-0.483754,0.376597
195,-0.483446,0.376349
196,-0.483589,0.376334
197,-0.483589,0.376334
198,-0.483639,0.376502
199,-0.484312,0.376517
200,-0.483634,0.376653
201,-0.483634,0.376653
202,-0.483728,0.376658
203,-0.483728,0.376658
204,-0.483728,0.376658
205,-0.484468,0.376746
