MDTU,min_width,max_width
1,0.185445,0.0714303
2,0.20177,0.0743728
3,0.210412,0.075599
4,0.216096,0.0766388
5,0.218483,0.0771635
6,0.219546,0.0773308
7,0.220504,0.077441
8,0.221739,0.0775822
9,0.22209,0.0776633
10,0.22201,0.0778217
11,0.222627,0.0777974
12,0.222067,0.0779124
13,0.222384,0.0779618
14,0.222513,0.0779255
15,0.222513,0.0779255
16,0.222513,0.0779255
17,0.221856,0.0779703
18,0.222233,0.0779232
19,0.2221,0.0780903
20,0.222064,0.0779292
21,0.22213,0.0778671
22,0.222414,0.0779097
23,0.222458,0.077956
24,0.222762,0.0780112
25,0.2228,0.0779816
26,0.222861,0.0780432
27,0.222861,0.0780432
28,0.222861,0.0780432
29,0.222544,0.0779915
30,0.223017,0.0782028
31,0.223116,0.0781004
32,0.223116,0.0781004
33,0.223337,0.0782544
34,0.223337,0.0782544
35,0.223337,0.0782544
36,0.22235,0.0782736
37,0.222722,0.0782448
38,0.222722,0.0782448
39,0.222434,0.0781861
40,0.222263,0.0781159
41,0.222127,0.0779658
42,0.222401,0.0780884
43,0.222031,0.0780125
44,0.222426,0.0781087
45,0.221917,0.0780841
46,0.221391,0.0779298
47,0.222027,0.0780763
48,0.221989,0.0780173
49,0.222536,0.0781367
50,0.222498,0.0781296
51,0.221915,0.0780899
52,0.221915,0.0780899
53,0.221841,0.0780669
54,0.221841,0.0780669
55,0.222308,0.0780138
56,0.222308,0.0780138
57,0.222308,0.0780138
58,0.222308,0.0780138
59,0.221542,0.0781157
60,0.221542,0.0781157
61,0.222554,0.0780923
62,0.222554,0.0780923
63,0.22251,0.0782513
64,0.222889,0.0780249
65,0.222889,0.0780249
66,0.222538,0.0781023
67,0.222233,0.078251
68,0.222233,0.078251
69,0.222729,0.0782309
70,0.222729,0.0782309
71,0.221988,0.0780443
72,0.222379,0.0780568
73,0.22174,0.0781691
74,0.222585,0.0781572
75,0.222148,0.0782023
76,0.22231,0.0781299
77,0.222098,0.0781513
78,0.222146,0.0780485
79,0.222395,0.0780563
80,0.222538,0.0781409
81,0.222483,0.0782524
82,0.222131,0.0781726
83,0.222021,0.0781495
84,0.222103,0.078067
85,0.221848,0.0781569
86,0.222326,0.0781903
87,0.222114,0.078199
88,0.2223,0.0781128
89,0.22292,0.078003
90,0.221778,0.0780629
91,0.222602,0.0779544
92,0.222336,0.0779795
93,0.222066,0.0778763
94,0.222066,0.0778763
95,0.221755,0.0778573
96,0.221755,0.0778573
97,0.221755,0.0778573
98,0.222031,0.0780266
99,0.221779,0.0779568
100,0.222422,0.0779078
101,0.221475,0.0780062
102,0.221208,0.0778417
103,0.221208,0.0778417
104,0.222013,0.0780234
105,0.221677,0.0779962
106,0.221677,0.0779962
107,0.221819,0.0782142
108,0.221585,0.0781201
109,0.222133,0.0780876
110,0.221837,0.0782165
111,0.22212,0.0781179
112,0.221861,0.0781642
113,0.221937,0.0780537
114,0.222068,0.0780449
115,0.222048,0.0781897
116,0.222206,0.078133
117,0.221763,0.0781778
118,0.221763,0.0781778
119,0.222465,0.0781958
120,0.222998,0.0781316
121,0.222998,0.0781316
122,0.222998,0.0781316
123,0.222547,0.0782807
124,0.222295,0.0782696
125,0.222909,0.0782229
126,0.222494,0.0780617
127,0.222327,0.0782852
128,0.222327,0.0782852
129,0.222363,0.0783213
130,0.222094,0.0779824
131,0.222212,0.0781577
132,0.222212,0.0781577
133,0.222994,0.0782075
134,0.222401,0.0782381
135,0.22176,0.0780731
136,0.22176,0.0780731
137,0.222278,0.0781108
138,0.222005,0.0781345
139,0.222349,0.0780901
140,0.222349,0.0780901
141,0.222349,0.0780901
142,0.222349,0.0780901
143,0.222596,0.0780529
144,0.22169,0.0779668
145,0.221828,0.0779372
146,0.222274,0.0780551
147,0.222033,0.0780008
148,0.221724,0.0782368
149,0.222103,0.0781806
150,0.221738,0.078169
151,0.221738,0.078169
152,0.222216,0.0781093
153,0.221989,0.0781938
154,0.222412,0.0782854
155,0.222412,0.0782854
156,0.222412,0.0782854
157,0.221654,0.0783935
158,0.222305,0.0780762
159,0.222367,0.0781658
160,0.221567,0.0781932
161,0.221671,0.0780884
162,0.221653,0.0781296
163,0.222535,0.0781651
164,0.221553,0.0779342
165,0.221553,0.0779342
166,0.221553,0.0779342
167,0.221553,0.0779342
168,0.221553,0.0779342
169,0.222016,0.0779589
170,0.222368,0.0780955
171,0.221626,0.078141
172,0.222246,0.0781493
173,0.221626,0.0779536
174,0.221626,0.0779536
175,0.221567,0.0780269
176,0.221251,0.0780335
177,0.222195,0.0779677
178,0.222195,0.0779677
179,0.221444,0.0780548
180,0.221874,0.0780693
181,0.221923,0.0779173
182,0.221491,0.0780074
183,0.221506,0.0779537
184,0.222075,0.0782477
185,0.221801,0.0779986
186,0.221005,0.0780213
187,0.22193,0.0781618
188,0.22193,0.0781618
189,0.22193,0.0781618
190,0.221964,0.0780885
191,0.22175,0.0782252
192,0.22175,0.0782252
193,0.22175,0.0782252
194,0.221963,0.0780245
195,0.222088,0.0780983
196,0.221459,0.0779286
197,0.221459,0.0779286
198,0.221479,0.0781749
199,0.22211,0.077968
200,0.221821,0.0781691
201,0.221821,0.0781691
202,0.221911,0.0781681
203,0.221911,0.0781681
204,0.221911,0.0781681
205,0.221896,0.0781243
206,0.221951,0.0780252
207,0.221951,0.0780252
208,0.221951,0.0780252
209,0.221518,0.0779897
210,0.22115,0.0778912
211,0.22115,0.0778912
212,0.221542,0.0780367
213,0.221629,0.0780576
214,0.222111,0.0781393
215,0.221556,0.0781472
216,0.221556,0.0781472
217,0.22184,0.0780272
218,0.22184,0.0780272
219,0.222335,0.0780727
220,0.222335,0.0780727
221,0.221786,0.0780269
222,0.22146,0.0780311
223,0.221875,0.0780003
224,0.221336,0.0780364
225,0.221902,0.0781717
226,0.221902,0.0781717
227,0.221434,0.0780883
228,0.221434,0.0780883
229,0.222334,0.0780416
230,0.222334,0.0780416
231,0.222327,0.0781314
232,0.221539,0.0782159
233,0.221296,0.0780502
234,0.221807,0.0781554
235,0.222576,0.0780776
236,0.221786,0.0778824
237,0.221269,0.077984
238,0.221529,0.0780583
239,0.221679,0.0780292
240,0.221492,0.0780314
241,0.221385,0.0779569
242,0.222044,0.077951
243,0.221651,0.0781842
244,0.221857,0.0780671
245,0.221857,0.0780671
246,0.222509,0.0780183
247,0.222289,0.0782167
248,0.221838,0.077995
249,0.221838,0.077995
250,0.22167,0.077904
251,0.221352,0.0779005
252,0.221238,0.077918
253,0.221743,0.0781082
254,0.22178,0.0781099
255,0.221562,0.0781876
256,0.221631,0.0779927
257,0.221473,0.0778989
258,0.221521,0.0781484
259,0.221521,0.0781484
260,0.221718,0.0779551
261,0.221718,0.0779551
262,0.221718,0.0779551
263,0.221606,0.0778936
264,0.221331,0.0782504
265,0.221331,0.0782504
266,0.221331,0.0782504
267,0.222216,0.0780844
268,0.221559,0.0780173
269,0.222548,0.0783294
270,0.221713,0.078204
271,0.221502,0.0780994
272,0.221502,0.0780994
273,0.222157,0.0781333
274,0.221546,0.0779642
275,0.220821,0.0779485
276,0.221898,0.0780757
277,0.221337,0.0780645
278,0.221433,0.0780165
279,0.221946,0.0780194
280,0.221376,0.0780366
281,0.221769,0.0781301
282,0.221398,0.0781171
283,0.221398,0.0781171
284,0.221494,0.0781598
285,0.222478,0.07801
286,0.222114,0.0782775
287,0.221668,0.0781405
288,0.22212,0.0781426
289,0.221543,0.0781446
290,0.221921,0.0780322
291,0.221964,0.0779812
292,0.221319,0.078098
293,0.221219,0.0782092
294,0.221219,0.0782092
295,0.221246,0.0781089
296,0.221246,0.0781089
297,0.221246,0.0781089
298,0.221778,0.0782142
299,0.222265,0.0781238
300,0.222265,0.0781238
301,0.222265,0.0781238
302,0.222265,0.0781238
303,0.221888,0.0782358
