t,eps_f,eps_g
10,0.04,0.005
20,0.04,0.005
30,0.04,0.005
40,0.04,0.005
50,0.04,0.005
60,0.04,0.005
70,0.04,0.005
80,0.04,0.005
90,0.04,0.005
100,0.04,0.005
110,0.04,0.005
120,0.04,0.005
130,0.04,0.005
140,0.04,0.005
150,0.04,0.005
160,0.04,0.005
170,0.04,0.005
180,0.04,0.005
190,0.04,0.005
200,0.04,0.005
210,0.04,0.005
220,0.04,0.005
230,0.04,0.005
240,0.04,0.005
250,0.04,0.005
260,0.04,0.005
270,0.04,0.005
280,0.04,0.005
290,0.04,0.005
300,0.04,0.005
310,0.04,0.005
320,0.04,0.005
330,0.04,0.005
340,0.04,0.005
350,0.04,0.005
360,0.04,0.005
370,0.04,0.005
380,0.04,0.005
390,0.04,0.005
400,0.04,0.005
410,0.04,0.005
420,0.04,0.005
430,0.04,0.005
440,0.04,0.005
450,0.04,0.005
460,0.04,0.005
470,0.04,0.005
480,0.04,0.005
490,0.04,0.005
500,0.04,0.005
510,0.04,0.005
520,0.04,0.005
530,0.04,0.005
540,0.04,0.005
550,0.04,0.005
560,0.04,0.005
570,0.04,0.005
580,0.04,0.005
590,0.04,0.005
600,0.04,0.005
610,0.04,0.005
620,0.04,0.005
630,0.04,0.005
640,0.04,0.005
650,0.04,0.005
660,0.04,0.005
670,0.04,0.005
680,0.04,0.005
690,0.04,0.005
700,0.04,0.005
710,0.04,0.005
720,0.04,0.005
730,0.04,0.005
740,0.04,0.005
750,0.04,0.005
760,0.04,0.005
770,0.04,0.005
780,0.04,0.005
790,0.04,0.005
800,0.04,0.005
810,0.04,0.005
820,0.04,0.005
830,0.04,0.005
840,0.04,0.005
850,0.04,0.005
860,0.04,0.005
870,0.04,0.005
880,0.04,0.005
890,0.04,0.005
900,0.04,0.005
910,0.04,0.005
920,0.04,0.005
930,0.04,0.005
940,0.04,0.005
950,0.04,0.005
960,0.04,0.005
970,0.04,0.005
980,0.04,0.005
990,0.04,0.005
1000,0.04,0.005
1010,0.04,0.005
1020,0.04,0.005
1030,0.04,0.005
1040,0.04,0.005
1050,0.04,0.005
1060,0.04,0.005
1070,0.04,0.005
1075,0.04,0.005
1080,0.04,0.005
1085,0.04,0.005
1090,0.04,0.005
1100,0.04,0.005
1110,0.04,0.005
1120,0.04,0.005
1130,0.04,0.005
1140,0.04,0.005
1150,0.04,0.005
1160,0.04,0.005
1170,0.04,0.005
1180,0.04,0.005
1190,0.04,0.005
1200,0.04,0.005
1210,0.04,0.005
1220,0.04,0.005
1230,0.04,0.005
1240,0.04,0.005
1250,0.04,0.005
1255,0.04,0.005
1260,0.04,0.005
