t,cost
10,91477.3
20,85068.8
30,89258.7
40,87978.7
50,48064
60,52928
70,55168
80,51904
90,50538.7
100,52352
110,53546.7
120,57322.7
130,60437.3
140,61461.3
150,65536
160,57344
170,61802.7
180,60501.3
190,57280
200,53888
210,51754.7
220,52288
230,57472
240,55914.7
250,54485.3
260,54037.3
270,54378.7
280,53717.3
290,57258.7
300,55701.3
310,55808
320,54378.7
330,51989.3
340,50517.3
350,50645.3
360,52330.7
370,63210.7
380,66368
390,66688
400,66773.3
410,64810.7
420,65536
430,66005.3
440,65194.7
450,66965.3
460,68245.3
470,66794.7
480,61184
490,62016
500,58304
510,51648
520,61120
530,59818.7
540,62912
550,67306.7
560,67733.3
570,68266.7
580,70933.3
590,70741.3
600,69781.3
610,70677.3
620,65856
630,65408
640,63978.7
650,62613.3
660,64661.3
670,66069.3
680,58688
690,54698.7
700,59413.3
710,63637.3
720,63402.7
730,67712
740,69760
750,66261.3
760,74986.7
770,60160
780,66602.7
790,67050.7
800,65322.7
810,66368
820,70485.3
830,71658.7
840,63040
850,58581.3
860,53312
870,52544
880,52650.7
890,56341.3
900,56512
910,55765.3
920,53614.9
930,51182.9
940,57130.7
950,61815.5
960,60160
970,60817.1
980,57284.3
990,58905.6
1000,62429.9
1010,62216.5
1020,72721.1
1030,66670.9
1040,67464.5
1050,72797.9
1060,68932.3
1070,70237.9
1075,75596.8
1080,52898.1
1085,56686.9
1090,56942.9
1100,54656
1110,54826.7
1120,58538.7
1130,55338.7
1140,56320
1150,55978.7
1160,60885.3
1170,55381.3
1180,67200
1190,52565.3
1200,52437.3
1210,53760
1220,58410.7
1230,58368
1240,57600
1250,66901.3
1255,62395.7
1260,66338.1
1265,70553.6
1270,74376.5
1275,73523.2
1280,65245.9
1285,66013.9
1290,66679.5
1295,65245.9
1300,65177.6
1305,77294.9
1310,76987.7
1315,77124.3
1320,75093.3
1325,69341.9
1330,63897.6
1335,62105.6
1340,62378.7
1345,64460.8
1350,62839.5
1355,62327.5
1360,65996.8
1365,75878.4
1370,70826.7
1375,76288
1380,78045.9
1385,78182.4
1390,76339.2
1395,74325.3
1400,73489.1
1405,73472
1410,73984
1415,73659.7
1420,69785.6
1425,70621.9
1430,69461.3
1435,72942.9
1440,71406.9
1445,61491.2
1450,60876.8
1455,68437.3
1460,69956.3
1465,70109.9
1470,74086.4
1475,78045.9
1480,77465.6
1485,76100.3
1490,70758.4
1495,72977.1
1500,72789.3
1505,72140.8
1510,74632.5
1515,73250.1
1520,62702.9
1525,70502.4
1530,72977.1
1535,71867.7
1540,76509.9
1545,76612.3
1550,74683.7
1555,70570.7
1560,71628.8
1565,71441.1
1570,76117.3
1575,74547.2
1580,73250.1
1585,73011.2
1590,73762.1
1595,76219.7
1600,76731.7
1605,78540.8
1610,75963.7
1615,66542.9
1620,71236.3
1625,68625.1
1630,75946.7
1635,76288
1640,72430.9
1645,59033.6
1650,69597.9
1655,68300.8
1660,74837.3
1665,72857.6
1670,66423.5
1675,77858.1
1680,76151.5
1685,78148.3
1690,77858.1
1695,71936
1700,70400
1705,76100.3
1710,75963.7
1715,71901.9
1720,74615.5
1725,75161.6
1730,73437.9
1735,77670.4
1740,76629.3
1745,77090.1
1750,77772.8
1755,66867.2
1760,65996.8
1765,60040.5
1770,73796.3
1775,59033.6
1780,73454.9
1785,76612.3
1790,104858
1795,94190.9
1800,103646
1805,93798.4
1810,89702.4
1820,97536
1830,89514.7
1840,88490.7
1850,89258.7
1860,87125.3
1870,87552
1880,87552
1890,88149.3
1900,98218.7
1910,81911.5
1920,84181.3
1930,88234.7
1940,49945.6
1950,47069.9
1960,48810.7
1970,48844.8
1980,51882.7
1990,60842.7
2000,60416
2010,58752
2020,50986.7
2030,50048
2040,48640
2050,47616
2060,47232
2070,49152
2080,55893.3
2090,53845.3
2100,37563.7
2110,38732.8
2120,38348.8
2130,38109.9
2140,37196.8
2150,39475.2
2160,38877.9
2170,39475.2
2180,38425.6
2190,38272
2200,38604.8
2210,41045.3
2220,40089.6
2230,39236.3
2240,38604.8
2250,38579.2
2260,38084.3
2270,38144
2280,37760
2290,36923.7
2300,35959.5
2310,33638.4
2320,34773.3
2330,35729.1
2340,35140.3
2350,33988.3
2360,35481.6
2370,36616.5
2380,39296
2390,37171.2
2400,34423.5
2410,33117.9
2420,34013.9
2430,35899.7
2440,35899.7
2450,38570.7
2460,37120
2470,37760
2480,40516.3
2490,37068.8
2500,38272
2510,36710.4
2520,36753.1
2530,35643.7
2540,35899.7
2550,37009.1
2560,35754.7
2570,35234.1
2580,33740.8
2590,34389.3
2600,35456
2610,35840
2620,39202.1
2630,38161.1
2640,37760
2650,36522.7
2660,35200
2670,35174.4
2680,34798.9
2690,37034.7
2700,36744.5
2710,34525.9
2720,33911.5
2730,34551.5
2740,35430.4
2750,35003.7
2760,34935.5
2770,35848.5
2780,36172.8
2790,37060.3
2800,37632
2810,36488.5
2820,36053.3
2830,36334.9
2840,35746.1
2850,35302.4
2860,35208.5
2870,35046.4
2880,34218.7
2890,37504
2900,36608
2910,37205.3
2920,37239.5
2930,37546.7
2940,37026.1
2950,36556.8
2960,37188.3
2970,36659.2
2980,36360.5
2990,37367.5
3000,36428.8
3010,35131.7
3020,35626.7
3030,34414.9
3040,35302.4
3050,34133.3
3060,33271.5
3070,34082.1
3080,36206.9
3090,36394.7
3100,36488.5
3110,36480
3120,35993.6
3130,36923.7
3140,36633.6
3150,36488.5
3160,36531.2
3170,34594.1
3180,33237.3
3190,34747.7
3200,40721.1
3210,39304.5
3220,40533.3
3230,44544
3240,57565.9
3250,49408
3260,46711.5
3270,58555.7
3280,58094.9
3290,32119.5
3300,31931.7
3310,72072.5
3320,70741.3
3330,30122.7
3340,29593.6
3350,55517.9
3360,56507.7
3370,58350.9
3380,58402.1
3390,59033.6
3400,58163.2
3410,30208
3420,29218.1
3430,29576.5
3440,29354.7
3450,29713.1
3460,28808.5
3470,28228.3
3480,28142.9
3490,28637.9
3500,28450.1
3510,30020.3
3520,29508.3
3530,28979.2
3540,30634.7
3550,29696
3560,30515.2
3570,28160
3580,27221.3
3590,48896
3600,50824.5
3610,52804.3
3620,55517.9
3630,30993.1
3640,31334.4
3650,32068.3
3660,31675.7
3670,31829.3
3680,30924.8
3690,30924.8
3700,30771.2
3710,30668.8
3720,30361.6
3730,30941.9
3740,31453.9
3750,31266.1
3760,31129.6
3770,31232
3780,31675.7
3790,32324.3
3800,31556.3
3810,38860.8
3820,33536
3830,31061.3
3840,31197.9
3850,31812.3
3860,33228.8
3870,40328.5
3880,38775.5
3890,35601.1
3900,35379.2
3910,34252.8
3920,34389.3
3930,32768
3940,31863.5
3950,29883.7
3960,30481.1
3970,30976
3980,29917.9
3990,29900.8
4000,29781.3
4010,56064
4020,55978.7
4030,56456.5
4040,55654.4
4050,30890.7
4060,31112.5
4070,31914.7
4080,31624.5
4090,32017.1
4100,30242.1
4110,53811.2
4120,54510.9
4130,54118.4
4140,55244.8
4150,55398.4
4160,55893.3
4170,53145.6
4180,55296
4190,30822.4
4200,32887.5
4210,31880.5
4220,31334.4
4230,33092.3
4240,31897.6
4250,32290.1
4260,31914.7
4270,86510.9
4280,38638.9
4290,39389.9
4300,31556.3
4310,30805.3
4320,32221.9
4330,31897.6
4340,30702.9
4350,29218.1
4360,28501.3
4370,28006.4
4380,28296.5
4390,28313.6
4400,29081.6
4410,28996.3
4420,30122.7
4430,30856.5
4440,28774.4
4450,28757.3
4460,31146.7
4470,32460.8
4480,31761.1
4490,30993.1
4500,31624.5
4510,33109.3
4520,31061.3
4530,32256
4540,32563.2
4550,32273.1
4560,31607.5
4570,33621.3
4580,33058.1
4590,31266.1
4600,32699.7
4610,33177.6
4620,30805.3
4630,31368.5
4640,32017.1
4650,31010.1
4660,56012.8
4670,55756.8
4680,30668.8
4690,30651.7
4700,31163.7
4710,31027.2
4720,31232
4730,31709.9
4740,30481.1
4750,31488
4760,32580.3
4770,32170.7
4780,31624.5
4790,31214.9
4800,31539.2
4810,31453.9
4820,33297.1
4830,33894.4
4840,32989.9
4850,32256
4860,32000
4870,31829.3
4880,30890.7
4890,30890.7
4900,30446.9
4910,30020.3
4920,33365.3
4930,34952.5
4940,34150.4
4950,34781.9
4960,33757.9
4970,33314.1
4980,32750.9
4990,33774.9
5000,32836.3
5010,31334.4
5020,31692.8
5030,31948.8
5040,32887.5
5050,31453.9
5060,31197.9
5070,31317.3
5080,31880.5
5090,30190.9
5100,30668.8
5110,30327.5
5120,30737.1
5130,29883.7
5140,30378.7
5150,30993.1
5160,31778.1
5170,32904.5
5180,32051.2
5190,30242.1
5200,29730.1
5210,30429.9
5220,31590.4
5230,31419.7
5240,32904.5
5250,34082.1
5260,33672.5
5270,55347.2
5280,57292.8
5290,35259.7
5300,39492.3
5310,38826.7
5320,40738.1
5330,35464.5
5340,35054.9
5350,34611.2
5360,34082.1
5370,33604.3
5380,32392.5
5390,33041.1
5400,34286.9
5410,34747.7
5420,34764.8
5430,34730.7
5440,35345.1
5450,36164.3
5460,34884.3
5470,35942.4
5480,35242.7
5490,35584
5500,35976.5
5510,34525.9
5520,33501.9
5530,48469.3
5540,47223.5
5550,45038.9
5560,63266.1
5570,42103.5
5580,43144.5
5590,70195.2
5600,70775.5
5610,71099.7
5620,71799.5
5630,63692.8
5640,57412.3
5650,59204.3
5660,58982.4
5670,46660.3
5680,70331.7
5690,70775.5
5700,82449.1
5710,58589.9
5720,51370.7
5730,51507.2
5740,54203.7
5750,52753.1
5760,54801.1
5770,57429.3
5780,32597.3
5790,33006.9
5800,32529.1
5810,31726.9
5820,30225.1
5830,29747.2
5840,31402.7
5850,31317.3
5860,31778.1
5870,32529.1
5880,33143.5
5890,32733.9
5900,32238.9
5910,32136.5
5920,30668.8
5930,30754.1
5940,32819.2
5950,34457.6
5960,31897.6
5970,30720
5980,61286.4
5990,64409.6
6000,41250.1
6010,50995.2
6020,49885.9
6030,64273.1
6040,33262.9
6050,32512
6060,43946.7
6070,72704
6080,32989.9
6090,31317.3
6100,29849.6
6110,32119.5
6120,32785.1
6130,33450.7
6140,31283.2
6150,32204.8
6160,29388.8
6170,30976
6180,36693.3
6190,33160.5
6200,30481.1
6210,30446.9
6220,29747.2
6230,29371.7
6240,30907.7
6250,30378.7
6260,31300.3
6270,30310.4
6280,30958.9
6290,31351.5
6300,31880.5
6310,31658.7
6320,31385.6
6330,31556.3
6340,31505.1
6350,31470.9
6360,32051.2
6370,31863.5
6380,30293.3
6390,29405.9
6400,30583.5
6410,31914.7
6420,37495.5
6430,37922.1
6440,39816.5
6450,41335.5
6460,30344.5
6470,29405.9
6480,31675.7
6490,34525.9
6500,41164.8
6510,42734.9
6520,41472
6530,42598.4
6540,40277.3
6550,40243.2
6560,39236.3
6570,39628.8
6580,40345.6
6590,37700.3
6600,28586.7
6610,28774.4
6620,28740.3
6630,29047.5
6640,30532.3
6650,32187.7
6660,29610.7
6670,29269.3
6680,30464
6690,29730.1
