t,walltime
10,10720
20,9969
30,10460
40,10310
50,22530
60,24810
70,25860
80,24330
90,23690
100,24540
110,25100
120,26870
130,28330
140,28810
150,30720
160,26880
170,28970
180,28360
190,26850
200,25260
210,24260
220,24510
230,26940
240,26210
250,25540
260,25330
270,25490
280,25180
290,26840
300,26110
310,26160
320,25490
330,24370
340,23680
350,23740
360,24530
370,29630
380,31110
390,31260
400,31300
410,30380
420,30720
430,30940
440,30560
450,31390
460,31990
470,31310
480,28680
490,29070
500,27330
510,24210
520,28650
530,28040
540,29490
550,31550
560,31750
570,32000
580,33250
590,33160
600,32710
610,33130
620,30870
630,30660
640,29990
650,29350
660,30310
670,30970
680,27510
690,25640
700,27850
710,29830
720,29720
730,31740
740,32700
750,31060
760,35150
770,28200
780,31220
790,31430
800,30620
810,31110
820,33040
830,33590
840,29550
850,27460
860,24990
870,24630
880,24680
890,26410
900,26490
910,6535
920,6283
930,5998
940,6695
950,7244
960,7050
970,7127
980,6713
990,6903
1000,7316
1010,7291
1020,8522
1030,7813
1040,7906
1050,8531
1060,8078
1070,8231
1075,17718
1080,12398
1085,13286
1090,13346
1100,12810
1110,12850
1120,13720
1130,12970
1140,13200
1150,13120
1160,14270
1170,12980
1180,15750
1190,12320
1200,12290
1210,12600
1220,13690
1230,13680
1240,13500
1250,7840
1255,7312
1260,7774
1265,8268
1270,8716
1275,8616
1280,7646
1285,7736
1290,7814
1295,7646
1300,7638
1305,9058
1310,9022
1315,9038
1320,8800
1325,8126
1330,7488
1335,7278
1340,7310
1345,7554
1350,7364
1355,7304
1360,7734
1365,8892
1370,8300
1375,8940
1380,9146
1385,9162
1390,8946
1395,8710
1400,8612
1405,8610
1410,8670
1415,8632
1420,8178
1425,8276
1430,8140
1435,8548
1440,8368
1445,7206
1450,7134
1455,8020
1460,8198
1465,8216
1470,8682
1475,9146
1480,9078
1485,8918
1490,8292
1495,8552
1500,8530
1505,8454
1510,8746
1515,8584
1520,7348
1525,8262
1530,8552
1535,8422
1540,8966
1545,8978
1550,8752
1555,8270
1560,8394
1565,8372
1570,8920
1575,8736
1580,8584
1585,8556
1590,8644
1595,8932
1600,8992
1605,9204
1610,8902
