MDTU,plaq,Re(det),Im(det),link
1,0.745211,0.89373,0.961999,0.147844
2,0.795906,0.909179,0.926628,0.157198
3,0.817671,0.905682,0.897884,0.161723
4,0.830108,0.896433,0.872394,0.164389
5,0.83538,0.890026,0.854479,0.165796
6,0.838536,0.886894,0.848108,0.166748
7,0.841937,0.886401,0.844288,0.167196
8,0.843779,0.88609,0.844588,0.167735
9,0.846098,0.88627,0.840707,0.168064
10,0.846974,0.888043,0.840858,0.168339
11,0.848434,0.891268,0.845546,0.168621
12,0.848612,0.88985,0.843346,0.168773
13,0.850192,0.892722,0.846756,0.16896
14,0.851196,0.893808,0.844849,0.169043
15,0.851196,0.893808,0.844849,0.169043
16,0.851196,0.893808,0.844849,0.169043
17,0.847718,0.88972,0.843031,0.168737
18,0.848382,0.890056,0.843986,0.168712
19,0.850906,0.893696,0.841758,0.169254
20,0.850532,0.894115,0.845403,0.169171
21,0.851174,0.893542,0.845161,0.168987
22,0.850087,0.893958,0.845932,0.16897
23,0.851306,0.894711,0.844422,0.169091
24,0.853198,0.899544,0.847108,0.169462
25,0.852683,0.897557,0.84707,0.169581
26,0.85338,0.897339,0.846246,0.169471
27,0.85338,0.897339,0.846246,0.169471
28,0.85338,0.897339,0.846246,0.169471
29,0.850745,0.896019,0.847538,0.169322
30,0.856017,0.90071,0.850616,0.170085
31,0.855979,0.904064,0.848179,0.170107
32,0.855979,0.904064,0.848179,0.170107
33,0.856602,0.905411,0.847658,0.170357
34,0.856602,0.905411,0.847658,0.170357
35,0.856602,0.905411,0.847658,0.170357
36,0.854666,0.899088,0.846197,0.170121
37,0.85568,0.900494,0.845477,0.170057
38,0.85568,0.900494,0.845477,0.170057
39,0.854793,0.90015,0.844271,0.169782
40,0.853019,0.89727,0.843544,0.169735
41,0.851065,0.897814,0.845791,0.169278
42,0.850826,0.895933,0.846586,0.169338
43,0.852216,0.897778,0.846048,0.169397
44,0.852258,0.897375,0.846097,0.169544
45,0.852373,0.89622,0.844833,0.169535
46,0.848803,0.889042,0.844168,0.168948
47,0.852093,0.893536,0.843436,0.169388
48,0.851318,0.893786,0.845511,0.169285
49,0.853561,0.897635,0.846426,0.169608
50,0.854101,0.898194,0.846427,0.169625
51,0.850954,0.896754,0.843487,0.169286
52,0.850954,0.896754,0.843487,0.169286
53,0.851683,0.89546,0.845597,0.169321
54,0.851683,0.89546,0.845597,0.169321
55,0.852286,0.897024,0.844478,0.16946
56,0.852286,0.897024,0.844478,0.16946
57,0.852286,0.897024,0.844478,0.16946
58,0.852286,0.897024,0.844478,0.16946
59,0.849658,0.893136,0.8465,0.169127
60,0.849658,0.893136,0.8465,0.169127
61,0.85172,0.894898,0.844633,0.169441
62,0.85172,0.894898,0.844633,0.169441
63,0.853654,0.897868,0.845737,0.169879
64,0.853623,0.897762,0.841761,0.169717
65,0.853623,0.897762,0.841761,0.169717
66,0.853198,0.897992,0.845014,0.169934
67,0.854206,0.900217,0.844864,0.170049
68,0.854206,0.900217,0.844864,0.170049
69,0.85418,0.898689,0.846409,0.169809
70,0.85418,0.898689,0.846409,0.169809
71,0.851124,0.894143,0.844446,0.169523
72,0.852306,0.892724,0.841784,0.169459
73,0.853031,0.895813,0.844945,0.169663
74,0.852348,0.896656,0.846984,0.169491
75,0.856207,0.900724,0.846175,0.170086
76,0.853854,0.899576,0.84487,0.169682
77,0.853902,0.896323,0.84634,0.169835
78,0.85178,0.895278,0.846675,0.169509
79,0.852194,0.899699,0.847008,0.169617
80,0.854226,0.898689,0.847916,0.169803
81,0.854235,0.898736,0.846916,0.17001
